input	filtered	denoisedF	denoisedR	merged	nonchim
1_1	40437	31044	28825	28855	24434	24235
1_2	44735	33424	31223	30897	25951	25539
1_3	40114	31303	28944	29070	24488	24205
10gEP114	37260	28554	26903	26982	23991	23157
10gHD4371	42966	33501	29455	29578	22568	22140
10gHD4379	42794	33492	30181	30191	23228	22736
10gHD4397	20153	15804	14351	14079	10742	10604
114-2152-PSME	40045	30141	29039	29096	27004	26447
114-2164-PSME	55244	41872	40149	40290	36700	34791
114-2170-4-NODE3	57063	44175	41931	41844	37265	35755
114-2177-1-NODE3	38060	28951	27640	27462	24954	24716
114-2191-1-ARME	32164	25135	24142	24142	22335	22239
114-2203-1-NODE3	30561	23914	23027	22927	21228	20974
114-2211-2-NODE3	42856	32846	31529	31529	28975	28613
114-2228-2-ARME	35191	26810	25380	25216	21856	21503
114-2237-PSME	34403	26433	24878	24984	21962	21562
114-2277-NODE3	50761	39981	38012	38082	33757	32415
114-center-rebar	45663	35712	34074	34083	31142	30532
114-east-rebar	52554	41306	39092	39159	34563	33203
114-north-rebar	32268	23779	22465	22442	20269	19766
114-south-rebar	51330	40008	38185	38281	34963	33160
114-west-rebar	42739	32635	31470	31363	28814	27987
2_1	39984	32148	29659	29568	25331	24827
2_2	43128	33116	30448	30328	25644	24934
2_3	43158	32784	30223	29979	25557	25072
3_1	37316	28387	26435	26333	21925	21840
3_2	40927	30735	28476	28471	23694	23557
3_3	37114	28056	26213	26128	22321	22252
4_1	34714	27224	25034	24952	21627	21474
4_2	38032	29113	26755	26584	22516	22239
4_3	33827	26465	24136	23976	20439	20210
5_1	59058	45360	42393	42417	36367	35766
5_2	46740	36081	33556	33566	28476	28259
5_3	33537	25836	23883	23877	19876	19755
6_1	44580	34122	31404	31307	26988	26642
6_2	38109	29597	27353	27118	23222	23047
6_3	43078	32748	30282	30105	25878	25638
7_1	37803	28625	26539	26571	22217	22164
7_2	44298	33205	30961	31025	25958	25707
7_3	69977	53629	50194	50302	43619	42898
8_1	35717	27085	24905	24697	21028	20965
8_2	39233	30555	28245	28076	24123	23884
8_3	36831	28050	25787	25581	21732	21509
emptyextraction	3371	2569	2548	2554	2540	2540
HD3901-S1-4401	39163	30481	27839	27885	23245	22552
HD3902-S1-4400	47885	36356	34036	33884	29144	28771
HD4301-S1	43796	33393	30283	30385	24918	23634
HD4303-S1	39836	29522	27797	27818	24047	23440
HD4304-S1	35690	27526	25240	25192	21468	20257
HD4305-S1	32810	24742	22982	22980	19983	19603
HD4306-S1	37348	28733	27030	27032	23826	23350
HD4307-S1	25190	19956	17996	17823	14223	13910
HD4308-S1	46455	35089	31510	31607	24906	24307
HD4309-S1	42935	33958	30208	30188	23973	23515
HD4310-S1	42323	32671	29618	29437	24298	23425
HD4311-S1	33077	25546	23285	23337	19063	18302
HD4312-S1	34311	26763	24306	24257	19580	19019
HD4313-S1	23433	18617	17058	16882	13152	12997
HD4314-S1	25832	20723	18361	18124	13821	13538
HD4315-S1	29796	22600	20551	20408	16868	16684
HD4316-S1	42121	33666	30646	30629	24724	24509
HD4317-S1	33785	26161	23091	22998	18144	18144
HD4318-S1	28914	23331	20526	20543	15554	15438
HD4319-S1	25189	19850	17892	17746	14081	13905
HD4320-S1	25707	20208	18753	18608	15789	15459
HD4321-S10	28536	22791	20785	20744	17257	17036
HD4321-S11	30375	24152	21659	21480	16807	16599
HD4321-S111_19	23835	18423	16847	16591	13368	13261
HD4321-S112_9	32639	25535	23520	23519	19699	19559
HD4321-S12	46886	36161	31900	31599	24444	24444
HD4321-S13	49927	39518	35244	35268	27547	27015
HD4321-S14	43401	32944	30212	30118	25046	24303
HD4321-S15	36334	28293	25228	25017	19951	19916
HD4321-S16	37805	29838	26773	26762	21519	20960
HD4321-S17	30918	24206	21780	21560	17168	16820
HD4321-S18	32227	25068	22341	22293	16842	16630
HD4321-S19	52821	41705	38017	37824	30261	29796
HD4321-S2	17951	13551	12175	12034	9370	9370
HD4321-S20	45286	35577	32672	32745	27660	26704
HD4321-S3	27316	21589	19730	19694	16252	16222
HD4321-S4	36930	28357	26533	26618	23412	23131
HD4321-S5	35734	28167	25258	25044	19653	19613
HD4321-S6	34771	27003	24477	24540	20053	19816
HD4321-S7	46908	36204	33226	33228	26657	26378
HD4321-S8	35136	28018	25870	25895	21927	21492
HD4321-S9	40644	32169	29374	29417	24248	23587
HD4322-S1	25081	20287	18248	18252	14672	14558
HD4323-S1	29897	23238	20938	20878	16688	16518
HD4324-S1	28003	22877	20051	20192	15767	15760
HD4325-S1	36359	28460	26102	26068	21393	21191
HD4326-S1	29814	22856	20867	20734	16776	16462
HD4327-S1	27105	20272	19086	19072	16729	16725
HD4328-S1	27184	21001	19045	18886	14687	14687
HD4329-S1	17560	13864	12694	12539	9964	9960
HD4330-S1	16297	12561	11069	10734	8050	8029
HD4331-S1	20015	14543	13604	13496	11572	11552
HD4332-S1	39145	29687	27269	27447	23877	23453
HD4333-S1	30780	24179	21967	21834	18166	17863
HD4334-S1	32177	24851	22929	22793	19153	18139
HD4335-S1	38876	29785	26956	26955	21765	21424
HD4336-S10	17387	13455	12593	12483	10454	10436
HD4336-S11	20056	16059	14776	14739	12105	11961
HD4336-S111_23	39884	30500	28002	27822	22992	22371
HD4336-S112_15	31487	25267	23237	23151	19309	18768
HD4336-S12	34150	26337	23372	23386	18322	18140
HD4336-S13	30291	23320	21540	21375	17633	17415
HD4336-S14	28429	21406	19811	19782	16377	16091
HD4336-S15	25423	20119	18423	18556	14962	14709
HD4336-S16	21493	17007	15209	15114	11946	11739
HD4336-S17	17126	14167	13111	12919	10634	10464
HD4336-S18	28490	23021	21664	21635	19038	18941
HD4336-S19	29311	22700	20954	20705	17070	17067
HD4336-S2	14610	11397	10285	10373	8368	8368
HD4336-S20	59420	47599	44106	44180	37204	36831
