"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"HD3901-S1-4401",39163,30481,27839,27885,23245,22552
"HD3902-S1-4400",47885,36356,34036,33884,29144,28771
"HD4301-S1",43796,33393,30283,30385,24918,23634
"HD4303-S1",39836,29522,27797,27818,24047,23440
"HD4304-S1",35690,27526,25240,25192,21468,20257
"HD4305-S1",32810,24742,22982,22980,19983,19603
"HD4306-S1",37348,28733,27030,27032,23826,23350
"HD4307-S1",25190,19956,17996,17823,14223,13910
"HD4308-S1",46455,35089,31510,31607,24906,24307
"HD4309-S1",42935,33958,30208,30188,23973,23515
"HD4310-S1",42323,32671,29618,29437,24298,23425
"HD4311-S1",33077,25546,23285,23337,19063,18302
"HD4312-S1",34311,26763,24306,24257,19580,19019
"HD4313-S1",23433,18617,17058,16882,13152,12997
"HD4314-S1",25832,20723,18361,18124,13821,13538
"HD4315-S1",29796,22600,20551,20408,16868,16684
"HD4316-S1",42121,33666,30646,30629,24724,24509
"HD4317-S1",33785,26161,23091,22998,18144,18144
"HD4318-S1",28914,23331,20526,20543,15554,15438
"HD4319-S1",25189,19850,17892,17746,14081,13905
"HD4320-S1",25707,20208,18753,18608,15789,15459
"HD4321-S111_19",23835,18423,16847,16591,13368,13261
"HD4322-S1",25081,20287,18248,18252,14672,14558
"HD4323-S1",29897,23238,20938,20878,16688,16518
"HD4324-S1",28003,22877,20051,20192,15767,15760
"HD4325-S1",36359,28460,26102,26068,21393,21191
"HD4326-S1",29814,22856,20867,20734,16776,16462
"HD4327-S1",27105,20272,19086,19072,16729,16725
"HD4328-S1",27184,21001,19045,18886,14687,14687
"HD4329-S1",17560,13864,12694,12539,9964,9960
"HD4330-S1",16297,12561,11069,10734,8050,8029
"HD4331-S1",20015,14543,13604,13496,11572,11552
"HD4332-S1",39145,29687,27269,27447,23877,23453
"HD4333-S1",30780,24179,21967,21834,18166,17863
"HD4334-S1",32177,24851,22929,22793,19153,18139
"HD4335-S1",38876,29785,26956,26955,21765,21424
"HD4336-S111_23",39884,30500,28002,27822,22992,22371
"HD4337-S1",30547,23259,21132,21087,17389,16880
"HD4338-S1",31150,24050,21683,21545,16927,16524
"HD4339-S1",24452,18934,17208,17208,13976,13759
"HD4340-S1",44044,33372,28922,28329,20965,20890
"HD4341-S1",31262,25179,22032,21891,16818,16568
"HD4342-S1",27787,21560,19262,19152,15002,14813
"HD4343-S1",33368,26019,24279,24188,20736,20466
"HD4344-S1",26249,20631,18370,18224,14063,13873
"HD4345-S1",26476,20469,18165,17991,13718,13320
"HD4346-S1",29736,22720,20508,20538,16512,16123
"HD4347-S1",32999,25840,23340,23372,18996,18725
"HD4348-S1",32319,25706,23299,23228,18950,18414
"HD4349-S1",36132,27181,24603,24558,19709,19234
"HD4350-S1",26729,20534,18842,18839,15850,15505
"HD4351-S1",35124,27525,25156,24990,20761,20486
"HD4352-S1",30973,25083,23123,23038,19107,18960
"HD4353-S1",28549,22646,20682,20608,16989,16821
"HD4354-S1",34597,27161,24807,24476,20128,20026
"HD4355-S1",39480,30689,27836,27887,22901,22327
"HD4356-S1",21419,19022,17070,17018,14706,13742
"HD4357-S1",26442,20199,18216,18022,14112,13913
"HD4358-S1",26778,20682,18835,18640,15194,14659
"HD4359-S1",29123,22740,20827,20740,17450,17162
"HD4360-S1",28157,22186,19969,19757,15958,15593
"HD4361-S1",23257,18288,16183,16251,12511,12379
"HD4362-S1",29682,22789,20454,20241,16252,16129
"HD4363-S1",64031,47193,43980,43864,37983,36477
"HD4364-S1",55503,42505,38532,38334,30739,30465
"HD4365-S1",50449,39508,35995,35996,29604,29560
"HD4366-S1",55926,43647,40386,40319,34140,33811
"HD4367-S1",49960,38218,35068,34868,28967,28375
"HD4368-S1",43433,34965,32500,32283,27907,27313
"HD4369-S1",57181,45067,41548,41596,34729,33610
"HD4372-S1",48909,38848,36394,36421,31607,30687
"HD4373-S1",41463,32815,30796,30713,26808,25913
"HD4374-S1",46899,36138,33670,33498,28827,28200
"HD4375-S1",28832,23281,21306,21122,17321,17154
"HD4376-S1",39358,30669,28697,28718,25098,24945
"HD4377-S1",42555,33177,31281,31183,27901,27085
"HD4378-S1",55699,43407,39492,39379,32060,31737
"HD4379-S112_2",45715,35053,32475,32337,26372,26345
"HD4380-S1",34940,27758,25659,25573,21119,20920
"HD4381-S1",39743,29604,27845,27955,24493,23797
"HD4382-S1",36012,27434,25111,25097,20431,20110
"HD4383-S1",35970,28091,25561,25335,20394,20290
"HD4384-S1",36586,28103,25498,25475,20439,20308
"HD4385-S1",42318,32458,30316,30189,25926,25512
"HD4386-S1",50280,39063,35681,35331,29351,29028
"HD4387-S1",40863,32256,29737,29860,25268,25077
"HD4388-S1",19513,14839,13459,13306,10836,10836
"HD4389-S1",24302,18936,17185,17193,13746,13741
"HD4390-S1",91755,70974,65545,65421,55313,54662
"HD4391-S1",68520,53548,50372,50366,43953,43662
"HD4392-S1",20593,16453,14927,14873,11564,11564
"HD4393-S1",29390,22530,20498,20412,16121,16095
"HD4394-S1",54368,43197,40359,40340,34991,33823
"HD4395-S1",60341,45988,42536,42566,35546,34287
"HD4396-S1",54639,42367,39311,39332,33502,32069
"HD4397-S112_6",43585,32611,30634,30567,26924,26740
"HD4398-S1",51573,40063,37200,37265,31973,31336
"HD4399-S1",49180,38377,35761,35817,30817,29648
