"","Sample","input","filtered","denoisedF","denoisedR","merged","nonchim"
"1","1_1",42321,31024,28819,28827,24431,24235
"2","1_2",47155,33398,31179,30870,25904,25492
"3","1_3",41730,31276,28918,29037,24495,24215
"4","10gEP114",39009,28472,26816,26876,23861,22884
"5","10gHD4371",45168,33470,29390,29534,22540,22113
"6","10gHD4379",44531,33482,30137,30178,23200,22707
"7","10gHD4397",20876,15797,14336,14074,10739,10601
"8","114-2152-PSME",41875,30014,28893,28952,26865,26215
"9","114-2164-PSME",57904,41823,40056,40186,36563,34659
"10","114-2170-4-NODE3",60072,44049,41772,41694,37093,35472
"11","114-2177-1-NODE3",39634,28899,27582,27380,24880,24591
"12","114-2191-1-ARME",33430,25077,24067,24093,22256,22082
"13","114-2203-1-NODE3",32100,23889,23001,22872,21179,20925
"14","114-2211-2-NODE3",44945,32788,31458,31455,28904,28544
"15","114-2228-2-ARME",37047,26791,25344,25216,21849,21495
"16","114-2237-PSME",36113,26397,24878,24951,21928,21529
"17","114-2277-NODE3",53094,39949,37982,38014,33709,32365
"18","114-center-rebar",48006,35659,34018,34003,31082,30416
"19","114-east-rebar",55043,41231,38966,39048,34224,32798
"20","114-north-rebar",33724,23749,22417,22400,20199,19696
"21","114-south-rebar",53499,39965,38155,38191,34853,33111
"22","114-west-rebar",44892,32570,31385,31270,28660,27697
"23","2_1",41734,32146,29673,29565,25354,24850
"24","2_2",45103,33109,30473,30353,25680,24970
"25","2_3",45160,32779,30210,29984,25551,25065
"26","3_1",38875,28366,26411,26291,21883,21800
"27","3_2",42966,30714,28450,28463,23646,23509
"28","3_3",38850,28037,26194,26113,22306,22237
"29","4_1",36218,27224,25021,24951,21568,21415
"30","4_2",39779,29109,26762,26586,22535,22258
"31","4_3",35110,26461,24164,23978,20453,20224
"32","5_1",61594,45329,42368,42344,36296,35696
"33","5_2",48851,36049,33555,33547,28474,28257
"34","5_3",35002,25800,23851,23852,19852,19731
"35","6_1",46788,34116,31415,31330,26992,26646
"36","6_2",39741,29592,27341,27117,23240,23065
"37","6_3",45466,32747,30268,30168,25933,25693
"38","7_1",39715,28604,26499,26545,22220,22167
"39","7_2",46329,33185,30937,31016,25948,25697
"40","7_3",73466,53610,50189,50283,43556,42796
"41","8_1",37366,27082,24886,24673,21037,20974
"42","8_2",41094,30552,28239,28076,24118,23878
"43","8_3",38603,28044,25785,25577,21694,21471
"45","HD3901-S1-4401",40782,30474,27835,27875,23251,22557
"46","HD3902-S1-4400",50080,36353,34034,33882,29098,28724
"47","HD4301-S1",46141,33390,30291,30375,24920,23636
"48","HD4303-S1",41611,29494,27784,27778,24018,23441
"49","HD4304-S1",37238,27524,25241,25188,21481,20270
"50","HD4305-S1",34259,24738,22961,22971,19945,19565
"51","HD4306-S1",38890,28730,27004,27032,23802,23326
"52","HD4307-S1",26192,19949,17985,17811,14205,13892
"53","HD4308-S1",48543,35082,31535,31623,24908,24294
"54","HD4309-S1",44728,33949,30195,30095,23866,23428
"55","HD4310-S1",44278,32662,29615,29427,24296,23423
"56","HD4311-S1",34722,25539,23287,23310,19058,18297
"57","HD4312-S1",35808,26758,24295,24225,19567,19003
"58","HD4313-S1",24473,18607,17004,16850,13123,12968
"59","HD4314-S1",26854,20719,18341,18088,13774,13492
"60","HD4315-S1",31223,22595,20533,20398,16861,16671
"61","HD4316-S1",43913,33661,30659,30636,24732,24517
"62","HD4317-S1",35350,26154,23103,23025,18182,18182
"63","HD4318-S1",30176,23326,20531,20535,15557,15442
"64","HD4319-S1",26316,19842,17851,17708,14033,13833
"65","HD4320-S1",26892,20202,18739,18606,15777,15447
"66","HD4321-S10",29678,22787,20776,20730,17267,17046
"67","HD4321-S11",31572,24137,21642,21495,16777,16569
"68","HD4321-S111_19",24834,18419,16849,16585,13364,13257
"69","HD4321-S112_9",34215,25519,23479,23516,19698,19558
"70","HD4321-S12",48933,36152,31882,31595,24440,24440
"71","HD4321-S13",52143,39509,35231,35239,27526,26994
"72","HD4321-S14",45441,32940,30179,30122,25018,24275
"73","HD4321-S15",38184,28281,25221,25001,19889,19854
"74","HD4321-S16",39474,29834,26776,26724,21496,20936
"75","HD4321-S17",32285,24204,21783,21548,17144,16794
"76","HD4321-S18",33982,25049,22301,22250,16775,16563
"77","HD4321-S19",55380,41699,38046,37819,30347,29862
"78","HD4321-S2",18727,13549,12167,12038,9372,9372
"79","HD4321-S20",47219,35553,32652,32700,27616,26661
"80","HD4321-S3",28528,21587,19751,19686,16250,16220
"81","HD4321-S4",38682,28348,26542,26603,23369,23088
"82","HD4321-S5",37377,28162,25244,25039,19631,19591
"83","HD4321-S6",36408,26997,24455,24514,20018,19781
"84","HD4321-S7",49268,36190,33179,33223,26613,26334
"85","HD4321-S8",36614,28007,25851,25884,21905,21470
"86","HD4321-S9",42556,32149,29360,29414,24274,23612
"87","HD4322-S1",26104,20278,18225,18242,14648,14534
"88","HD4323-S1",31391,23231,20935,20877,16677,16507
"89","HD4324-S1",29097,22864,20039,20182,15752,15735
"90","HD4325-S1",38210,28451,26052,26058,21342,21140
"91","HD4326-S1",31187,22838,20859,20759,16767,16453
"92","HD4327-S1",28215,20265,19083,19043,16660,16648
"93","HD4328-S1",28408,20999,19052,18874,14745,14745
"94","HD4329-S1",18325,13852,12686,12526,9954,9950
"95","HD4330-S1",17032,12561,11073,10739,8052,8031
"96","HD4331-S1",21001,14536,13600,13474,11550,11530
"97","HD4332-S1",40911,29594,27109,27331,23693,23033
"98","HD4333-S1",32211,24172,21953,21830,18162,17859
"99","HD4334-S1",33693,24849,22921,22787,19149,18135
"100","HD4335-S1",40753,29782,26944,26955,21735,21394
"101","HD4336-S10",18230,13450,12583,12483,10453,10435
"102","HD4336-S11",21082,16056,14750,14732,12074,11930
"103","HD4336-S111_23",41697,30494,27970,27814,22956,22335
"104","HD4336-S112_15",32784,25261,23232,23110,19306,18765
"105","HD4336-S12",35774,26330,23337,23374,18365,18183
"106","HD4336-S13",31781,23313,21529,21361,17620,17399
"107","HD4336-S14",29823,21399,19835,19772,16408,16086
"108","HD4336-S15",26578,20112,18417,18543,14948,14695
"109","HD4336-S16",22411,17002,15192,15095,11872,11665
"110","HD4336-S17",17789,14165,13108,12912,10628,10460
"111","HD4336-S18",29714,23015,21654,21654,19052,18955
"112","HD4336-S19",30608,22699,20956,20702,17068,17065
"113","HD4336-S2",15431,11391,10282,10366,8364,8364
"114","HD4336-S20",62197,47588,44095,44181,37216,36843
"115","HD4336-S3",41418,29981,27765,27737,22957,22224
"116","HD4336-S4",42776,32203,29552,29490,24755,24201
"117","HD4336-S5",40993,29872,27149,27134,21829,21409
"118","HD4336-S6",29229,21597,19608,19458,15682,15485
"119","HD4336-S7",27417,20385,18448,18321,14502,14440
