input	filtered	denoisedF	denoisedR	merged	nonchim
10gEP114_S220	29887	16008	15576	15489	14730	14728
10gHD4371_S217	16786	11195	10384	10181	9675	9630
10gHD4379_S218	20251	13511	12887	12696	12197	12195
10gHD4397_S219	35140	19107	18178	17797	17246	17245
114-2152-PSME_S214	65856	31381	31016	30948	30726	30722
114-2164-PSME_S211	34214	25032	24829	24767	24567	24567
114-2170-4-NODE3_S210	22309	10540	10197	10175	9917	9916
114-2177-1-NODE3_S208	35015	19257	19059	18985	18901	18684
114-2191-1-ARME_S213	44450	28871	28549	28510	28016	28016
114-2203-1-NODE3_S207	33934	25584	25328	25284	24846	24846
114-2211-2-NODE3_S206	56818	46506	46051	46190	45694	45694
114-2228-2-ARME_S215	58198	50061	49647	49691	41741	41741
114-2237-PSME_S212	40212	22918	22557	22430	21975	21975
114-2277-NODE3_S209	34043	26651	26315	26295	25793	25793
114-center-rebar_S205	25607	16077	15772	15744	15550	15550
114-east-rebar_S202	27011	18120	17826	17771	17583	17583
114-north-rebar_S201	57198	43572	43051	43074	42648	42645
114-south-rebar_S203	36381	22548	22305	22210	21932	21932
114-west-rebar_S204	27305	16611	16370	16355	15986	15948
Dung1_1_S221	108120	78178	77548	77576	76661	76608
Dung1_2_S222	61354	45999	45523	45471	44877	44827
Dung1_3_S223	61577	42492	41920	41829	41246	41219
Dung2_1_S224	63470	47573	47121	47046	46530	46203
Dung2_2_S225	58895	37692	37301	37085	36759	36260
Dung2_3_S226	82071	50243	49926	49743	49382	49099
Dung3_1_S227	53124	33762	33281	33202	32754	32725
Dung3_2_S228	82818	48530	48060	47793	47144	47102
Dung3_3_S229	110422	82202	81711	81541	80780	80621
Dung4_1_S230	89649	65087	64605	64426	63806	63352
Dung4_2_S231	63738	50485	50079	50027	49790	49437
Dung4_3_S232	59851	44954	44589	44535	44026	43692
Dung5_1_S233	46431	35642	35192	35090	34488	34429
Dung5_2_S234	39719	30025	29602	29525	28703	28665
Dung5_3_S235	56654	35467	35036	34979	34065	34039
Dung6_1_S236	54329	40570	40171	40147	39807	39570
Dung6_2_S237	84770	37820	37465	37158	36899	36706
Dung6_3_S238	50476	25309	25027	24867	24677	24207
Dung7_1_S239	58845	24595	24246	24013	23691	23671
Dung7_2_S240	55281	31364	30810	30659	30163	30006
Dung7_3_S241	50206	37105	36626	36565	36047	36030
Dung8_1_S242	43253	30428	30093	30057	29784	29585
Dung8_2_S243	58962	42139	41842	41760	41297	41103
Dung8_3_S244	77536	58035	57673	57580	56923	56653
emptyextraction_S200	23	8	1	1	0	0
HD3901-S1_4401__S1	55682	47441	46582	46450	45810	45809
HD3902-S1_4400__S99	62993	55657	55099	54956	54491	54491
HD4301-S1_S2	71036	54240	53143	53054	51633	51632
HD4303-S1_S3	53748	28626	28217	28199	27900	27898
HD4304-S1_S4	65075	51074	50187	50227	49152	49145
HD4305-S1_S245	49205	7061	6800	6495	6361	6361
HD4306-S1_S5	56597	45670	45264	45235	44983	44958
HD4307-S1_S6	47007	35617	34921	34755	34088	34088
HD4308-S1_S7	52977	45043	44047	43930	43142	43140
HD4309-S1_S8	54702	41823	40659	40379	39214	39203
HD4310-S1_S9	59727	45605	44439	44481	42809	42805
HD4311-S1_S10	59056	48709	47925	47898	45969	45836
HD4312-S1_S11	48153	37830	37025	36868	35880	35812
HD4313-S1_S12	46079	37478	36818	36783	36313	36312
HD4314-S1_S13	49986	40499	39285	39092	37963	37963
HD4315-S1_S14	40298	31155	30205	29890	29156	29067
HD4316-S1_S15	72534	63655	63000	62592	62085	62059
HD4317-S1_S16	49690	42199	41109	40865	40063	40052
HD4318-S1_S17	141318	103696	102097	102195	99171	99021
HD4319-S1_S18	49465	38434	37434	37185	36096	35970
HD4320-S1_S19	63012	54514	53943	53821	53399	53397
HD4321-S10_S129	63231	56446	55866	55814	55211	55210
HD4321-S11_S130	66992	50946	50245	50022	49179	49116
HD4321-S111_19_S20	83040	68933	68189	67965	66941	66931
HD4321-S112_9_S120	113521	95845	95191	95064	93627	93620
HD4321-S12_S131	54822	48425	47864	47796	47048	47045
HD4321-S13_S132	40922	35342	34668	34527	33709	33705
HD4321-S14_S133	122678	106057	105424	105273	104566	104564
HD4321-S15_S134	77885	63381	62745	62649	61826	61806
HD4321-S16_S135	152725	111443	110578	110468	108639	108630
HD4321-S17_S136	122204	91023	89964	89669	88560	88544
HD4321-S18_S137	99715	76063	74961	74931	73592	73590
HD4321-S19_S138	108239	87330	86209	86059	84875	84852
HD4321-S2_S121	122089	108707	108203	108240	107698	107698
HD4321-S20_S139	48331	39156	38587	38580	37855	37855
HD4321-S3_S122	86832	77402	76904	76773	76059	76043
HD4321-S4_S123	66997	55999	55425	55338	54081	54065
HD4321-S5_S124	39322	32924	32411	32457	32146	32144
HD4321-S6_S125	53750	43593	42985	42795	37570	37563
HD4321-S7_S126	54664	43537	42889	42765	41529	41522
HD4321-S8_S127	62798	50943	50459	50351	49670	49666
HD4321-S9_S128	18350	15419	14952	14937	14631	14627
HD4322-S1_S21	66753	52982	51920	51873	50722	50629
HD4323-S1_S22	41765	36155	35276	35135	34332	34301
HD4324-S1_S23	40225	32469	31311	31365	30212	30212
HD4325-S1_S24	71384	61578	60835	60656	59813	59802
HD4326-S1_S25	65091	54067	53165	52983	51719	51715
HD4327-S1_S26	63357	51557	50998	51008	50370	50357
HD4328-S1_S27	60070	48225	47464	47327	45103	45032
HD4329-S1_S28	77274	45695	45014	44935	44419	44419
HD4330-S1_S29	83886	68234	67026	66820	65340	65287
HD4331-S1_S30	24275	7198	6899	6795	6640	6640
HD4332-S1_S31	46831	36857	36456	36387	36201	36199
HD4333-S1_S32	50595	39810	38998	38945	38118	38115
HD4334-S1_S33	64856	48478	47598	47606	46484	46441
HD4335-S1_S34	57782	48379	47593	47570	46501	46495
HD4336-S10_S169	119805	90549	90129	90023	88776	88685
HD4336-S11_S170	71311	57922	57248	57178	55574	55555
HD4336-S111_23_S35	88613	74909	73997	73998	72969	72968
HD4336-S112_15_S160	96392	79179	78323	78229	77138	77130
HD4336-S12_S171	179552	126329	125214	125183	123974	123964
HD4336-S13_S172	52176	43318	42794	42794	42450	42450
HD4336-S14_S173	46655	38735	38390	38386	38097	38087
HD4336-S15_S174	47648	38892	38351	38275	37591	37586
HD4336-S16_S175	70186	53769	52832	52681	51874	51866
HD4336-S17_S176	92924	79670	78958	78804	77840	77800
HD4336-S18_S177	92681	72189	71226	71083	69316	69316
HD4336-S19_S178	107784	96138	95506	95478	94655	94523
