"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"HD3901-S1_4401_S1",55682,47441,46582,46450,45810,45809
"HD3902-S1_4400_S99",62993,55657,55099,54956,54491,54491
"HD4301-S1_S2",71036,54240,53143,53054,51633,51632
"HD4303-S1_S3",53748,28626,28217,28199,27900,27898
"HD4304-S1_S4",65075,51074,50187,50227,49152,49145
"HD4305-S1_S245",49205,7061,6800,6495,6361,6361
"HD4306-S1_S5",56597,45670,45264,45235,44983,44958
"HD4307-S1_S6",47007,35617,34921,34755,34088,34088
"HD4308-S1_S7",52977,45043,44047,43930,43142,43140
"HD4309-S1_S8",54702,41823,40659,40379,39214,39203
"HD4310-S1_S9",59727,45605,44439,44481,42809,42805
"HD4311-S1_S10",59056,48709,47925,47898,45969,45836
"HD4312-S1_S11",48153,37830,37025,36868,35880,35812
"HD4313-S1_S12",46079,37478,36818,36783,36313,36312
"HD4314-S1_S13",49986,40499,39285,39092,37963,37963
"HD4315-S1_S14",40298,31155,30205,29890,29156,29067
"HD4316-S1_S15",72534,63655,63000,62592,62085,62059
"HD4317-S1_S16",49690,42199,41109,40865,40063,40052
"HD4318-S1_S17",141318,103696,102097,102195,99171,99021
"HD4319-S1_S18",49465,38434,37434,37185,36096,35970
"HD4320-S1_S19",63012,54514,53943,53821,53399,53397
"HD4321-S10_S129",63231,56446,55866,55814,55211,55210
"HD4322-S1_S21",66753,52982,51920,51873,50722,50629
"HD4323-S1_S22",41765,36155,35276,35135,34332,34301
"HD4324-S1_S23",40225,32469,31311,31365,30212,30212
"HD4325-S1_S24",71384,61578,60835,60656,59813,59802
"HD4326-S1_S25",65091,54067,53165,52983,51719,51715
"HD4327-S1_S26",63357,51557,50998,51008,50370,50357
"HD4328-S1_S27",60070,48225,47464,47327,45103,45032
"HD4329-S1_S28",77274,45695,45014,44935,44419,44419
"HD4330-S1_S29",83886,68234,67026,66820,65340,65287
"HD4331-S1_S30",24275,7198,6899,6795,6640,6640
"HD4332-S1_S31",46831,36857,36456,36387,36201,36199
"HD4333-S1_S32",50595,39810,38998,38945,38118,38115
"HD4334-S1_S33",64856,48478,47598,47606,46484,46441
"HD4335-S1_S34",57782,48379,47593,47570,46501,46495
"HD4336-S10_S169",119805,90549,90129,90023,88776,88685
"HD4337-S1_S36",59858,47280,46618,46605,45856,45832
"HD4338-S1_S37",59770,48838,48018,47784,46921,46919
"HD4339-S1_S38",32499,26376,25864,25725,25069,25062
"HD4340-S1_S39",113991,94762,93612,93400,91848,91769
"HD4341-S1_S40",60931,50277,49120,48825,47764,47762
"HD4342-S1_S41",47092,31881,30543,30424,29172,29170
"HD4343-S1_S42",91649,71847,71205,71037,70310,70198
"HD4344-S1_S43",93843,79157,77411,77934,76174,76032
"HD4345-S1_S44",75955,63145,61990,61783,60764,60760
"HD4346-S1_S45",79956,66466,65624,65528,64777,64775
"HD4347-S1_S46",54240,44843,44025,43895,43180,43180
"HD4348-S1_S47",68854,57217,56347,56192,55269,55235
"HD4349-S1_S48",69346,57429,56803,56709,56058,55866
"HD4350-S1_S49",28748,19287,18927,18896,18587,18586
"HD4351-S1_S50",63662,50214,49571,49612,48814,48813
"HD4352-S1_S51",59268,51695,51140,51033,50624,50546
"HD4353-S1_S52",46932,42684,42056,42008,41182,41180
"HD4354-S1_S53",65997,56261,55708,55554,54670,54668
"HD4355-S1_S54",33342,26781,26194,26155,25385,25385
"HD4356-S1_S55",64287,51709,51031,50965,50456,50382
"HD4357-S1_S56",41357,24699,23663,23424,22399,22368
"HD4358-S1_S57",30951,25245,24743,24732,24401,24394
"HD4359-S1_S58",47033,38881,38411,38386,38084,38084
"HD4360-S1_S59",60380,49031,48047,47929,47171,46777
"HD4361-S1_S60",57587,40964,39748,39427,37841,37825
"HD4362-S1_S61",37878,28704,28056,27963,27521,27438
"HD4363-S1_S62",25989,17461,16704,16697,16006,16006
"HD4364-S1_S63",38459,28740,27927,27892,26866,26849
"HD4365-S1_S64",41494,26085,25233,24964,23993,23993
"HD4366-S1_S65",51774,37175,36126,36090,34966,34963
"HD4367-S1_S66",44927,40418,39989,39902,39739,39710
"HD4368-S1_S67",46090,34519,33845,33632,32892,32882
"HD4369-S1_S68",38940,31110,30224,30105,29141,29135
"HD4372-S1_S71",28115,12227,11968,11877,11754,11754
"HD4373-S1_S72",32495,27442,27180,27108,26644,26644
"HD4374-S1_S73",60465,45933,44931,44788,43371,43221
"HD4375-S1_S74",41935,35529,34623,34603,34105,34101
"HD4376-S1_S75",49954,39327,38642,38670,37756,37754
"HD4377-S1_S76",31716,25108,24528,24489,23843,23780
"HD4378-S1_S77",34415,31210,30695,30717,30254,30242
"HD4379-S11_S150",82206,58071,57065,56867,55555,55526
"HD4380-S1_S79",37228,31975,31365,31284,30906,30900
"HD4381-S1_S80",27976,20413,19756,19756,18906,18901
"HD4382-S1_S81",19126,14223,13489,13365,13090,13088
"HD4383-S1_S82",41284,30850,29565,29552,27823,27821
"HD4384-S1_S83",62956,51760,50533,50564,48704,48693
"HD4385-S1_S84",25834,15489,14740,14818,14130,14130
"HD4386-S1_S85",32836,29198,28690,28639,28296,28296
"HD4387-S1_S86",36318,32299,31828,31821,31456,31423
"HD4388-S1_S87",30501,11312,10784,10755,10225,10224
"HD4389-S1_S88",28307,18773,18011,18011,17622,17609
"HD4390-S1_S89",54089,40052,39415,39478,38904,38867
"HD4391-S1_S90",53221,39649,38822,38611,37853,37852
"HD4392-S1_S91",29947,26347,26009,25879,25567,25472
"HD4393-S1_S92",17885,15139,14675,14690,14109,14101
"HD4394-S1_S93",85321,75532,75166,75072,74690,74543
"HD4395-S1_S94",68154,57750,57010,56887,56221,56040
"HD4396-S1_S95",67523,52525,51407,51282,50022,49978
"HD4397-S11_S190",59141,48789,48189,48186,47697,47697
"HD4398-S1_S97",92290,69582,68606,68241,67027,67023
"HD4399-S1_S98",91551,65625,64329,64295,61330,61327
