input	filtered	denoisedF	denoisedR	merged	nonchim
10gEP114_S221	29312	29306	9570	9549	5918	5918
10gHD4371_S218	94964	94888	37919	37924	35270	35178
10gHD4379_S219	76914	76892	36670	36059	36033	35005
10gHD4397_S220	100476	100425	43531	44135	40432	40432
114-2152-PSME_2_S259	126488	126398	45415	45404	40250	40250
114-2152-PSME_S215	17640	17638	4141	4141	4044	4044
114-2164-PSME_2_S256	5748	5747	303	303	269	269
114-2164-PSME_S212	2965	2964	141	21	21	21
114-2170-4-NODE3_2_S255	18515	18484	4507	4483	4480	4480
114-2170-4-NODE3_S211	29036	28967	3650	3642	3642	3642
114-2177-1-NODE3_2_S253	9409	9409	677	677	0	0
114-2177-1-NODE3_S209	7519	7519	832	825	825	825
114-2191-1-ARME_2_S258	17359	17359	6715	6714	4312	4312
114-2191-1-ARME_S214	777	777	51	4	2	2
114-2203-1-NODE3_2_S252	640	637	2	1	0	0
114-2203-1-NODE3_S208	2492	2492	192	192	192	192
114-2211-2-NODE3_2_S251	1319	1319	5	1	0	0
114-2211-2-NODE3_S207	663	663	28	13	13	13
114-2228-2-ARME_2_S260	29975	29975	20296	20295	19026	19026
114-2228-2-ARME_S216	569	569	14	19	14	14
114-2237-PSME_2_S257	649	648	100	53	53	53
114-2237-PSME_S213	347	346	22	20	20	20
114-2277-NODE3_2_S254	1085	1084	59	50	43	43
114-2277-NODE3_S210	900	900	1	1	0	0
114-center-rebar_2_S250	19742	19740	9148	9141	7428	7428
114-center-rebar_S206	17030	17030	10570	10571	10570	10570
114-east-rebar_2_S247	7726	7723	3481	3479	3479	3479
114-east-rebar_S203	9804	9802	4102	4091	4091	4091
114-north-rebar_2_S246	74792	74790	9891	9876	9875	9875
114-north-rebar_S202	41137	41135	9633	9619	9619	9619
114-south-rebar_2_S248	2319	2313	58	59	0	0
114-south-rebar_S204	1238	1238	149	122	120	120
114-west-rebar_2_S249	3099	3099	1254	1254	1254	1254
114-west-rebar_S205	10055	10055	5764	5765	5764	5764
Dung1_1_S222	31133	31133	20022	20049	19707	19290
Dung1_2_S223	118374	118370	81705	81755	78273	76111
Dung1_3_S224	133305	133300	86524	86509	81436	79084
Dung2_1_S225	96408	96404	64786	64702	60731	48084
Dung2_2_S226	112321	112296	79697	79656	75963	64902
Dung2_3_S227	160564	160545	118114	118276	113482	100541
