"","input","filtered","denoisedF","denoisedR","merged","nonchim","sample"
"HD3901-S1_4401_S1",39241,13971,13939,13931,11208,11208,"HD3901-S1_4401_S1"
"HD3902-S1_4400_S100",62709,14479,14443,14269,12493,12493,"HD3902-S1_4400_S100"
"HD4301-S1_S2",48477,27666,27601,27601,26640,26511,"HD4301-S1_S2"
"HD4303-S1_S3",26770,14121,14074,14049,11644,10914,"HD4303-S1_S3"
"HD4304-S1_S4",11694,6695,6686,6685,6685,6685,"HD4304-S1_S4"
"HD4305-S1_S5",17468,12167,12077,12158,12071,12071,"HD4305-S1_S5"
"HD4306-S1_S6",8757,3674,3601,3644,3601,3601,"HD4306-S1_S6"
"HD4307-S1_S7",8038,3982,3935,3929,3881,3881,"HD4307-S1_S7"
"HD4308-S1_S8",8359,3417,3363,3359,3228,3225,"HD4308-S1_S8"
"HD4309-S1_S9",280013,185457,185346,185244,175106,175106,"HD4309-S1_S9"
"HD4310-S1_S10",41374,10572,10499,10526,10462,10462,"HD4310-S1_S10"
"HD4311-S1_S11",14662,6186,6144,6175,6119,6119,"HD4311-S1_S11"
"HD4312-S1_S12",160861,117121,117031,117047,112393,111863,"HD4312-S1_S12"
"HD4314-S1_S14",45741,24994,24883,24604,22937,22678,"HD4314-S1_S14"
"HD4315-S1_S15",9714,4802,4700,4682,4666,4666,"HD4315-S1_S15"
"HD4316-S1_S16",20056,8428,8243,8268,8154,8154,"HD4316-S1_S16"
"HD4317-S1_S17",105861,63563,63472,63451,60602,56896,"HD4317-S1_S17"
"HD4318-S1_S18",86304,45634,45531,45420,43936,42241,"HD4318-S1_S18"
"HD4319-S1_S19",35628,5780,5604,5710,5596,5596,"HD4319-S1_S19"
"HD4321-S111_19_S21",19657,3250,3212,3215,3212,3212,"HD4321-S111_19_S21"
"HD4322-S1_S22",27453,20079,20073,20073,19842,19842,"HD4322-S1_S22"
"HD4323-S1_S23",37753,17371,17276,17315,15392,15392,"HD4323-S1_S23"
"HD4324-S1_S24",54541,16479,16353,16448,15388,15388,"HD4324-S1_S24"
"HD4325-S1_S25",54361,29432,29404,29367,26059,26059,"HD4325-S1_S25"
"HD4326-S1_S26",34934,8416,8409,8406,8406,8406,"HD4326-S1_S26"
"HD4328-S1_S28",6503,2786,2770,2757,2755,2755,"HD4328-S1_S28"
"HD4329-S1_S29",46094,14566,14535,14426,14422,14422,"HD4329-S1_S29"
"HD4330-S1_S30",52974,34628,34573,34576,33919,33827,"HD4330-S1_S30"
"HD4331-S1_S31",32586,18004,17981,17998,17979,17979,"HD4331-S1_S31"
"HD4332-S1_S32",51679,30617,30593,30435,30435,30435,"HD4332-S1_S32"
"HD4334-S1_S34",54991,36997,36947,36951,36920,36863,"HD4334-S1_S34"
"HD4335-S1_S35",73269,7614,7607,7588,7574,7574,"HD4335-S1_S35"
"HD4336-S1_S161",16422,7821,7722,7800,7691,7691,"HD4336-S1_S161"
"HD4337-S1_S37",51657,10254,10248,10247,10244,10234,"HD4337-S1_S37"
"HD4338-S1_S38",16921,8698,8597,8683,8596,8596,"HD4338-S1_S38"
"HD4339-S1_S39",72427,31993,31951,31957,25530,25530,"HD4339-S1_S39"
"HD4340-S1_S40",39387,27009,26843,26948,26041,23828,"HD4340-S1_S40"
"HD4341-S1_S41",101572,57204,56994,57160,55134,55035,"HD4341-S1_S41"
"HD4342-S1_S42",49124,18326,18060,18213,17443,17443,"HD4342-S1_S42"
"HD4343-S1_S43",104028,17279,17188,17231,16326,16326,"HD4343-S1_S43"
"HD4344-S1_S44",36671,15001,14897,14723,14621,14621,"HD4344-S1_S44"
"HD4345-S1_S45",68376,41370,41264,41301,37713,37625,"HD4345-S1_S45"
"HD4347-S1_S47",99357,21296,21266,21252,21212,21212,"HD4347-S1_S47"
"HD4348-S1_S48",96040,34988,34968,34870,28574,28574,"HD4348-S1_S48"
"HD4349-S1_S49",143860,80254,80178,80144,77783,77086,"HD4349-S1_S49"
"HD4350-S1_S50",21631,5879,5867,5867,4999,4999,"HD4350-S1_S50"
"HD4351-S1_S51",15998,10730,10704,10683,8969,8969,"HD4351-S1_S51"
"HD4352-S1_S52",55741,19075,19029,19003,13340,13340,"HD4352-S1_S52"
"HD4355-S1_S55",23872,6775,6769,6768,6768,6768,"HD4355-S1_S55"
"HD4356-S1_S56",85564,49757,49737,49734,49586,48194,"HD4356-S1_S56"
"HD4357-S1_S57",118184,61886,61564,61300,56520,56007,"HD4357-S1_S57"
"HD4358-S1_S58",18474,7515,7479,7469,5087,5087,"HD4358-S1_S58"
"HD4360-S1_S60",78563,47916,47879,47730,45788,45787,"HD4360-S1_S60"
"HD4361-S1_S61",75319,51904,51846,51888,51813,51781,"HD4361-S1_S61"
"HD4362-S1_S62",43772,31012,30988,30985,30864,30864,"HD4362-S1_S62"
"HD4363-S1_S63",87875,29307,29281,29274,21687,21687,"HD4363-S1_S63"
"HD4364-S1_S64",17922,10500,10489,10426,9203,9203,"HD4364-S1_S64"
"HD4365-S1_S65",70423,24341,24308,24250,22707,22707,"HD4365-S1_S65"
"HD4366-S1_S66",100959,27233,27199,27213,14734,14734,"HD4366-S1_S66"
"HD4367-S1_S67",87138,43169,43160,43152,43053,41408,"HD4367-S1_S67"
"HD4368-S1_S68",8986,3434,3334,3415,3324,3324,"HD4368-S1_S68"
"HD4369-S1_S69",31095,11256,11233,11234,9796,9796,"HD4369-S1_S69"
"HD4372-S1_S72",41444,7251,7246,7196,7194,7194,"HD4372-S1_S72"
"HD4373-S1_S73",30628,12950,12946,12909,11635,11635,"HD4373-S1_S73"
"HD4374-S1_S74",34141,19909,19890,19897,19888,19888,"HD4374-S1_S74"
"HD4375-S1_S75",29355,4379,4366,4336,4335,4335,"HD4375-S1_S75"
"HD4377-S1_S77",49707,14774,14733,14729,14729,14729,"HD4377-S1_S77"
"HD4378-S1_S78",51439,27149,27125,27131,23692,23692,"HD4378-S1_S78"
"HD4379-S1_S141",35496,2869,2831,2818,2818,2818,"HD4379-S1_S141"
"HD4380-S1_S80",48501,10022,10007,9998,8137,8137,"HD4380-S1_S80"
"HD4381-S1_S81",72159,23466,23459,23458,23396,23396,"HD4381-S1_S81"
"HD4382-S1_S82",46906,21144,21125,21133,17437,17437,"HD4382-S1_S82"
"HD4383-S1_S83",73248,48012,47990,47867,45154,45095,"HD4383-S1_S83"
"HD4384-S1_S84",84036,51761,51604,51688,49873,49831,"HD4384-S1_S84"
"HD4386-S1_S86",51940,30427,30398,30380,30357,30353,"HD4386-S1_S86"
"HD4387-S1_S87",24714,6810,6759,6714,6709,6709,"HD4387-S1_S87"
"HD4388-S1_S88",98140,69023,68758,68968,68331,68094,"HD4388-S1_S88"
"HD4389-S1_S89",72918,21368,21358,21357,14818,14818,"HD4389-S1_S89"
"HD4390-S1_S90",25300,10096,10067,10058,9779,9779,"HD4390-S1_S90"
"HD4391-S1_S91",65668,34503,34453,34449,22754,22754,"HD4391-S1_S91"
"HD4392-S1_S92",31677,6637,6599,6584,6420,6420,"HD4392-S1_S92"
"HD4393-S1_S93",66141,24554,24539,24531,22633,22633,"HD4393-S1_S93"
"HD4395-S1_S95",51806,16605,16587,16443,14545,14542,"HD4395-S1_S95"
"HD4396-S1_S96",38451,26281,26269,26269,25964,25752,"HD4396-S1_S96"
"HD4397-S1_S97",58727,25747,25594,25731,24923,24878,"HD4397-S1_S97"
"HD4398-S1_S98",48482,18440,18417,18335,18332,18332,"HD4398-S1_S98"
"HD4399-S1_S99",42313,22420,22371,22386,21645,18973,"HD4399-S1_S99"
