"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"HD3901-S1_4401_S1",41310,41288,13939,13931,11208,11208
"HD3902-S1_4400_S100",63598,63597,14443,14269,12493,12493
"HD4301-S1_S2",49168,49155,27601,27601,26640,26511
"HD4303-S1_S3",28276,28273,14074,14049,11644,10914
"HD4304-S1_S4",11723,11723,6686,6685,6685,6685
"HD4305-S1_S5",17587,17583,12077,12158,12071,12071
"HD4306-S1_S6",9961,9960,3601,3644,3601,3601
"HD4307-S1_S7",9388,9388,3935,3929,3881,3881
"HD4308-S1_S8",9754,9753,3363,3359,3228,3225
"HD4309-S1_S9",280147,280126,185346,185244,175106,175106
"HD4310-S1_S10",41779,41705,10499,10526,10462,10462
"HD4311-S1_S11",14746,14736,6144,6175,6119,6119
"HD4312-S1_S12",160944,160927,117031,117047,112393,111863
"HD4313-S1_S13",25129,25125,471,465,419,419
"HD4314-S1_S14",45845,45838,24883,24604,22937,22678
"HD4315-S1_S15",10736,10732,4700,4682,4666,4666
"HD4316-S1_S16",22620,22617,8243,8268,8154,8154
"HD4317-S1_S17",106681,106669,63472,63451,60602,56896
"HD4318-S1_S18",86392,86390,45531,45420,43936,42241
"HD4319-S1_S19",35918,35902,5604,5710,5596,5596
"HD4320-S1_S20",8206,8178,130,130,130,130
"HD4321-S111_19_S21",20078,20078,3212,3215,3212,3212
"HD4322-S1_S22",27507,27505,20073,20073,19842,19842
"HD4323-S1_S23",37872,37871,17276,17315,15392,15392
"HD4324-S1_S24",54694,54692,16353,16448,15388,15388
"HD4325-S1_S25",54420,54420,29404,29367,26059,26059
"HD4326-S1_S26",35094,35072,8409,8406,8406,8406
"HD4327-S1_S27",2718,2718,6,14,6,6
"HD4328-S1_S28",7535,7529,2770,2757,2755,2755
"HD4329-S1_S29",46140,46135,14535,14426,14422,14422
"HD4330-S1_S30",53368,53361,34573,34576,33919,33827
"HD4331-S1_S31",32877,32875,17981,17998,17979,17979
"HD4332-S1_S32",51934,51934,30593,30435,30435,30435
"HD4333-S1_S33",4625,4623,261,119,117,117
"HD4334-S1_S34",55140,55137,36947,36951,36920,36863
"HD4335-S1_S35",73693,73609,7607,7588,7574,7574
"HD4336-S1_S161",16674,16674,7722,7800,7691,7691
"HD4337-S1_S37",51778,51737,10248,10247,10244,10234
"HD4338-S1_S38",17292,17286,8597,8683,8596,8596
"HD4339-S1_S39",73012,73003,31951,31957,25530,25530
"HD4340-S1_S40",40894,40892,26843,26948,26041,23828
"HD4341-S1_S41",101912,101897,56994,57160,55134,55035
"HD4342-S1_S42",49529,49517,18060,18213,17443,17443
"HD4343-S1_S43",104177,104177,17188,17231,16326,16326
"HD4344-S1_S44",36936,36918,14897,14723,14621,14621
"HD4345-S1_S45",68393,68390,41264,41301,37713,37625
"HD4346-S1_S46",36573,36564,591,655,534,534
"HD4347-S1_S47",99569,99564,21266,21252,21212,21212
"HD4348-S1_S48",96622,96595,34968,34870,28574,28574
"HD4349-S1_S49",143972,143868,80178,80144,77783,77086
"HD4350-S1_S50",21653,21635,5867,5867,4999,4999
"HD4351-S1_S51",17169,17167,10704,10683,8969,8969
"HD4352-S1_S52",56313,56312,19029,19003,13340,13340
"HD4353-S1_S53",20836,20831,5199,5177,1375,1375
