"","MDS1","MDS2"
"HD3901-S1-4401",-0.320007874695518,-0.00882344027663442
"HD3902-S1-4400",-0.530128438673529,-0.0856092600077085
"HD4301-S1",-0.406992494606512,0.753758969365125
"HD4303-S1",2.64470793982507,-0.334658519098566
"HD4304-S1",0.0286881928429573,0.0418999310037041
"HD4305-S1",1.8715945603043,0.229574729959647
"HD4306-S1",2.29824700682944,0.0885752033052748
"HD4307-S1",0.0457194331060641,-0.125411264776999
"HD4308-S1",-0.15739101233294,0.344003500331079
"HD4309-S1",-0.155420585506891,0.274306328131558
"HD4310-S1",-0.106150919833093,0.149533979021454
"HD4311-S1",-0.179015870280644,-0.158209987132981
"HD4312-S1",-0.109309644204289,0.514363844434484
"HD4313-S1",-0.330407816927343,-0.274395042522407
"HD4314-S1",-0.211485670147243,-0.0437353447103549
"HD4315-S1",-0.129632957071975,0.0428642910798902
"HD4316-S1",-0.371536268265523,0.218643292165823
"HD4317-S1",-0.0424923074927285,0.440282890229606
"HD4318-S1",-0.113486835470575,0.773981639855831
"HD4319-S1",-0.0618349353943261,-0.523635335883942
"HD4320-S1",-0.134213261996211,-0.186463102091775
"HD4321-S111_19",-0.2607635112925,-0.0814305134240758
"HD4322-S1",-0.186655395169078,0.246072680805879
"HD4323-S1",-0.178095808017991,0.274297643866268
"HD4324-S1",-0.211733514821349,0.430812962402935
"HD4325-S1",-0.198385881677578,-0.071425531942699
"HD4326-S1",-0.418981456893614,-0.830742450381465
"HD4327-S1",-0.17187590900115,-0.956781168462465
"HD4328-S1",-0.849265836059988,0.281393878778745
"HD4329-S1",-0.740217314833538,-0.69614587938168
"HD4330-S1",-0.686067782869285,0.635367660107662
"HD4331-S1",0.933821274282668,-0.203288206467261
"HD4332-S1",1.18177359578035,-0.147144631625034
"HD4333-S1",-0.153871577820711,-0.388176602858206
"HD4334-S1",-0.167877198564178,0.0505801098264249
"HD4335-S1",-0.180084539822402,-0.0980475607170338
"HD4336-S111_23",-0.215268365325129,-0.0936504316183939
"HD4337-S1",-0.170529245669412,0.0570451723490189
"HD4338-S1",-0.201488965133235,0.0414453408627857
"HD4339-S1",-0.71677245741009,-0.853994923884592
"HD4340-S1",0.414727007197678,1.04527082554343
"HD4341-S1",0.044912063898105,0.110673919221884
"HD4342-S1",0.18612132683056,0.382706560501635
"HD4343-S1",-0.971492579178554,-0.731761131982145
"HD4344-S1",-0.00371679595114154,0.233449488560761
"HD4345-S1",-0.141820857674675,0.596105286752751
"HD4346-S1",-0.191657600733283,-0.185049379071537
"HD4347-S1",-0.335990053048715,-0.537587405283267
"HD4348-S1",-0.137206385535079,0.206880163503598
"HD4349-S1",0.283350178306067,-0.366879696826676
"HD4350-S1",-0.216330240079881,0.0470450222891777
"HD4351-S1",-0.453590037552183,0.0243965852153941
"HD4352-S1",-0.528475659813311,-0.163271370250635
"HD4353-S1",-0.403071950034255,0.0626001635094235
"HD4354-S1",-0.363535001269974,0.43076019258258
"HD4355-S1",-0.0533160137831106,-0.0637867850489926
"HD4356-S1",-0.0957246061676533,0.135742841466059
"HD4357-S1",-0.0302311356624204,-0.113907456822688
"HD4358-S1",0.0138569133518657,0.153963598215076
"HD4359-S1",0.00146538688272488,-0.17647942166591
"HD4360-S1",-0.257933297306514,0.98981352586099
"HD4361-S1",0.172652865191869,-0.0707917432959181
"HD4362-S1",0.580402896778096,0.0314801017140411
"HD4363-S1",2.02484832313742,-0.120321796713601
"HD4364-S1",0.265462138110005,0.215905371853349
"HD4365-S1",0.773343772362792,0.4536308974555
"HD4366-S1",0.243674423513434,0.0448264704662735
"HD4367-S1",0.294300895471385,-0.30782533116711
"HD4368-S1",-0.151988749386023,0.0958476651839187
"HD4369-S1",-0.19279291531072,0.132404990323771
"HD4372-S1",0.0430243271339199,-0.31482263853016
"HD4373-S1",-0.288173514924397,0.331952960641782
"HD4374-S1",-0.26223665736667,-0.112246431845383
"HD4375-S1",-0.133419588263421,0.14094051700219
"HD4376-S1",-0.0238063743676068,0.310556120633859
"HD4377-S1",1.23464520523976,-0.71288596107373
"HD4378-S1",-0.0680912726411265,0.366429728626157
"HD4379-S112_2",0.379547340762373,-0.0816865106163515
"HD4380-S1",-0.314134464882387,-0.0341262058925776
"HD4381-S1",0.162884810631641,-0.477607337583354
"HD4382-S1",-0.260998148769662,0.128433437756363
"HD4383-S1",-0.0418842510650783,0.689981366078604
"HD4384-S1",-0.0617228891517091,0.223277993859294
"HD4385-S1",0.517183763689981,-0.235882789596053
"HD4386-S1",0.119697089546342,0.202656954237387
"HD4387-S1",-0.416294692208539,-0.218031874615067
"HD4388-S1",1.29341634992909,0.358259508626741
"HD4389-S1",-0.243865754825888,-0.353548075205926
"HD4390-S1",-0.236986330218359,0.366646287948989
"HD4391-S1",0.213904886500455,-1.06332711859739
"HD4392-S1",-0.559072696941409,0.130854143374279
"HD4393-S1",-0.467481715221502,0.240116073150335
"HD4394-S1",-0.445765464785701,-1.13238916014502
"HD4395-S1",-0.339156531568634,-0.133327710603023
"HD4396-S1",-0.207781896227344,-0.144632772801088
"HD4397-S112_6",0.346260039063059,-0.596167444205187
"HD4398-S1",-0.339054453052172,0.150650401762722
"HD4399-S1",-0.307991778249799,-0.312950465098443
