"","MDS1","MDS2"
"HD3901-S1-4401",-0.0409097218388282,0.248186695687184
"HD3902-S1-4400",-0.293340531575148,-0.0698706380775399
"HD4301-S1",0.564060109401134,0.614880549201385
"HD4308-S1",0.358915885258044,0.132540495483347
"HD4309-S1",0.261732502280716,0.152884297107381
"HD4310-S1",0.165692987260728,-0.0183930605978959
"HD4311-S1",-0.170698643458835,-0.00743901104954683
"HD4312-S1",0.539376821189445,0.120888825606619
"HD4313-S1",-0.328526509491986,0.155138447819142
"HD4314-S1",-0.068961990585947,0.124745662480595
"HD4315-S1",0.0542105530777658,0.0229239348533984
"HD4316-S1",0.178009820216841,0.277209128067528
"HD4317-S1",0.47476133417439,-0.0116369481765812
"HD4318-S1",0.785140535686625,0.139576208436588
"HD4319-S1",-0.510177099561903,-0.231786699574149
"HD4320-S1",-0.194463799526164,0.0764465384947949
"HD4321-S111_19",-0.115667867160448,0.0942581318470896
"HD4322-S1",0.262667128191261,0.0699764596525908
"HD4323-S1",0.268899585636549,0.0962641700252876
"HD4325-S1",-0.0873379471310314,0.00116146648729289
"HD4326-S1",-0.907064125988922,0.0988549764295389
"HD4327-S1",-0.962845171309221,-0.241439697111091
"HD4328-S1",0.0241426924813454,0.805716960146379
"HD4329-S1",-0.826144990880105,0.471320259654264
"HD4330-S1",0.402971066870072,0.780872461061482
"HD4335-S1",-0.105471997791608,0.152868725930938
"HD4336-S111_23",-0.105245670014834,0.14425575197923
"HD4337-S1",0.0592107167315436,0.0591487431088827
"HD4338-S1",0.0439074258608804,0.10388930237309
"HD4339-S1",-0.982023169754362,0.44378404734464
"HD4340-S1",1.17326516946633,-0.309690885293132
"HD4341-S1",0.168630254998504,0.178786793295596
"HD4342-S1",0.444465144523473,-0.284650777774668
"HD4343-S1",-0.890546935808954,0.759430917969541
"HD4344-S1",0.284795314468832,-0.11691664128507
"HD4345-S1",0.562073404091997,0.327249192467399
"HD4346-S1",-0.207056993855475,0.0409369670490647
"HD4347-S1",-0.595629588083689,0.0451071119001684
"HD4348-S1",0.230604127109142,0.120530488538252
"HD4349-S1",-0.336287271544458,-0.476230991499515
"HD4350-S1",0.0288289079888873,0.0506819598397527
"HD4351-S1",0.243511985515848,-0.260452711384404
"HD4352-S1",-0.257179609916657,0.341187620426694
"HD4353-S1",0.0292697204199463,0.320820054372129
"HD4354-S1",0.420059940541089,0.276181494266064
"HD4355-S1",-0.0421708878855402,-0.132595383800092
"HD4356-S1",0.163331944682207,-0.0367131532992667
"HD4357-S1",-0.101021085186981,-0.086006822072404
"HD4358-S1",0.210896092890271,-0.121479741055405
"HD4359-S1",-0.119523850317781,-0.18023414175755
"HD4360-S1",0.918566957947136,0.442861523505577
"HD4365-S1",0.164781748603414,-1.02444449418052
"HD4366-S1",0.0460766570228924,-0.45380761877805
"HD4367-S1",-0.253888183692751,-0.493269191640177
"HD4368-S1",0.0962513508476827,-0.0503746302845312
"HD4369-S1",0.123498673651923,0.0922770236718136
"HD4372-S1",-0.286652397791117,-0.259942830336643
"HD4373-S1",0.369221239135037,0.0726209652645673
"HD4374-S1",-0.0927140270687828,0.288164150284278
"HD4375-S1",0.14605385292483,0.0410446493791114
"HD4376-S1",0.337854116070533,-0.0540505585776075
"HD4377-S1",-0.169443877331436,-1.54921888889956
"HD4378-S1",0.392100758818165,-0.0029601376291525
"HD4379-S112_2",-0.0590891195130376,-0.505573099383584
"HD4380-S1",-0.0774638570338159,0.197030019818016
"HD4381-S1",-0.405750040645022,-0.425095688578721
"HD4382-S1",0.0769274830550108,0.170621986197655
"HD4383-S1",0.715574604297877,0.0878960222736097
"HD4384-S1",0.249501050747007,0.00823504353356572
"HD4385-S1",0.196379909338301,-0.723969450525254
"HD4386-S1",0.0939167676944935,-0.285631104974488
"HD4387-S1",-0.335085901121559,0.0515122557365563
"HD4388-S1",0.774503371535993,-1.28126627166303
"HD4389-S1",-0.370041272877913,0.216600484585096
"HD4390-S1",0.343842203765855,0.222963346649132
"HD4391-S1",-0.992005535517033,-0.57937427142816
"HD4392-S1",0.0180505467081103,0.468236739966302
"HD4393-S1",0.14455502973994,-0.293720145849915
"HD4394-S1",-1.18955623973538,0.0279841338678674
"HD4395-S1",-0.184486725013951,0.217208626834578
"HD4396-S1",-0.131191296200913,0.0170953024084807
"HD4397-S112_6",-0.603251732489787,-0.506562390635679
"HD4398-S1",0.118524596921669,0.35124130707738
"HD4399-S1",-0.330696425138357,0.252499656716464
