"","MDS1","MDS2"
"HD3901-S1-4401",-0.320007874691515,-0.00882344028691543
"HD3902-S1-4400",-0.530128438674567,-0.0856092600150981
"HD4301-S1",-0.406992494630356,0.753758969370603
"HD4303-S1",2.64470793984799,-0.334658519006103
"HD4304-S1",0.0286881928398741,0.041899931002327
"HD4305-S1",1.87159456032799,0.229574729942675
"HD4306-S1",2.29824700683737,0.0885752033542517
"HD4307-S1",0.0457194331058123,-0.125411264780393
"HD4308-S1",-0.157391012339809,0.344003500327485
"HD4309-S1",-0.155420585514142,0.274306328127082
"HD4310-S1",-0.106150919837391,0.149533979018242
"HD4311-S1",-0.1790158702804,-0.15820998713866
"HD4312-S1",-0.109309644214264,0.514363844434607
"HD4313-S1",-0.330407816930137,-0.274395042528817
"HD4314-S1",-0.211485670178752,-0.0437353447154932
"HD4315-S1",-0.129632957075139,0.0428642910750892
"HD4316-S1",-0.371536268276478,0.218643292155224
"HD4317-S1",-0.0424923075041712,0.440282890229279
"HD4318-S1",-0.113486835487003,0.773981639868154
"HD4319-S1",-0.0618349353919142,-0.523635335889671
"HD4320-S1",-0.134213261995459,-0.186463102100367
"HD4321-S111_19",-0.260763511305377,-0.0814305134338311
"HD4322-S1",-0.18665539517472,0.246072680801033
"HD4323-S1",-0.178095808027096,0.27429764386187
"HD4324-S1",-0.211733514856087,0.430812962399673
"HD4325-S1",-0.198385881682475,-0.0714255319431956
"HD4326-S1",-0.418981456886552,-0.830742450380729
"HD4327-S1",-0.17187590899378,-0.956781168448868
"HD4328-S1",-0.849265836061385,0.281393878756148
"HD4329-S1",-0.740217314807826,-0.69614587937507
"HD4330-S1",-0.686067782901493,0.635367660104863
"HD4331-S1",0.933821274303122,-0.203288206476383
"HD4332-S1",1.18177359582034,-0.147144631622205
"HD4333-S1",-0.153871577818004,-0.388176602864242
"HD4334-S1",-0.167877198566088,0.0505801098190543
"HD4335-S1",-0.180084539815034,-0.098047560721337
"HD4336-S111_23",-0.215268365318854,-0.0936504316226477
"HD4337-S1",-0.170529245672472,0.0570451723434567
"HD4338-S1",-0.201488965132759,0.0414453408555687
"HD4339-S1",-0.716772457375356,-0.853994923857299
"HD4340-S1",0.414727007202699,1.04527082558826
"HD4341-S1",0.0449120638941176,0.11067391921968
"HD4342-S1",0.186121326821051,0.382706560508087
"HD4343-S1",-0.971492579121864,-0.731761131962266
"HD4344-S1",-0.00371679595410958,0.233449488561646
"HD4345-S1",-0.141820857675517,0.596105286757625
"HD4346-S1",-0.191657600734248,-0.185049379079294
"HD4347-S1",-0.3359900530513,-0.537587405297544
"HD4348-S1",-0.137206385534987,0.206880163499529
"HD4349-S1",0.283350178308939,-0.366879696827388
"HD4350-S1",-0.216330240084299,0.0470450222837907
"HD4351-S1",-0.453590037547512,0.0243965852031173
"HD4352-S1",-0.528475659816084,-0.163271370257825
"HD4353-S1",-0.403071950034674,0.062600163500214
"HD4354-S1",-0.363535001278783,0.430760192577813
"HD4355-S1",-0.0533160137845532,-0.0637867850478248
"HD4356-S1",-0.095724606171767,0.135742841464533
"HD4357-S1",-0.0302311356617391,-0.113907456826513
"HD4358-S1",0.0138569133479761,0.153963598214494
"HD4359-S1",0.00146538688443595,-0.17647942166596
"HD4360-S1",-0.257933297316914,0.989813525900197
"HD4361-S1",0.172652865189651,-0.0707917432965061
"HD4362-S1",0.580402896776355,0.0314801017204473
"HD4363-S1",2.02484832311303,-0.120321796833557
"HD4364-S1",0.265462138103536,0.2159053718547
"HD4365-S1",0.773343772373848,0.453630897478282
"HD4366-S1",0.243674423510253,0.0448264704841672
"HD4367-S1",0.294300895472148,-0.307825331172317
"HD4368-S1",-0.151988749395078,0.0958476651801728
"HD4369-S1",-0.192792915317421,0.132404990319143
"HD4372-S1",0.0430243271355525,-0.314822638531905
"HD4373-S1",-0.288173514934334,0.331952960634807
"HD4374-S1",-0.262236657316417,-0.112246431883169
"HD4375-S1",-0.13341958826734,0.140940516998279
"HD4376-S1",-0.0238063743803723,0.310556120634109
"HD4377-S1",1.23464520520629,-0.712885961067018
"HD4378-S1",-0.0680912726516989,0.366429728624117
"HD4379-S112_2",0.379547340757656,-0.081686510620373
"HD4380-S1",-0.314134464888404,-0.0341262059049502
"HD4381-S1",0.162884810636996,-0.477607337583411
"HD4382-S1",-0.260998148775968,0.12843343774898
"HD4383-S1",-0.0418842510767849,0.689981366089027
"HD4384-S1",-0.0617228891573142,0.223277993854654
"HD4385-S1",0.517183763704318,-0.235882789530048
"HD4386-S1",0.119697089537891,0.20265695424405
"HD4387-S1",-0.41629469221449,-0.218031874618795
"HD4388-S1",1.29341635000352,0.35825950865173
"HD4389-S1",-0.243865754821688,-0.353548075213621
"HD4390-S1",-0.236986330225148,0.366646287941923
"HD4391-S1",0.213904886503959,-1.06332711858857
"HD4392-S1",-0.559072696947373,0.130854143360528
"HD4393-S1",-0.467481715237383,0.240116073128311
"HD4394-S1",-0.445765464760348,-1.13238916009542
"HD4395-S1",-0.339156531570116,-0.133327710610165
"HD4396-S1",-0.207781896220373,-0.144632772806538
"HD4397-S112_6",0.346260039068666,-0.596167444198031
"HD4398-S1",-0.339054453045318,0.150650401760808
"HD4399-S1",-0.307991778246814,-0.312950465107576
