"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV71","ASV71",31.6358781543551,22.2639838209306,2.23940714153734,9.9419098063814,2.73531914950625e-23,8.11478014353521e-21,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV74","ASV74",11.7405684207087,-26.3286035196681,4.23623679022638,-6.21509250389685,5.12944227940957e-10,4.56520362867452e-08,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV107","ASV107",34.9107136266755,23.0444845758937,2.07834805563908,11.0878851659943,1.43643535174591e-28,1.27842746305386e-25,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV144","ASV144",36.6385841030151,7.95099849713498,1.67934850392558,4.73457324584445,2.19516487433956e-06,0.000114923337538953,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV180","ASV180",11.5009272378341,21.6051588823586,2.81669838150314,7.67038424285561,1.71481864802472e-14,3.052377193484e-12,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Unclassified"
"ASV184","ASV184",15.0463813998105,21.1377131341504,3.68533543465037,5.73562800699462,9.71516835604452e-09,7.20541653073302e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV298","ASV298",10.7897078386806,21.5332316759968,3.03935986760742,7.08479173706656,1.39253560698213e-12,2.06559448369016e-10,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter","Unclassified"
"ASV301","ASV301",10.2671273015278,19.3854451279337,2.96798768946531,6.53151129862875,6.51093094275313e-11,6.43858726561143e-09,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV303","ASV303",21.8256147666641,21.771207207193,2.18646382446503,9.95726842748921,2.34414850570554e-23,8.11478014353521e-21,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV356","ASV356",22.8693612473182,22.3056090934079,2.57056664844036,8.67731210429473,4.05231930565633e-18,9.01641045508533e-16,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV392","ASV392",16.5366750602322,6.52944995472498,1.87727983705056,3.47814418812677,0.000504898254364087,0.0249644136880021,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter","Unclassified"
"ASV422","ASV422",13.727348177608,22.1072156293721,3.34567011741825,6.60770932384437,3.90312088303466e-11,4.34222198237606e-09,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified","Unclassified"
"ASV441","ASV441",10.8094356956549,-26.3633584890964,4.46168559686996,-5.90883376174945,3.44538167383501e-09,2.78762699064833e-07,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","Unclassified"
"ASV646","ASV646",5.87700997335036,-25.5158137007042,4.46185991265265,-5.71864966633043,1.07373916424875e-08,7.35098350908759e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Unclassified","Unclassified"
"ASV652","ASV652",7.95752673034324,21.436390139256,3.08989975618458,6.93756815131302,3.98906903395077e-12,5.07181634316598e-10,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV849","ASV849",5.83144859597167,21.3276164288526,3.99815919678704,5.33435898350212,9.58826676869244e-08,5.68903828275751e-06,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Unclassified"
"ASV895","ASV895",1.32698944205844,-23.5006611150336,4.46316856137311,-5.26546573177231,1.39834402572319e-07,7.77828864308523e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","Unclassified"
"ASV929","ASV929",3.9399518828442,-24.6152355955024,4.46204750001615,-5.51657856520203,3.45662999363315e-08,2.19742906738107e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
