"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV11","ASV11",49.0568547144245,-9.94572332709592,2.41810645749686,-4.11302128417927,3.90514365424277e-05,0.00154643688708014,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV71","ASV71",31.6358781543551,22.7096361367637,2.20191498622358,10.3135844384765,6.11761478813079e-25,1.61505030406653e-22,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV74","ASV74",11.7405684207087,-26.2328413912495,4.15971613561316,-6.30640181589762,2.85597008313669e-10,1.88494025487021e-08,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV107","ASV107",34.9107136266755,22.6747483363606,2.04407905834561,11.0928920502285,1.35824292871281e-28,1.07572839954054e-25,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV118","ASV118",7.58283491081404,-7.21061156362585,2.17205699883446,-3.31971562785651,0.000901091859323204,0.031178971832528,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","Unclassified"
"ASV144","ASV144",36.6385841030151,8.11879721384864,1.65265903801033,4.91256637159897,8.98919385477269e-07,3.95524529609998e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV180","ASV180",11.5009272378341,20.8131323922807,2.7689715709279,7.51655690899931,5.62376078077874e-14,7.73382317094282e-12,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Unclassified"
"ASV184","ASV184",15.0463813998105,22.0642452469831,3.62104379203619,6.09333841681487,1.10579947345841e-09,6.73687063830044e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV298","ASV298",10.7897078386806,20.9276168342324,2.98743726509911,7.0052071314502,2.46620701719422e-12,2.44154494702228e-10,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter","Unclassified"
"ASV301","ASV301",10.2671273015278,21.8952578507101,2.91501615626948,7.51119605413465,5.85895694768395e-14,7.73382317094282e-12,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV303","ASV303",21.8256147666641,22.3852968961845,2.14987141130715,10.4123887496015,2.17689584035725e-25,8.62050752781472e-23,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV336","ASV336",7.71117231493914,6.36803843132486,1.96774077439684,3.23621816154966,0.00121124772630169,0.0399711749679557,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidocella","Unclassified"
"ASV356","ASV356",22.8693612473182,22.218493451135,2.52700951160546,8.79240594429704,1.46390728948617e-18,2.89853643318262e-16,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV392","ASV392",16.5366750602322,7.15141340054072,1.84648080951367,3.87299633101753,0.000107505446709604,0.00405449113304794,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter","Unclassified"
"ASV398","ASV398",15.9644274197263,6.99564434717132,2.10815786893847,3.31836834909042,0.00090544993958099,0.031178971832528,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocella","Unclassified"
"ASV422","ASV422",13.727348177608,20.8402740548176,3.2883164568359,6.33767288774593,2.33261400954718e-10,1.67948208687397e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified","Unclassified"
"ASV441","ASV441",10.8094356956549,-26.3045015397673,4.38122298853656,-6.00391753822913,1.92612552838025e-09,1.08963672748368e-07,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","Unclassified"
"ASV500","ASV500",13.3251178219809,-6.38291144406087,2.00315643746373,-3.18642684349831,0.00144041910949626,0.0456324773888414,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus","Unclassified"
"ASV646","ASV646",5.87700997335036,-25.4748753856192,4.38140050606296,-5.81432246387135,6.08799583265132e-09,3.21446179963989e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Unclassified","Unclassified"
"ASV652","ASV652",7.95752673034324,19.9005950963178,3.03790087966099,6.55077169553293,5.7240512003046e-11,5.03716505626804e-09,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV811","ASV811",6.75476020718968,-25.348523095601,3.93836133102398,-6.43631220323058,1.22411121726041e-10,9.69496084070242e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Unclassified"
"ASV849","ASV849",5.83144859597167,18.3053613284342,3.93218021501891,4.65527018790164,3.23556122809012e-06,0.000134871815402493,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Unclassified"
"ASV895","ASV895",1.32698944205844,-23.4626268108662,4.38273318317086,-5.35342349859665,8.6305533049223e-08,4.02082248088145e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","Unclassified"
"ASV929","ASV929",3.9399518828442,-25.327580442861,4.38159153864864,-5.78045219857999,7.45001043778841e-09,3.68775516670526e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV1099","ASV1099",4.87277048418979,-24.6944051961615,3.48937028298254,-7.07703774420123,1.47268433428888e-12,1.66623713250971e-10,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_saalfeldensis"
