"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV71","ASV71",31.6358781543551,-23.8770510895936,2.23941848704629,-10.6621657487014,1.52992594171414e-26,2.39433409878263e-23,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV74","ASV74",11.7405684207087,25.8784271597389,4.23630724895783,6.10872291335933,1.00431514675249e-09,3.49278489926145e-07,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV107","ASV107",34.9107136266755,-24.126623308292,2.07835715016596,-11.6085068951529,3.73073146873641e-31,1.1677189497145e-27,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV144","ASV144",36.6385841030151,-7.95101818665273,1.67935349416114,-4.73457090141964,2.19519024701775e-06,0.00045806303154437,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV180","ASV180",11.5009272378341,-21.9212853155032,2.81672017425045,-7.78255700225408,7.10731625055846e-15,4.4491799728496e-12,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Unclassified"
"ASV298","ASV298",10.7897078386806,-22.9191101887061,3.03938733674842,-7.54070069043103,4.67452902734189e-14,2.43854597593002e-11,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter","Unclassified"
"ASV303","ASV303",21.8256147666641,-23.0685989423831,2.18647434961538,-10.5505920736921,5.04779930008158e-26,5.26653726975178e-23,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV356","ASV356",22.8693612473182,-23.6811614748104,2.570583468209,-9.21236822989052,3.19007609347833e-20,2.49623454314679e-17,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV422","ASV422",13.727348177608,-23.3657883334476,3.34570642007095,-6.9838131024515,2.87274180134774e-12,1.1239602297773e-09,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified","Unclassified"
"ASV441","ASV441",10.8094356956549,25.6463578763406,4.46176789380219,5.7480260037654,9.02913554977653e-09,2.82611942708005e-06,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","Unclassified"
"ASV646","ASV646",5.87700997335036,24.8269382282267,4.4619421301574,5.56415513783254,2.63425519050869e-08,6.87101562191017e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Unclassified","Unclassified"
"ASV652","ASV652",7.95752673034324,-22.5835414712303,3.08992836373696,-7.30875891372375,2.69621015758478e-13,1.20559111332005e-10,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV849","ASV849",5.83144859597167,-22.6134312230556,3.99822101620567,-5.65587323246975,1.55055883484703e-08,4.41204468461019e-06,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Unclassified"
"ASV895","ASV895",1.32698944205844,22.9143552448053,4.46325207608408,5.1340042762966,2.83641646338051e-07,6.34141680741501e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","Unclassified"
"ASV929","ASV929",3.9399518828442,24.1120404381409,4.46212995325255,5.4037064565018,6.52777411265427e-08,1.57168715173907e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
