"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV11","ASV11",49.0568547144245,9.94577890073772,2.41812063228614,4.11302015620899,3.90516274270713e-05,0.00155685821342591,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV71","ASV71",31.6358781543551,-24.2174826908299,2.20192678436026,-10.9983142322627,3.89342231220347e-28,1.16413327134884e-25,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV74","ASV74",11.7405684207087,25.718259939818,4.15979078322454,6.18258496161244,6.30603514948642e-10,4.7137612742411e-08,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV107","ASV107",34.9107136266755,-22.7660489175169,2.04408854502181,-11.1375062361959,8.23942136908178e-29,4.9271739787109e-26,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV118","ASV118",7.58283491081404,7.21062645202991,2.17206714623816,3.31970697338621,0.000901119792031738,0.0300814257338061,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","Unclassified"
"ASV144","ASV144",36.6385841030151,-8.11881670905745,1.65266424278339,-4.91256269657282,8.98936240257371e-07,3.83974194052791e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV184","ASV184",15.0463813998105,-22.0475977491199,3.62109466805839,-6.0886554399147,1.138628716616e-09,6.80899972536366e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV301","ASV301",10.2671273015278,-21.6461494179696,2.91504300956504,-7.42567068374041,1.1220986398537e-13,1.34202997326503e-11,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV303","ASV303",21.8256147666641,-20.1259871187022,2.14988218938628,-9.36143720714647,7.86593380156101e-21,1.42877007763575e-18,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV336","ASV336",7.71117231493914,-6.36805556939934,1.96774931604371,-3.23621282318762,0.00121127038032444,0.0381231414438954,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidocella","Unclassified"
"ASV356","ASV356",22.8693612473182,-23.6045641970576,2.5270271194012,-9.34084324455167,9.55699048585786e-21,1.42877007763575e-18,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV392","ASV392",16.5366750602322,-7.15143402713268,1.84648793516484,-3.87299255572675,0.000107507112664307,0.00401807833582849,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter","Unclassified"
"ASV398","ASV398",15.9644274197263,-6.9956717698246,2.10816829540007,-3.31836494509895,0.000905460975265067,0.0300814257338061,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocella","Unclassified"
"ASV441","ASV441",10.8094356956549,25.5465470092873,4.38131014265453,5.830800874053,5.51619795635951e-09,2.99880579809362e-07,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","Unclassified"
"ASV500","ASV500",13.3251178219809,6.38294169708509,2.00316452312961,3.18642908427352,0.00144040795185893,0.043068197760582,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus","Unclassified"
"ASV646","ASV646",5.87700997335036,24.6888084265751,4.38148747839923,5.63480063523886,1.75260968791252e-08,8.7338382780974e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Unclassified","Unclassified"
"ASV811","ASV811",6.75476020718968,24.0305038023728,3.93842436033417,6.10155270325766,1.05042991784296e-09,6.80899972536366e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Unclassified"
"ASV848","ASV848",7.57029849413613,22.4937709592772,3.60595292864166,6.23795468338252,4.4332903393117e-10,3.78729660415485e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified","Unclassified"
"ASV929","ASV929",3.9399518828442,24.2387730440627,4.38167875332213,5.53184621891442,3.16877661922635e-08,1.45763724484412e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV1099","ASV1099",4.87277048418979,23.3390488196721,3.48941403620964,6.68852952887872,2.2542416518809e-11,2.24672751304129e-09,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_saalfeldensis"
