"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV11","ASV11",30.1758023073508,7.86510659078883,1.80436216299749,4.35894010198206,1.30693874767399e-05,0.0038188750207034,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV118","ASV118",7.58283491081404,6.10504736254191,1.45125296801046,4.20674237856091,2.59078195277854e-05,0.00688205896910807,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","Unclassified"
"ASV192","ASV192",13.1720821091027,23.9477362127615,1.77349362449373,13.5031419803371,1.49846644496007e-41,4.37851895217332e-38,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense"
"ASV226","ASV226",15.5096290750293,7.13700434007904,1.44349908288869,4.94423891548077,7.64419105900395e-07,0.000248181403048995,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Unclassified"
"ASV228","ASV228",18.1838830297224,24.4019365746648,2.06580258575926,11.8123274425548,3.37098625748805e-32,4.92501092219004e-29,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV231","ASV231",22.9080867208636,24.3743637284508,2.42097601405932,10.067990590118,7.65255303494612e-24,4.47215199362251e-21,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV529","ASV529",7.55178325244139,23.1747819175944,2.3332244995546,9.93251267592052,3.00583918452695e-23,1.46384368286462e-20,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV599","ASV599",8.79202913978838,23.3934298208323,2.22222915054344,10.5270105988446,6.48616755802869e-26,4.73814540113996e-23,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Unclassified"
"ASV671","ASV671",8.03190327768066,23.0408101228035,1.98859283831417,11.5864895411855,4.82505322485187e-31,4.69960184100572e-28,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV811","ASV811",6.75476020718968,23.0153616111821,2.604818223697,8.83568818806731,9.94839084631194e-19,3.63364975661544e-16,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Unclassified"
"ASV825","ASV825",6.93194097472431,20.7487791910523,2.19912456255881,9.4350177085512,3.90928208826546e-21,1.63184603741595e-18,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Unclassified"
