"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV74","ASV74",11.7405684207087,21.8259189468053,5.7280428877925,3.81036234790076,0.000138763258686588,0.0107310253384295,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV112","ASV112",17.4713758317096,20.473324565518,2.66770645227417,7.67450427241156,1.66059588673274e-14,1.92629122860998e-11,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Unclassified"
"ASV137","ASV137",19.1940618322311,19.9515462848603,3.41699103999519,5.83892262266171,5.25394619273505e-09,1.52364439589316e-06,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Unclassified","Unclassified"
"ASV184","ASV184",15.0463813998105,19.7707686438972,4.935990532383,4.00543082775167,6.19045478745678e-05,0.00552379042573066,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV192","ASV192",13.5976799780698,20.9797789540448,3.58845923383536,5.84645876877401,5.02147959688755e-09,1.52364439589316e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense"
"ASV248","ASV248",21.0918520665465,20.0216704878609,2.87222697884834,6.9707828229818,3.15182208012409e-12,1.82805680647197e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","GOUTA6","Unclassified"
"ASV250","ASV250",14.646044634975,19.6234101291286,3.7266607601382,5.26568190456941,1.39669943207958e-07,2.52297595821622e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Unclassified"
"ASV298","ASV298",10.7897078386806,19.749919157928,4.11485694387498,4.79966118562785,1.58934277795498e-06,0.000204848624714197,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter","Unclassified"
"ASV301","ASV301",10.2671273015278,17.8786276248363,3.94280461440772,4.53449495303537,5.77414826137466e-06,0.000608910180290419,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV315","ASV315",10.2437518849373,21.2205989737645,5.60162314046629,3.78829464989643,0.000151684891911491,0.0109971546635831,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera","Unclassified"
"ASV408","ASV408",8.27952574193955,20.6258817968668,4.03964711004171,5.10586227831515,3.29289460585449e-07,4.77469717848901e-05,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV604","ASV604",9.208583155079,19.9653488260538,4.35568559830689,4.58374425229742,4.56722807230407e-06,0.000529798456387272,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter","Unclassified"
"ASV606","ASV606",11.4390885800928,18.9562555933494,3.28095595672735,5.77766231652122,7.57456363608385e-09,1.75729876357145e-06,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Unclassified"
"ASV615","ASV615",14.8000210933237,20.5828212278281,5.45855410272145,3.77074603283061,0.000162760248599451,0.0111059934338449,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV753","ASV753",7.35984750900473,16.3618299906504,4.71308843029701,3.4715728831804,0.000517418855337984,0.0333447706773367,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","Unclassified"
"ASV796","ASV796",7.82442738873556,20.2808195252872,4.53878474038306,4.46833694156987,7.88300685836692e-06,0.000762023996308802,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Unclassified"
"ASV895","ASV895",4.75491222234162,19.3088171061981,5.72841616070883,3.37070781250796,0.000749753331250725,0.045774413907939,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","Unclassified"
"ASV954","ASV954",6.30983699480957,-23.8538551669101,4.54374792005066,-5.24981922118692,1.52248549202703e-07,2.52297595821622e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV1366","ASV1366",4.32055141933191,-22.5831677810855,5.69760838625895,-3.96362232187628,7.38210105375271e-05,0.00611659801596653,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
