"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV74","ASV74",11.7405684207087,21.7814347064606,5.49096856833121,3.96677461096455,7.28518262803736e-05,0.00515166485839785,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV151","ASV151",22.8813870077776,-23.1737700599375,2.49804314990375,-9.27676932275184,1.74695151498316e-20,2.59422299974999e-17,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","Unclassified"
"ASV207","ASV207",15.7679748545,-22.2119537537283,3.06281600238292,-7.25213455083395,4.10254023449629e-13,1.52306806205675e-10,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter","Unclassified"
"ASV228","ASV228",18.1838830297224,24.1788374263516,4.02236014830249,6.01110704533891,1.84260681607007e-09,5.47254224372812e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV231","ASV231",22.9080867208636,23.4853678803404,4.84571325959623,4.84662765256097,1.25577797868613e-06,0.00018648302983489,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV275","ASV275",26.906299379142,-7.75740495167784,1.89254353176517,-4.09893078889579,4.15063118953417e-05,0.00324404595603065,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07","Unclassified"
"ASV276","ASV276",7.35294637517163,-19.7327733868468,4.80715430470704,-4.10487621908142,4.04531426519665e-05,0.00324404595603065,"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter","Unclassified"
"ASV303","ASV303",21.8256147666641,-23.0713471169226,2.83398886534314,-8.14094487069524,3.92204957830214e-16,2.91212181188934e-13,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV353","ASV353",20.4595336090463,-22.7300342835428,3.07896898932463,-7.38235245705695,1.5551683355665e-13,7.69808326105417e-11,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV400","ASV400",8.61482889783705,-21.0089078305349,4.66946697977553,-4.49920899355944,6.82067778856801e-06,0.000723479036858821,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
