"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV11","ASV11",49.0568547144245,-9.12004478137517,2.13120951755006,-4.27928118107279,1.87497871085784e-05,0.00546824148316611,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV74","ASV74",11.7405684207087,-29.8772487884349,3.38017221073559,-8.83897237352089,9.66030011240031e-19,9.86075133973262e-16,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV228","ASV228",18.1838830297224,-24.4606684814013,2.48252623755577,-9.85313593522566,6.64380258331192e-23,2.71266459476626e-19,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV231","ASV231",22.9080867208636,-25.1908823973399,2.98611834346646,-8.43599599877108,3.28394026852519e-17,1.91547544519833e-14,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV508","ASV508",6.09836123535929,-23.8917470126179,2.86486137917398,-8.33958221724034,7.45534649070662e-17,3.80502246519439e-14,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV599","ASV599",8.79202913978838,-23.0846047280638,2.72985611726085,-8.45634485352547,2.75888913394584e-17,1.87742405565014e-14,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Unclassified"
"ASV671","ASV671",8.03190327768066,-23.3688275465051,2.42306524647567,-9.64432451024375,5.19520968606764e-22,1.06060205741071e-18,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV779","ASV779",6.20485539318174,-23.3755981464477,2.55300988345258,-9.15609387098636,5.38098493805929e-20,7.3235205006987e-17,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV811","ASV811",6.75476020718968,-23.8494783955377,3.32868454993888,-7.16483584963785,7.78798152716425e-13,2.64986071461764e-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Unclassified"
"ASV825","ASV825",6.93194097472431,-23.427963320842,2.72177932800606,-8.60759102686148,7.46118993267553e-18,6.09280769902284e-15,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Unclassified"
"ASV848","ASV848",7.57029849413613,-21.7784029895654,2.87909003114873,-7.56433552057976,3.89852280494528e-14,1.44706078296287e-11,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified","Unclassified"
"ASV954","ASV954",6.30983699480957,20.8990856756463,2.70855717340803,7.71594776762645,1.20086486454603e-14,4.90313124194145e-12,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV1226","ASV1226",4.33767968681771,-26.4122018543568,3.38084796745049,-7.81230096965122,5.61532741908693e-15,2.5474868724591e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV1366","ASV1366",4.32055141933191,-19.8808284070847,3.40036888624415,-5.84666813283424,5.01516640228023e-09,1.57514803234694e-06,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
