"","Fire_Mod","Kingdom","Phylum","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Bacteria","Acidobacteriota",50971,45,1458975,3.49361709419284
"2","Untreated","Bacteria","Actinobacteriota",48950,45,1458975,3.35509518668929
"3","Untreated","Bacteria","Armatimonadota",386,27,1458975,0.0264569303792046
"4","Untreated","Bacteria","Bacteroidota",19514,45,1458975,1.33751435082849
"5","Untreated","Bacteria","Bdellovibrionota",679,36,1458975,0.0465395226100516
"6","Untreated","Bacteria","Chloroflexi",10971,45,1458975,0.751966277694957
"7","Untreated","Bacteria","Cyanobacteria",502,30,1458975,0.0344077177470484
"8","Untreated","Bacteria","Dependentiae",699,37,1458975,0.0479103480183005
"9","Untreated","Bacteria","Desulfobacterota",31,2,1458975,0.00212477938278586
"10","Untreated","Bacteria","Entotheonellaeota",148,13,1458975,0.0101441080210422
"11","Untreated","Bacteria","Fibrobacterota",151,14,1458975,0.0103497318322795
"12","Untreated","Bacteria","Firmicutes",11973,45,1458975,0.820644630648229
"13","Untreated","Bacteria","Gemmatimonadota",4640,43,1458975,0.318031494713755
"14","Untreated","Bacteria","Latescibacterota",52,4,1458975,0.00356414606144725
"15","Untreated","Bacteria","Methylomirabilota",7,1,1458975,0.00047978889288713
"16","Untreated","Bacteria","Myxococcota",14861,45,1458975,1.01859181959938
"17","Untreated","Bacteria","Nitrospirota",1367,31,1458975,0.0936959166538152
"18","Untreated","Bacteria","Planctomycetota",31390,45,1458975,2.15151047824671
"19","Untreated","Bacteria","Proteobacteria",284085,45,1458975,19.47154680512
"20","Untreated","Bacteria","Spirochaetota",22,2,1458975,0.00150790794907384
"21","Untreated","Bacteria","Sumerlaeota",4,1,1458975,0.000274165081649788
"22","Untreated","Bacteria","Verrucomicrobiota",102681,45,1458975,7.03788618722048
"23","Treated","Bacteria","Abditibacteriota",20,3,1458975,0.00137082540824894
"24","Treated","Bacteria","Acidobacteriota",52338,39,1458975,3.58731301084666
"25","Treated","Bacteria","Actinobacteriota",61138,39,1458975,4.19047619047619
"26","Treated","Bacteria","Armatimonadota",985,28,1458975,0.0675131513562604
"27","Treated","Bacteria","Bacteroidota",45383,39,1458975,3.11060847512809
"28","Treated","Bacteria","Bdellovibrionota",1438,35,1458975,0.0985623468530989
"29","Treated","Bacteria","Chloroflexi",16298,39,1458975,1.11708562518206
"30","Treated","Bacteria","Cyanobacteria",628,28,1458975,0.0430439178190168
"31","Treated","Bacteria","Dependentiae",845,29,1458975,0.0579173734985178
"32","Treated","Bacteria","Desulfobacterota",60,3,1458975,0.00411247622474683
"33","Treated","Bacteria","Entotheonellaeota",209,10,1458975,0.0143251255162014
"34","Treated","Bacteria","Fibrobacterota",481,20,1458975,0.032968351068387
"35","Treated","Bacteria","Firmicutes",19870,38,1458975,1.36191504309532
"36","Treated","Bacteria","Gemmatimonadota",6222,39,1458975,0.426463784506246
"37","Treated","Bacteria","Latescibacterota",72,4,1458975,0.00493497146969619
"38","Treated","Bacteria","Methylomirabilota",7,1,1458975,0.00047978889288713
"39","Treated","Bacteria","Myxococcota",17713,39,1458975,1.21407152281568
"40","Treated","Bacteria","Nitrospirota",1371,22,1458975,0.093970081735465
"41","Treated","Bacteria","Planctomycetota",29017,39,1458975,1.98886204355798
"42","Treated","Bacteria","Proteobacteria",284500,39,1458975,19.4999914323412
"43","Treated","Bacteria","Spirochaetota",46,5,1458975,0.00315289843897257
"44","Treated","Bacteria","Sumerlaeota",4,1,1458975,0.000274165081649788
"45","Treated","Bacteria","Verrucomicrobiota",102497,39,1458975,7.02527459346459
"46","Wildfire","Bacteria","Abditibacteriota",21,2,1458975,0.00143936667866139
"47","Wildfire","Bacteria","Acidobacteriota",6899,14,1458975,0.472866224575473
"48","Wildfire","Bacteria","Actinobacteriota",40524,14,1458975,2.77756644219401
"49","Wildfire","Bacteria","Armatimonadota",154,11,1458975,0.0105553556435169
"50","Wildfire","Bacteria","Bacteroidota",13526,14,1458975,0.927089223598759
"51","Wildfire","Bacteria","Bdellovibrionota",518,10,1458975,0.0355043780736476
"52","Wildfire","Bacteria","Chloroflexi",3993,14,1458975,0.273685292756901
"53","Wildfire","Bacteria","Cyanobacteria",106,5,1458975,0.00726537466371939
"54","Wildfire","Bacteria","Dependentiae",37,4,1458975,0.00253602700526054
"55","Wildfire","Bacteria","Desulfobacterota",204,2,1458975,0.0139824191641392
"56","Wildfire","Bacteria","Entotheonellaeota",8,1,1458975,0.000548330163299577
"57","Wildfire","Bacteria","Fibrobacterota",121,8,1458975,0.0082934937199061
"58","Wildfire","Bacteria","Firmicutes",13710,14,1458975,0.93970081735465
"59","Wildfire","Bacteria","Gemmatimonadota",2247,13,1458975,0.154012234616769
"60","Wildfire","Bacteria","Myxococcota",6673,14,1458975,0.457375897462259
"61","Wildfire","Bacteria","Nitrospirota",124,6,1458975,0.00849911753114344
"62","Wildfire","Bacteria","Planctomycetota",6699,14,1458975,0.459157970492983
"63","Wildfire","Bacteria","Proteobacteria",117797,14,1458975,8.07395603077503
"64","Wildfire","Bacteria","Spirochaetota",40,3,1458975,0.00274165081649788
"65","Wildfire","Bacteria","Verrucomicrobiota",20348,14,1458975,1.39467777035247
