"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae",41,5,1458975,0.00281019208691033
"2","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",50624,96,1458975,3.46983327335972
"3","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae",10543,83,1458975,0.72263061395843
"4","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae",23093,96,1458975,1.58282355763464
"5","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae",13834,94,1458975,0.948199934885793
"6","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",2518,57,1458975,0.172586918898542
"7","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae",2503,52,1458975,0.171558799842355
"8","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae",42,6,1458975,0.00287873335732278
"9","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",4112,79,1458975,0.281841703935982
"10","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",2939,49,1458975,0.201442793742182
"11","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae",160,8,1458975,0.0109666032659915
"12","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",279,23,1458975,0.0191230144450727
"13","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae",76,12,1458975,0.00520913655134598
"14","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Actinospicaceae",996,36,1458975,0.0682671053307973
"15","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae",254,15,1458975,0.0174094826847616
"16","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae",19460,92,1458975,1.33381312222622
"17","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae",359,21,1458975,0.0246063160780685
"18","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae",33703,97,1458975,2.3100464367107
"19","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae",1356,32,1458975,0.0929419626792783
"20","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae",1984,25,1458975,0.135985880498295
"21","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae",695,17,1458975,0.0476361829366507
"22","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae",110,5,1458975,0.00753953974536918
"23","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",236,10,1458975,0.0161757398173375
"24","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae",231,10,1458975,0.0158330334652753
"25","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",620,12,1458975,0.0424955876557172
"26","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",2721,39,1458975,0.186500796792269
"27","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",11772,49,1458975,0.806867835295327
"28","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Promicromonosporaceae",10,1,1458975,0.000685412704124471
"29","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Sanguibacteraceae",10,1,1458975,0.000685412704124471
"30","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",6687,56,1458975,0.458335475248034
"31","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae",2068,46,1458975,0.141743347212941
"32","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",8558,66,1458975,0.586576192189722
"33","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae",7275,67,1458975,0.498637742250553
