"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae",20,3,1225226,0.00163235190895394
"2","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",48020,84,1225226,3.91927693339841
"3","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae",10042,75,1225226,0.819603893485773
"4","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae",21612,84,1225226,1.76391947281563
"5","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae",12725,83,1225226,1.03858390207194
"6","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",2226,49,1225226,0.181680767466574
"7","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae",2380,45,1225226,0.194249877165519
"8","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae",28,5,1225226,0.00228529267253552
"9","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",3680,69,1225226,0.300352751247525
"10","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",2596,42,1225226,0.211879277782221
"11","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae",22,2,1225226,0.00179558709984933
"12","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",232,19,1225226,0.0189352821438657
"13","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae",33,8,1225226,0.002693380649774
"14","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Actinospicaceae",967,34,1225226,0.078924214797923
"15","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae",219,12,1225226,0.0178742534030456
"16","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae",17559,80,1225226,1.43312335846611
"17","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae",264,16,1225226,0.021547045198192
"18","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae",30519,83,1225226,2.49088739546826
"19","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae",1234,29,1225226,0.100716112782458
"20","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae",1035,17,1225226,0.0844742112883664
"21","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae",590,16,1225226,0.0481543813141412
"22","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae",110,5,1225226,0.00897793549924667
"23","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",171,8,1225226,0.0139566088215562
"24","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae",82,5,1225226,0.00669264282671115
"25","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",282,9,1225226,0.0230161619162506
"26","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",1462,30,1225226,0.119324924544533
"27","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",1894,38,1225226,0.154583725777938
"28","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Promicromonosporaceae",10,1,1225226,0.00081617595447697
"29","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Sanguibacteraceae",10,1,1225226,0.00081617595447697
"30","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",2353,44,1225226,0.192046202088431
"31","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae",1163,36,1225226,0.0949212635056716
"32","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",5759,54,1225226,0.470035732183287
"33","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae",3709,53,1225226,0.302719661515508
"34","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae",72,6,1225226,0.00587646687223418
"35","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae",848,22,1225226,0.0692117209396471
"36","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae",1754,33,1225226,0.143157262415261
"37","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",3183,54,1225226,0.25978880631002
"38","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",34552,84,1225226,2.82005115790883
"39","Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae",493,30,1225226,0.0402374745557146
"40","Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",878,48,1225226,0.071660248803078
"41","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13",377,21,1225226,0.0307698334837818
"42","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",32262,84,1225226,2.6331468643336
"43","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",164,10,1225226,0.0133852856534223
"44","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae",853,40,1225226,0.0696198089168855
"45","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae",27,2,1225226,0.00220367507708782
"46","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",4813,66,1225226,0.392825486889766
"47","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae",181,7,1225226,0.0147727847760332
"48","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",39,3,1225226,0.00318308622246018
"49","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",1306,27,1225226,0.106592579654692
"50","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",66,10,1225226,0.005386761299548
"51","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae",183,3,1225226,0.0149360199669285
"52","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",1456,61,1225226,0.118835218971847
"53","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","CWT CU03-E12",265,23,1225226,0.0216286627936397
"54","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","FFCH9454",50,6,1225226,0.00408087977238485
"55","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93",803,25,1225226,0.0655389291445007
"56","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","LiUU-11-161",12,1,1225226,0.000979411145372364
"57","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",188,13,1225226,0.015344107944167
"58","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","S15-21",22,2,1225226,0.00179558709984933
"59","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",16204,73,1225226,1.32253151663448
"60","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",5505,76,1225226,0.449304862939572
"61","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",121,7,1225226,0.00987572904917134
"62","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",63,8,1225226,0.00514190851320491
"63","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae",1619,71,1225226,0.132138887029821
"64","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae",327,16,1225226,0.0266889537113969
"65","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae",108,5,1225226,0.00881470030835128
"66","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",436,37,1225226,0.0355852716151959
"67","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",13,3,1225226,0.00106102874082006
"68","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",244,18,1225226,0.0199146932892381
"69","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",23,2,1225226,0.00187720469529703
"70","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781",13,1,1225226,0.00106102874082006
"71","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722",11,1,1225226,0.000897793549924667
"72","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",82,6,1225226,0.00669264282671115
"73","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9",1068,51,1225226,0.0871675919381404
"74","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",25379,84,1225226,2.0713729548671
"75","Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",1070,57,1225226,0.0873308271290358
"76","Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae",60,6,1225226,0.00489705572686182
"77","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae",69,7,1225226,0.00563161408589109
"78","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409",49,9,1225226,0.00399926217693715
"79","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12411",6,1,1225226,0.000489705572686182
"80","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae",1420,64,1225226,0.11589698553573
"81","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",91,5,1225226,0.00742720118574043
"82","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae",357,23,1225226,0.0291374815748278
"83","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",632,34,1225226,0.0515823203229445
"84","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae",16201,73,1225226,1.32228666384814
"85","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",1565,36,1225226,0.127731536875646
"86","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",6584,66,1225226,0.537370248427637
"87","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae",523,19,1225226,0.0426860024191455
"88","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",10,1,1225226,0.00081617595447697
"89","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",14,1,1225226,0.00114264633626776
"90","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",5718,74,1225226,0.466689410769931
"91","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae",955,26,1225226,0.0779448036525506
"92","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",46,5,1225226,0.00375440939059406
"93","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",29,6,1225226,0.00236691026798321
"94","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae",144,6,1225226,0.0117529337444684
"95","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae",54,6,1225226,0.00440735015417564
"96","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",10678,82,1225226,0.871512684190509
"97","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",184,2,1225226,0.0150176375623762
"98","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae",124,8,1225226,0.0101205818355144
"99","Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","WX65",14,2,1225226,0.00114264633626776
"100","Bacteria","Myxococcota","Myxococcia","Myxococcales","27F-1492R",18,2,1225226,0.00146911671805855
"101","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae",4389,70,1225226,0.358219626419942
"102","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",2455,74,1225226,0.200371196824096
"103","Bacteria","Myxococcota","Myxococcia","Myxococcales","Vulgatibacteraceae",23,2,1225226,0.00187720469529703
"104","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae",11997,83,1225226,0.979166292586021
"105","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae",12,1,1225226,0.000979411145372364
"106","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",3254,73,1225226,0.265583655586806
"107","Bacteria","Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae",1878,50,1225226,0.153277844250775
"108","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",6406,82,1225226,0.522842316437947
"109","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",2142,57,1225226,0.174824889448967
"110","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae",2738,53,1225226,0.223468976335794
"111","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",39,8,1225226,0.00318308622246018
"112","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","CPla-3 termite group",106,9,1225226,0.00865146511745588
"113","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",7,1,1225226,0.000571323168133879
"114","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",6113,83,1225226,0.498928360971772
"115","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",27645,84,1225226,2.25631842615158
"116","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",17045,84,1225226,1.391171914406
"117","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",8770,84,1225226,0.715786312076303
"118","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",597,37,1225226,0.0487257044822751
"119","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",59,8,1225226,0.00481543813141412
"120","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae",26,4,1225226,0.00212205748164012
"121","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",32050,84,1225226,2.61584393409869
"122","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae",44,8,1225226,0.00359117419969867
"123","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Inquilinaceae",892,41,1225226,0.0728028951393457
"124","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",6937,78,1225226,0.566181259620674
"125","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",1065,39,1225226,0.0869227391517973
"126","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae",791,38,1225226,0.0645595179991283
"127","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","Elsteraceae",969,48,1225226,0.0790874499888184
"128","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","URHD0088",2190,45,1225226,0.178742534030456
"129","Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae",128,15,1225226,0.0104470522173052
"130","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",10,2,1225226,0.00081617595447697
"131","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",12739,81,1225226,1.03972654840821
"132","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae",180,16,1225226,0.0146911671805855
"133","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae",46,3,1225226,0.00375440939059406
"134","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae",8610,81,1225226,0.702727496804671
"135","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839",855,46,1225226,0.0697830441077809
"136","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Amb-16S-1323",440,11,1225226,0.0359117419969867
"137","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",54164,84,1225226,4.42073543982906
"138","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",1655,45,1225226,0.135077120465939
"139","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",9642,76,1225226,0.786956855306694
"140","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3",4257,72,1225226,0.347446103820846
"141","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae",29,3,1225226,0.00236691026798321
"142","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae",683,38,1225226,0.055744817690777
"143","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",87,3,1225226,0.00710073080394964
"144","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae",16,1,1225226,0.00130588152716315
"145","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",3502,55,1225226,0.285824819257835
"146","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis",1372,46,1225226,0.11197934095424
"147","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae",3826,72,1225226,0.312268920182889
"148","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",289172,84,1225226,23.6015233108014
"149","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",77,6,1225226,0.00628455484947267
"150","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",11,2,1225226,0.000897793549924667
"151","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae",145,15,1225226,0.0118345513399161
"152","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",1574,54,1225226,0.128466095234675
"153","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","AB1",6,1,1225226,0.000489705572686182
"154","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae",47,5,1225226,0.00383602698604176
"155","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",765,42,1225226,0.0624374605174882
"156","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae",9,1,1225226,0.000734558359029273
"157","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",6287,72,1225226,0.513129822579671
"158","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae",108,11,1225226,0.00881470030835128
"159","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","A21b",4982,77,1225226,0.406618860520426
"160","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae",67,3,1225226,0.0054683788949957
"161","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","B1-7BS",78,6,1225226,0.00636617244492037
"162","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",15120,80,1225226,1.23405804316918
"163","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae",27,2,1225226,0.00220367507708782
"164","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinimonadaceae",38,1,1225226,0.00310146862701249
"165","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",12930,77,1225226,1.05531550913872
"166","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae",38,1,1225226,0.00310146862701249
"167","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae",40,3,1225226,0.00326470381790788
"168","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae",6,1,1225226,0.000489705572686182
"169","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae",20056,81,1225226,1.63692249429901
"170","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",12397,79,1225226,1.0118133307651
