"","Treatuntreat_EP","Kingdom","Phylum","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Bacteria","Proteobacteria",284085,45,22.0890123875226,49.0866941944947
"2","Untreated","Bacteria","Verrucomicrobiota",102681,45,7.90689758467862,17.5708835215081
"3","Untreated","Bacteria","Acidobacteriota",50971,45,3.83751871099546,8.5278193577677
"4","Untreated","Bacteria","Actinobacteriota",48950,45,3.63542064887041,8.07871255304536
"5","Untreated","Bacteria","Planctomycetota",31390,45,2.4037727446925,5.34171721042778
"6","Untreated","Bacteria","Bacteroidota",19514,45,1.54815040503962,3.44033423342139
"7","Untreated","Bacteria","Myxococcota",14861,45,1.1306595981629,2.51257688480645
"8","Untreated","Bacteria","Firmicutes",11973,45,0.916106774396868,2.03579283199304
"9","Untreated","Bacteria","Chloroflexi",10971,45,0.855279038945668,1.90062008654593
"10","Untreated","Bacteria","Gemmatimonadota",4640,43,0.357311334632512,0.79402518807225
"11","Untreated","Bacteria","Nitrospirota",1367,31,0.10611289098471,0.235806424410467
"12","Untreated","Bacteria","Dependentiae",699,37,0.055169999962563,0.122599999916807
"13","Untreated","Bacteria","Bdellovibrionota",679,36,0.0543048332935881,0.120677407319085
"14","Untreated","Bacteria","Cyanobacteria",502,30,0.0386569723301082,0.085904382955796
"15","Untreated","Bacteria","Armatimonadota",386,27,0.0320365101693332,0.0711922448207404
"16","Untreated","Bacteria","Fibrobacterota",151,14,0.0121883928332525,0.0270853174072277
"17","Untreated","Bacteria","Entotheonellaeota",148,13,0.0115929469773374,0.0257621043940831
"18","Untreated","Bacteria","Latescibacterota",52,4,0.00437223276419457,0.00971607280932128
"19","Untreated","Bacteria","Desulfobacterota",31,2,0.00290695974123964,0.00645991053608809
"20","Untreated","Bacteria","Spirochaetota",22,2,0.0017778035943953,0.00395067465421178
"21","Untreated","Bacteria","Methylomirabilota",7,1,0.000520562207183758,0.0011568049048528
"22","Untreated","Bacteria","Sumerlaeota",4,1,0.000230667204890145,0.000512593788644766
"23","Treated","Bacteria","Proteobacteria",284500,39,17.7233815895409,45.4445681783099
"24","Treated","Bacteria","Verrucomicrobiota",102497,39,6.20421533818887,15.9082444568945
"25","Treated","Bacteria","Actinobacteriota",61138,39,3.74791172448272,9.61003006277621
"26","Treated","Bacteria","Acidobacteriota",52338,39,3.14462592563798,8.06314339907175
"27","Treated","Bacteria","Bacteroidota",45383,39,2.49135051944757,6.38807825499377
"28","Treated","Bacteria","Planctomycetota",29017,39,1.77327229696892,4.54685204351006
"29","Treated","Bacteria","Firmicutes",19870,38,1.16260100846539,2.98102822683434
"30","Treated","Bacteria","Myxococcota",17713,39,1.06746500371502,2.73708975311544
"31","Treated","Bacteria","Chloroflexi",16298,39,0.942738238381762,2.41727753431221
"32","Treated","Bacteria","Gemmatimonadota",6222,39,0.385976569479222,0.989683511485186
"33","Treated","Bacteria","Bdellovibrionota",1438,35,0.0806607931646787,0.206822546576099
"34","Treated","Bacteria","Nitrospirota",1371,22,0.0803613502929589,0.20605474434092
"35","Treated","Bacteria","Armatimonadota",985,28,0.0551560055550696,0.141425655269409
"36","Treated","Bacteria","Dependentiae",845,29,0.0467602135600943,0.119897983487421
"37","Treated","Bacteria","Cyanobacteria",628,28,0.0406445696581383,0.104216845277278
"38","Treated","Bacteria","Fibrobacterota",481,20,0.0275330108443328,0.0705974637034175
"39","Treated","Bacteria","Entotheonellaeota",209,10,0.0121130028096129,0.0310589815631101
"40","Treated","Bacteria","Desulfobacterota",60,3,0.00470701645926478,0.0120692729724738
"41","Treated","Bacteria","Latescibacterota",72,4,0.00448043143286565,0.0114882857252965
"42","Treated","Bacteria","Spirochaetota",46,5,0.00228432912950053,0.00585725417820648
"43","Treated","Bacteria","Abditibacteriota",20,3,0.00100306252594651,0.00257195519473463
"44","Treated","Bacteria","Methylomirabilota",7,1,0.000480934386808657,0.00123316509438117
"45","Treated","Bacteria","Sumerlaeota",4,1,0.000277065872411166,0.000710425313874784
