"","YrSinceTrt_BR","Kingdom","Phylum","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Bacteria","Proteobacteria",284085,45,22.0890123875226,49.0866941944947
"2","Untreated","Bacteria","Verrucomicrobiota",102681,45,7.90689758467862,17.5708835215081
"3","Untreated","Bacteria","Acidobacteriota",50971,45,3.83751871099546,8.5278193577677
"4","Untreated","Bacteria","Actinobacteriota",48950,45,3.63542064887041,8.07871255304536
"5","Untreated","Bacteria","Planctomycetota",31390,45,2.4037727446925,5.34171721042778
"6","Untreated","Bacteria","Bacteroidota",19514,45,1.54815040503962,3.44033423342139
"7","Untreated","Bacteria","Myxococcota",14861,45,1.1306595981629,2.51257688480645
"8","Untreated","Bacteria","Firmicutes",11973,45,0.916106774396868,2.03579283199304
"9","Untreated","Bacteria","Chloroflexi",10971,45,0.855279038945668,1.90062008654593
"10","Untreated","Bacteria","Gemmatimonadota",4640,43,0.357311334632512,0.79402518807225
"11","Untreated","Bacteria","Nitrospirota",1367,31,0.10611289098471,0.235806424410467
"12","Untreated","Bacteria","Dependentiae",699,37,0.055169999962563,0.122599999916807
"13","Untreated","Bacteria","Bdellovibrionota",679,36,0.0543048332935881,0.120677407319085
"14","Untreated","Bacteria","Cyanobacteria",502,30,0.0386569723301082,0.085904382955796
"15","Untreated","Bacteria","Armatimonadota",386,27,0.0320365101693332,0.0711922448207404
"16","Untreated","Bacteria","Fibrobacterota",151,14,0.0121883928332525,0.0270853174072277
"17","Untreated","Bacteria","Entotheonellaeota",148,13,0.0115929469773374,0.0257621043940831
"18","Untreated","Bacteria","Latescibacterota",52,4,0.00437223276419457,0.00971607280932128
"19","Untreated","Bacteria","Desulfobacterota",31,2,0.00290695974123964,0.00645991053608809
"20","Untreated","Bacteria","Spirochaetota",22,2,0.0017778035943953,0.00395067465421178
"21","Untreated","Bacteria","Methylomirabilota",7,1,0.000520562207183758,0.0011568049048528
"22","Untreated","Bacteria","Sumerlaeota",4,1,0.000230667204890145,0.000512593788644766
"23","1 to 2","Bacteria","Proteobacteria",162728,21,9.94223455802309,47.3439740858242
"24","1 to 2","Bacteria","Verrucomicrobiota",58066,21,3.31823799203796,15.8011332954189
"25","1 to 2","Bacteria","Actinobacteriota",30628,21,1.86705758420843,8.89075040099253
"26","1 to 2","Bacteria","Acidobacteriota",26848,21,1.64592100043961,7.83771904971243
"27","1 to 2","Bacteria","Bacteroidota",21927,21,1.24442675177929,5.92584167513947
"28","1 to 2","Bacteria","Planctomycetota",15869,21,0.933197794830005,4.44379902300002
"29","1 to 2","Bacteria","Firmicutes",12287,20,0.694729808327353,3.3082371825112
"30","1 to 2","Bacteria","Chloroflexi",9321,21,0.514253713755067,2.44882720835746
"31","1 to 2","Bacteria","Myxococcota",8242,21,0.480021858880438,2.28581837562113
"32","1 to 2","Bacteria","Gemmatimonadota",2804,21,0.173301041438499,0.825243054469044
"33","1 to 2","Bacteria","Nitrospirota",992,13,0.050238350979383,0.239230242758967
"34","1 to 2","Bacteria","Cyanobacteria",432,16,0.0297179935702329,0.141514255096347
"35","1 to 2","Bacteria","Bdellovibrionota",428,19,0.0284503654363666,0.135477930649365
"36","1 to 2","Bacteria","Armatimonadota",463,17,0.0266667160203471,0.126984362001653
"37","1 to 2","Bacteria","Dependentiae",476,16,0.0265278025859307,0.126322869456813
"38","1 to 2","Bacteria","Entotheonellaeota",193,7,0.0108288136540921,0.0515657793052006
"39","1 to 2","Bacteria","Fibrobacterota",177,10,0.00970549076515155,0.0462166226911978
"40","1 to 2","Bacteria","Latescibacterota",42,2,0.00233947622577954,0.0111403629799026
