"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Species","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus","Alicyclobacillus_pomorum",4483,33,14.1186578896347,32.0878588400787
"2","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","Rhodomicrobium_vannielii",1293,34,7.94059485429106,18.0468064870251
"3","Untreated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_frigoritolerans",414,8,3.06394694425458,6.96351578239678
"4","Untreated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","Lacunisphaera_limnophila",252,12,2.56212635267751,5.82301443790344
"5","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_madagascariense",389,10,2.40115977895975,5.45718131581761
"6","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium_canariense",307,5,1.53336358615812,3.48491724126846
"7","Untreated","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Aetherobacter","Aetherobacter_rufus",168,3,1.03859263747917,2.36043781245266
"8","Untreated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_pectinilyticus",133,5,0.854805195365747,1.9427390803767
"9","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Granulicella_mallensis",166,3,0.75140826673731,1.70774606076661
"10","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis",102,5,0.727373732611703,1.65312211957205
"11","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","Duganella_zoogloeoides",163,5,0.646443574354376,1.46918994171449
"12","Untreated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","Lacunisphaera_anatis",90,3,0.608726655039605,1.38346967054456
"13","Untreated","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus","Psychrobacillus_soli",69,2,0.563507930161269,1.28069984127561
"14","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium_facile",87,2,0.514306599832916,1.1688786359839
"15","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Dyella_flava",177,1,0.478378378378378,1.08722358722359
"16","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_acidiphila",40,3,0.355678086281535,0.808359287003487
"17","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges","Alkanindiges_illinoisensis",72,4,0.354846186769848,0.806468606295108
"18","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola","Marmoricola_ginsengisoli",30,3,0.343267467473985,0.780153335168147
"19","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","Nakamurella_flavida",66,2,0.324556541019956,0.737628502318081
"20","Untreated","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Conexibacter_woesei",59,2,0.320755856073412,0.728990581985028
"21","Untreated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_rhizoryzae",40,3,0.278896151928419,0.633854890746407
"22","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira","Nitrosospira_multiformis",75,4,0.26439780224571,0.600904096012977
"23","Untreated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_alginolyticus",86,3,0.263149949982083,0.598068068141097
"24","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_rubra",20,1,0.256410256410256,0.582750582750583
"25","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidicapsa","Acidicapsa_acidisoli",30,2,0.252720252720253,0.574364210727847
"26","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylovirgula","Methylovirgula_ligni",39,1,0.232142857142857,0.527597402597402
"27","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Granulicella_paludicola",89,3,0.211133599519395,0.479849089816807
"28","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia_rhamnosa",54,1,0.206896551724138,0.470219435736677
"29","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus_tukisamuensis",33,2,0.200943179204049,0.456689043645565
"30","Untreated","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter_phytolaccae",28,1,0.178343949044586,0.405327156919513
"31","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_mobile",29,2,0.17479674796748,0.397265336289726
"32","Untreated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_wynnii",19,1,0.154471544715447,0.351071692535107
"33","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_conspicuum",49,1,0.132432432432432,0.300982800982801
"34","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense",32,1,0.122605363984674,0.278648554510623
"35","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Rugamonas","Rugamonas_rubra",5,1,0.116279069767442,0.264270613107822
"36","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Frankia","Frankia_inefficax",15,1,0.110294117647059,0.250668449197861
"37","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","Nakamurella_panacisegetis",6,1,0.103448275862069,0.235109717868338
"38","Untreated","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_gracilis",49,1,0.0928030303030303,0.210915977961432
"39","Untreated","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus_ginsengisoli",15,2,0.0913696129921406,0.207658211345774
"40","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia_pseudobrasiliensis",6,1,0.0882352941176471,0.200534759358289
"41","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terracidiphilus","Terracidiphilus_gabretensis",32,1,0.0864864864864865,0.196560196560197
"42","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas_daechungensis",12,1,0.0863309352517986,0.196206671026815
"43","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_graminis",6,1,0.0731707317073171,0.16629711751663
"44","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter_dokdonensis",9,1,0.0731707317073171,0.16629711751663
"45","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_saalfeldensis",37,1,0.0700757575757576,0.159263085399449
"46","Untreated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","Sediminibacterium_aquarii",18,1,0.0676691729323308,0.153793574846206
"47","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Rickettsiella","Rickettsiella_isopodorum",5,1,0.0641025641025641,0.145687645687646
"48","Untreated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_baekrokdamisoli",15,1,0.0574712643678161,0.130616509926855
"49","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia_spinosispora",29,1,0.0549242424242424,0.12482782369146
"50","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","Actinophytocola_xanthii",14,1,0.0526315789473684,0.119617224880383
"51","Untreated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_glacialis",24,1,0.0454545454545455,0.103305785123967
"52","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia","Kaistia_granuli",14,1,0.0434782608695652,0.0988142292490118
"53","Untreated","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga","Cytophaga_hutchinsonii",11,1,0.0421455938697318,0.0957854406130268
"54","Untreated","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter","Ktedonobacter_racemifer",7,1,0.0409356725146199,0.0930356193514088
"55","Untreated","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter","Dyadobacter_hamtensis",9,1,0.0338345864661654,0.0768967874231032
