"YrSinceTrt_BR","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Candidatus Udaeobacter",0.172833467516357,0.121691471995434,0.0181406935775868,45,95.5555555555556
"Unmitigated","Pseudolabrys",0.0551633734891373,0.0466324524595704,0.00695155557714178,45,93.3333333333333
"Unmitigated","Methylocapsa",0.0507082663297648,0.0415794841401635,0.00619830353378533,45,97.7777777777778
"Unmitigated","Other",0.0462286070666802,NA,NA,NA,NA
"Unmitigated","Bradyrhizobium",0.0450737286362158,0.0127019347151747,0.00189349263125967,45,100
"Unmitigated","Acidothermus",0.041463632360169,0.0358739947296413,0.0053477793893298,45,100
"Unmitigated","Acidibacter",0.0361592888408678,0.0168539326037295,0.00251243593267594,45,100
"Unmitigated","Candidatus Xiphinematobacter",0.0357440215044641,0.0223452616090654,0.00333103492885911,45,100
"Unmitigated","Roseiarcus",0.0327722377176198,0.0243161138122318,0.00362483222885145,45,97.7777777777778
"Unmitigated","Bryobacter",0.0319066676458964,0.0204866606438951,0.00305397105544793,45,100
"Unmitigated","Granulicella",0.0248943128821195,0.0191983830992751,0.00286192597787082,45,95.5555555555556
"Unmitigated","Mycobacterium",0.0228188698383419,0.0316833854195219,0.00472308023702511,45,91.1111111111111
"Unmitigated","Puia",0.0224168970030861,0.0118099344706734,0.00176052108574958,45,100
"Unmitigated","Conexibacter",0.0199458191474307,0.0172169281581713,0.00256654811502675,45,95.5555555555556
"Unmitigated","ADurb.Bin063-1",0.019153675390515,0.0137171794414066,0.00204483637936985,45,91.1111111111111
"Unmitigated","Acidipila-Silvibacterium",0.0190962540448355,0.0251883224409952,0.00375485341448325,45,86.6666666666667
"Unmitigated","Burkholderia-Caballeronia-Paraburkholderia",0.0175935561323338,0.0182286310352919,0.002717363875445,45,95.5555555555556
"Unmitigated","Candidatus Solibacter",0.0157905857462268,0.0095894930477688,0.00142951722163818,45,97.7777777777778
"Unmitigated","Haliangium",0.0143515194750597,0.0139977473067819,0.00208666096732193,45,97.7777777777778
"Unmitigated","Alicyclobacillus",0.014100450419681,0.0258160589242566,0.00384843084438519,45,73.3333333333333
"Unmitigated","Aquisphaera",0.0140098929392451,0.00934601908297703,0.00139322226590313,45,100
"Unmitigated","Candidatus Koribacter",0.0128820463380953,0.0126496966165397,0.00188570543528878,45,88.8888888888889
"Unmitigated","Reyranella",0.0116514859811992,0.00562246729806108,0.000838147938648943,45,97.7777777777778
"Unmitigated","Rhodoplanes",0.0105699713934329,0.0103415835842391,0.0015416322592903,45,82.2222222222222
"Unmitigated","MND1",0.00813135375695387,0.00848722196331524,0.00126520035000681,45,86.6666666666667
"Unmitigated","Chthoniobacter",0.00809030857609974,0.00526040037187392,0.000784174188025018,45,93.3333333333333
"1 to 2","Candidatus Udaeobacter",0.145648465590026,0.0962031070081638,0.0209932390454689,21,100
"1 to 2","Pseudolabrys",0.0589201769711955,0.0653313681724108,0.0142564733288143,21,100
"1 to 2","Acidothermus",0.041768098732253,0.0367576354046497,0.00802117364806649,21,100
"1 to 2","Other",0.039747738897407,NA,NA,NA,NA
"1 to 2","Methylocapsa",0.0367226443865397,0.0321449160237181,0.00701459575650891,21,95.2380952380952
"1 to 2","Bradyrhizobium",0.0367089544624726,0.0159438045154794,0.003479223383703,21,100
"1 to 2","Acidibacter",0.0325586161868523,0.019249492801212,0.00420058370719341,21,100
"1 to 2","Candidatus Xiphinematobacter",0.0276070042901623,0.0160945845485185,0.00351212628440252,21,95.2380952380952
"1 to 2","Bryobacter",0.0264141731983275,0.0134230994918853,0.00292916045154703,21,100
"1 to 2","Puia",0.0243472491816998,0.0125808448076021,0.00274536541130138,21,100
"1 to 2","Mucilaginibacter",0.0241148637776581,0.0292861181387582,0.00639075491344185,21,85.7142857142857
"1 to 2","Roseiarcus",0.0226914689913941,0.0173327323554189,0.00378231228662464,21,95.2380952380952
"1 to 2","Granulicella",0.022026346166765,0.0178672702655024,0.0038989580216142,21,100
"1 to 2","Alicyclobacillus",0.0213401866870822,0.0353695468312005,0.0077182678881077,21,85.7142857142857
"1 to 2","Conexibacter",0.0186810388189042,0.0166306568071651,0.00362910684169841,21,90.4761904761905
"1 to 2","Candidatus Solibacter",0.0184418215320848,0.00900867248033103,0.00196585350248488,21,100
"1 to 2","Pseudomonas",0.0180673643304901,0.0695232262755202,0.0151712117602435,21,71.4285714285714
"1 to 2","ADurb.Bin063-1",0.0177401665611827,0.0131683035680001,0.00287355942259608,21,95.2380952380952
"1 to 2","Burkholderia-Caballeronia-Paraburkholderia",0.0177033345376817,0.0153848586883005,0.00335725140453981,21,95.2380952380952
"1 to 2","Mycobacterium",0.0166917481698389,0.0160345492230688,0.00349902550234325,21,100
"1 to 2","Acidipila-Silvibacterium",0.0138936503202072,0.0143723259273717,0.00313629864165511,21,90.4761904761905
"1 to 2","Haliangium",0.0136540802852553,0.0111564214327002,0.00243453074762745,21,100
"1 to 2","Reyranella",0.0124098317027387,0.0074754951960993,0.00163128679016209,21,95.2380952380952
"1 to 2","Candidatus Koribacter",0.0118769840199072,0.0104135663523296,0.00227242647923789,21,95.2380952380952
"1 to 2","Massilia",0.0104316494987674,0.015139118432578,0.00330362648438999,21,85.7142857142857
"1 to 2","Aquisphaera",0.0101541848116212,0.00776944603687025,0.00169543212246822,21,80.952380952381
"1 to 2","Rhodoplanes",0.009615327261633,0.00695229887463962,0.00151711599271392,21,85.7142857142857
"1 to 2","Chthoniobacter",0.00810600747818485,0.00563054399231454,0.00122868543088382,21,95.2380952380952
"1 to 2","Paenibacillus",0.0077002887981017,0.00696968282629783,0.00152090948196874,21,90.4761904761905
"3 to 4","Candidatus Udaeobacter",0.088561445847243,0.0670763098044726,0.0335381549022363,4,100
"3 to 4","Mucilaginibacter",0.0546008660744401,0.0440724920963021,0.0220362460481511,4,100
"3 to 4","Conexibacter",0.0403545188990431,0.0525310399545723,0.0262655199772861,4,100
"3 to 4","Pseudolabrys",0.0337904516846678,0.0356833360222479,0.017841668011124,4,100
"3 to 4","Acidibacter",0.0320390679524891,0.0232841732227341,0.011642086611367,4,100
"3 to 4","Other",0.0303831670057593,NA,NA,NA,NA
"3 to 4","Granulicella",0.0286499250860088,0.0205450252151068,0.0102725126075534,4,100
"3 to 4","Acidothermus",0.0285113967734645,0.0096106481726871,0.00480532408634355,4,100
"3 to 4","Bryobacter",0.0278843876141127,0.0173766343967549,0.00868831719837743,4,100
"3 to 4","Acidipila-Silvibacterium",0.0276464943526674,0.0321735740634419,0.0160867870317209,4,100
"3 to 4","Candidatus Koribacter",0.0264308716595073,0.0183468236628868,0.0091734118314434,4,100
"3 to 4","Methylocapsa",0.0258588694109064,0.0172583788824433,0.00862918944122166,4,100
"3 to 4","Bradyrhizobium",0.02559600350017,0.00889459741435289,0.00444729870717644,4,100
"3 to 4","Mycobacterium",0.0230766301446746,0.0258721401226029,0.0129360700613015,4,100
"3 to 4","Crossiella",0.021794493191895,0.0418427011476976,0.0209213505738488,4,75
"3 to 4","Alicyclobacillus",0.0211083785365433,0.0204201633110889,0.0102100816555444,4,100
"3 to 4","Ramlibacter",0.0191067289870749,0.0321882411732615,0.0160941205866307,4,75
"3 to 4","Puia",0.0181484659134076,0.0131473160388389,0.00657365801941947,4,100
"3 to 4","Burkholderia-Caballeronia-Paraburkholderia",0.0180020885415636,0.0156419761185987,0.00782098805929937,4,100
"3 to 4","Roseiarcus",0.017670720064913,0.00789717010944951,0.00394858505472475,4,100
"3 to 4","ADurb.Bin063-1",0.0175468618089961,0.0266998571354694,0.0133499285677347,4,100
"3 to 4","Candidatus Xiphinematobacter",0.0164652257350642,0.0111769075046683,0.00558845375233414,4,100
"3 to 4","Edaphobaculum",0.0138852319463428,0.0145629606163392,0.0072814803081696,4,75
"3 to 4","Candidatus Solibacter",0.0122931206308285,0.00703683961882564,0.00351841980941282,4,100
"3 to 4","Massilia",0.0122339236965948,0.0182050899753435,0.00910254498767177,4,75
"3 to 4","Chthoniobacter",0.0118109186992116,0.00773294816549584,0.00386647408274792,4,100
"3 to 4","Sphingomonas",0.011484369214734,0.0102057241172705,0.00510286205863527,4,75
"3 to 4","Amycolatopsis",0.0112051702605229,0.0120553890608694,0.00602769453043468,4,100
"3 to 4","Phenylobacterium",0.0106273226021162,0.00637117084871005,0.00318558542435503,4,100
"3 to 4","Anaeromyxobacter",0.00951358427683567,0.0123010051079793,0.00615050255398963,4,100
"3 to 4","Haliangium",0.00907361372121562,0.00673975406914765,0.00336987703457383,4,100
"3 to 4","Rhodoplanes",0.00846035349339102,0.00487814876154793,0.00243907438077397,4,100
