"Fire_Mod","Kingdom","Phylum","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Bacteria","Proteobacteria",0.490866941944947,0.0756672454105488,0.0112798069605431,45,100
"Unmitigated","Bacteria","Verrucomicrobiota",0.17570883521508,0.0830736583327893,0.0123838898114473,45,100
"Unmitigated","Bacteria","Acidobacteriota",0.085278193577677,0.0434788882591012,0.00648144998223119,45,100
"Unmitigated","Bacteria","Actinobacteriota",0.0807871255304536,0.0482048599241853,0.00718595624242224,45,100
"Unmitigated","Bacteria","Planctomycetota",0.0534171721042778,0.0152051689848778,0.00226665276397054,45,100
"Unmitigated","Bacteria","Bacteroidota",0.0344033423342139,0.0155941573154966,0.00232463972061841,45,100
"Unmitigated","Bacteria","Myxococcota",0.0251257688480645,0.0160963221351465,0.00239949803212814,45,100
"Unmitigated","Bacteria","Firmicutes",0.0203579283199304,0.0201710496710476,0.00300692254946582,45,100
"Unmitigated","Bacteria","Chloroflexi",0.0190062008654593,0.0119129094304535,0.00177587168641949,45,100
"Mitigated","Bacteria","Proteobacteria",0.454445681783099,0.0785249591837383,0.0125740567417118,39,100
"Mitigated","Bacteria","Verrucomicrobiota",0.159082444568945,0.0760829868211118,0.0121830282156414,39,100
"Mitigated","Bacteria","Actinobacteriota",0.0961003006277621,0.0594160855185492,0.00951418808041045,39,100
"Mitigated","Bacteria","Acidobacteriota",0.0806314339907175,0.0374696727560981,0.00599994952211476,39,100
"Mitigated","Bacteria","Bacteroidota",0.0638807825499377,0.0454972852270099,0.00728539628654456,39,100
"Mitigated","Bacteria","Planctomycetota",0.0454685204351006,0.0160106125563664,0.00256374982993949,39,100
"Mitigated","Bacteria","Firmicutes",0.0298102822683434,0.0259253537744046,0.00415137903663916,39,97.4358974358974
"Mitigated","Bacteria","Myxococcota",0.0273708975311544,0.0151235183969179,0.00242170107993573,39,100
"Mitigated","Bacteria","Chloroflexi",0.0241727753431221,0.0216108503149256,0.00346050556308713,39,100
"Wildfire","Bacteria","Proteobacteria",0.501375310789933,0.0891344944254291,0.0238221956773763,14,100
"Wildfire","Bacteria","Actinobacteriota",0.165303628446722,0.0878611488832891,0.0234818797664003,14,100
"Wildfire","Bacteria","Verrucomicrobiota",0.100301654341669,0.0826957259268081,0.0221013624120482,14,100
"Wildfire","Bacteria","Firmicutes",0.0527584706645759,0.057504448855025,0.0153687104164835,14,100
"Wildfire","Bacteria","Bacteroidota",0.0500177710232929,0.0316236049510266,0.00845176393295926,14,100
"Wildfire","Bacteria","Acidobacteriota",0.0343854418756038,0.0245485641937955,0.00656087975360065,14,100
"Wildfire","Bacteria","Planctomycetota",0.0326646584218304,0.0205269149304352,0.00548604877693879,14,100
"Wildfire","Bacteria","Myxococcota",0.0303973373259894,0.0197643070294167,0.00528223324222038,14,100
"Wildfire","Bacteria","Chloroflexi",0.0187971780802592,0.0137326414978908,0.00367020282146439,14,100
