"Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",0.172833467516357,0.121691471995434,0.0181406935775868,45,95.5555555555556
"Unmitigated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",0.0551633734891373,0.0466324524595704,0.00695155557714178,45,93.3333333333333
"Unmitigated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocapsa",0.0507082663297648,0.0415794841401635,0.00619830353378533,45,97.7777777777778
"Unmitigated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",0.0450737286362158,0.0127019347151747,0.00189349263125967,45,100
"Unmitigated","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus",0.041463632360169,0.0358739947296413,0.0053477793893298,45,100
"Unmitigated","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",0.0361592888408678,0.0168539326037295,0.00251243593267594,45,100
"Unmitigated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter",0.0357440215044641,0.0223452616090654,0.00333103492885911,45,100
"Unmitigated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus",0.0327722377176198,0.0243161138122318,0.00362483222885145,45,97.7777777777778
"Unmitigated","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter",0.0319066676458964,0.0204866606438951,0.00305397105544793,45,100
"Unmitigated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella",0.0248943128821195,0.0191983830992751,0.00286192597787082,45,95.5555555555556
"Unmitigated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",0.0228188698383419,0.0316833854195219,0.00472308023702511,45,91.1111111111111
"Unmitigated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia",0.0224168970030861,0.0118099344706734,0.00176052108574958,45,100
"Unmitigated","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",0.0199458191474307,0.0172169281581713,0.00256654811502675,45,95.5555555555556
"Unmitigated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1",0.019153675390515,0.0137171794414066,0.00204483637936985,45,91.1111111111111
"Unmitigated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila-Silvibacterium",0.0190962540448355,0.0251883224409952,0.00375485341448325,45,86.6666666666667
