"Treatuntreat_EP","Kingdom","Phylum","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"SOD-UT","Bacteria","Proteobacteria",0.490866941944947,0.0756672454105488,0.0112798069605431,45,100
"SOD-UT","Bacteria","Verrucomicrobiota",0.17570883521508,0.0830736583327893,0.0123838898114473,45,100
"SOD-UT","Bacteria","Acidobacteriota",0.085278193577677,0.0434788882591012,0.00648144998223119,45,100
"SOD-UT","Bacteria","Actinobacteriota",0.0807871255304536,0.0482048599241853,0.00718595624242224,45,100
"SOD-UT","Bacteria","Planctomycetota",0.0534171721042778,0.0152051689848778,0.00226665276397054,45,100
"SOD-UT","Bacteria","Bacteroidota",0.0344033423342139,0.0155941573154966,0.00232463972061841,45,100
"SOD-UT","Bacteria","Myxococcota",0.0251257688480645,0.0160963221351465,0.00239949803212814,45,100
"SOD-UT","Bacteria","Firmicutes",0.0203579283199304,0.0201710496710476,0.00300692254946582,45,100
"SOD-UT","Bacteria","Chloroflexi",0.0190062008654593,0.0119129094304535,0.00177587168641949,45,100
"SOD-UT","Other","Other",0.0150484912598957,NA,NA,NA,NA
"SOD-T","Bacteria","Proteobacteria",0.454445681783099,0.0785249591837383,0.0125740567417118,39,100
"SOD-T","Bacteria","Verrucomicrobiota",0.159082444568945,0.0760829868211118,0.0121830282156414,39,100
"SOD-T","Bacteria","Actinobacteriota",0.0961003006277621,0.0594160855185492,0.00951418808041045,39,100
"SOD-T","Bacteria","Acidobacteriota",0.0806314339907175,0.0374696727560981,0.00599994952211476,39,100
"SOD-T","Bacteria","Bacteroidota",0.0638807825499377,0.0454972852270099,0.00728539628654456,39,100
"SOD-T","Bacteria","Planctomycetota",0.0454685204351006,0.0160106125563664,0.00256374982993949,39,100
"SOD-T","Bacteria","Firmicutes",0.0298102822683434,0.0259253537744046,0.00415137903663916,39,97.4358974358974
"SOD-T","Bacteria","Myxococcota",0.0273708975311544,0.0151235183969179,0.00242170107993573,39,100
"SOD-T","Bacteria","Chloroflexi",0.0241727753431221,0.0216108503149256,0.00346050556308713,39,100
"SOD-T","Other","Other",0.0190368809018181,NA,NA,NA,NA
