"","MDS1","MDS2"
"HD3901-S1_4401_S1",-0.00709065240761174,-0.0221532115879944
"HD3902-S1_4400_S99",-0.278806496165703,-0.220299885538514
"HD4301-S1_S2",-0.28656026134396,0.0472775314759259
"HD4303-S1_S3",0.49378775836254,0.0632571115785333
"HD4304-S1_S4",0.0746348591484482,-0.0267724634468772
"HD4305-S1_S245",0.559502734269405,0.0799568459502076
"HD4306-S1_S5",0.547741909769608,0.173060427126287
"HD4307-S1_S6",0.0880585597731726,-0.0364816502586244
"HD4308-S1_S7",-0.00536709109173463,0.0247147527370924
"HD4309-S1_S8",0.00693330983255746,0.0530665631027886
"HD4310-S1_S9",0.0524502093879485,0.0209812369557228
"HD4311-S1_S10",-0.0533968746997774,-0.0835429123108649
"HD4312-S1_S11",-0.0356081859975347,-0.0531141114948219
"HD4313-S1_S12",-0.0959482534290393,-0.019880105953559
"HD4314-S1_S13",-0.0105685871128004,0.07134006698111
"HD4315-S1_S14",0.0312091414178689,0.00810451348122926
"HD4316-S1_S15",-0.200950496274473,-0.0499765545202825
"HD4317-S1_S16",-0.147629503179067,0.116686459250132
"HD4318-S1_S17",-0.0401613465376728,0.273078380544831
"HD4319-S1_S18",-0.133509893919557,-0.158730028174681
"HD4320-S1_S19",-0.0785978232953488,-0.1508036721893
"HD4321-S10_S129",0.0261090717668489,-0.0685637423197591
"HD4322-S1_S21",-0.0218602353900896,0.038690797392195
"HD4323-S1_S22",-0.0677556477095289,0.0361555795524337
"HD4324-S1_S23",-0.00548552286489579,-0.00291733257517242
"HD4325-S1_S24",-0.172651283765339,-0.0453553190366119
"HD4326-S1_S25",-0.117580988571724,-0.0937350241372796
"HD4327-S1_S26",0.143475960391691,-0.345356606559925
"HD4328-S1_S27",-0.121059255024695,0.178177670674434
"HD4329-S1_S28",-0.381182998357371,0.0581487638206716
"HD4330-S1_S29",-0.107069254981118,0.0343892541301336
"HD4331-S1_S30",0.377118051585299,-0.115166165539403
"HD4332-S1_S31",0.470740599966851,-0.0119443041558611
"HD4333-S1_S32",-0.0141032007512708,-0.10450660684704
"HD4334-S1_S33",0.0887410350253105,-0.00593947564351771
"HD4335-S1_S34",-0.156519694457473,-0.029831789046745
"HD4336-S10_S169",-0.350774015354626,0.158519107256543
"HD4337-S1_S36",-0.0220325455743303,-0.126336141057344
"HD4338-S1_S37",-0.101467639139208,0.00488051412153387
"HD4339-S1_S38",-0.212917028451327,0.00311643654728787
"HD4340-S1_S39",0.154444434046446,0.16820928138185
"HD4341-S1_S40",0.0713928366653058,0.204877568903683
"HD4342-S1_S41",-0.00539565012753211,0.202097290753302
"HD4343-S1_S42",-0.387290366703205,0.0167485656264739
"HD4344-S1_S43",0.170416534618124,-0.191493864396977
"HD4345-S1_S44",-0.210284663725373,0.390418240191673
"HD4346-S1_S45",0.0198428644001512,-0.131026214377881
"HD4347-S1_S46",0.0102860686992901,-0.125676601289
"HD4348-S1_S47",0.0549103380986494,0.138229369558827
"HD4349-S1_S48",0.0871720350875981,-0.063040272691319
"HD4350-S1_S49",-0.15293246930921,0.17040218291768
"HD4351-S1_S50",0.0410834172678843,-0.114915252570192
"HD4352-S1_S51",-0.183420390090156,-0.141067480520712
"HD4353-S1_S52",-0.119832509990589,0.0267376485367962
"HD4354-S1_S53",-0.0320094536599117,0.0619117768541487
"HD4355-S1_S54",0.144885693100648,-0.14153666594022
"HD4356-S1_S55",0.0872386470377126,-0.0995976083276513
"HD4357-S1_S56",0.024331084542636,0.0961342280097875
"HD4358-S1_S57",0.277331621505466,-0.20796845707175
"HD4359-S1_S58",-0.0852086910078668,-0.329188446843528
"HD4360-S1_S59",-0.0948435694974216,0.287342846309119
"HD4361-S1_S60",0.0119876692927488,0.176087628799115
"HD4362-S1_S61",0.152169052710425,-0.0309696778534408
"HD4363-S1_S62",0.379129444340146,0.265000759792715
"HD4364-S1_S63",0.121730041427993,-0.0332608816956887
"HD4365-S1_S64",0.1894519311362,0.0408836491809422
"HD4366-S1_S65",-0.00745238795652145,0.153295644297373
"HD4367-S1_S66",0.227871086555319,-0.307260873550155
"HD4368-S1_S67",0.0470428352607617,-0.0362949517800002
"HD4369-S1_S68",-0.0556554912227904,0.15252653449779
"HD4372-S1_S71",0.102120666531452,-0.178907288687932
"HD4373-S1_S72",-0.0223241496067033,-0.366045506021299
"HD4374-S1_S73",-0.023382607717469,-0.0198139983333331
"HD4375-S1_S74",0.0340851768783676,0.0415325707269722
"HD4376-S1_S75",0.0812543444171544,0.00323322213003961
"HD4377-S1_S76",0.0778999247706358,0.0276373403336138
"HD4378-S1_S77",-0.177987025428383,0.106722850325411
"HD4379-S11_S150",-0.01063235159904,0.011199723328044
"HD4380-S1_S79",-0.461747103402537,-0.148387296419678
"HD4381-S1_S80",0.0579804705057639,-0.0639218772177365
"HD4382-S1_S81",-0.143284406893629,0.0631207448405954
"HD4383-S1_S82",0.0451006883891052,0.367621972324681
"HD4384-S1_S83",0.0360877856325733,0.185270430582404
"HD4385-S1_S84",0.093553310737412,0.155896734930932
"HD4386-S1_S85",-0.0213733867533039,-0.26424982699787
"HD4387-S1_S86",-0.0532090331916337,-0.0986941119961848
"HD4388-S1_S87",0.165267577189462,0.106680982023852
"HD4389-S1_S88",-0.0962676909436764,0.0658602489796482
"HD4390-S1_S89",-0.0466965155460235,-0.00598255558721591
"HD4391-S1_S90",0.0577613502616899,-0.0160554955720432
"HD4392-S1_S91",-0.0644813791706272,-0.0387889869769619
"HD4393-S1_S92",-0.209360301327952,0.128872022502837
"HD4394-S1_S93",-0.0734998199429002,-0.204496302695801
"HD4395-S1_S94",-0.179234780712613,-0.103552117992584
"HD4396-S1_S95",-0.00508023490954896,-0.0654885438275054
"HD4397-S11_S190",0.212456865818107,0.00598669676997575
"HD4398-S1_S97",-0.00123948556688387,0.0178923786495874
"HD4399-S1_S98",-0.0460083057719998,0.0170551128898761
