"","MDS1","MDS2"
"HD3901-S1_4401_S1",-0.0044038646875722,-0.0319645128674391
"HD3902-S1_4400_S99",0.381144506711108,-0.0662833369775762
"HD4301-S1_S2",0.297973145647741,-0.123419441628286
"HD4308-S1_S7",-0.00574147166201042,0.0317453161252942
"HD4309-S1_S8",-0.00474724947532905,0.0779434742158678
"HD4310-S1_S9",-0.0543149125905177,0.0570587941775117
"HD4311-S1_S10",-0.0564702016343498,-0.0923885390815324
"HD4312-S1_S11",-0.100977992127652,0.0748221141654929
"HD4313-S1_S12",0.00910299043172698,-0.0617295880507452
"HD4314-S1_S13",0.000266285738622588,0.0529395720127834
"HD4315-S1_S14",-0.0499845167661805,0.0356760987909841
"HD4316-S1_S15",0.128499880273512,-0.168876124451741
"HD4317-S1_S16",0.133921857410678,0.127398310993323
"HD4318-S1_S17",0.181830150528397,0.263868959682972
"HD4319-S1_S18",0.0675126070463462,-0.225612200942145
"HD4320-S1_S19",-0.00241039317940123,-0.195851950432677
"HD4321-S111_19_S20",-0.0119855794028642,-0.0394680527161934
"HD4322-S1_S21",0.0111213345336744,0.0320477275787928
"HD4323-S1_S22",0.0371570213469062,0.0338108104514346
"HD4325-S1_S24",0.11106125252848,-0.123044210913444
"HD4326-S1_S25",0.040926939824627,-0.16048554794768
"HD4327-S1_S26",-0.185974309939294,-0.395618991239806
"HD4328-S1_S27",0.186520322506929,0.0928855027645481
"HD4329-S1_S28",0.31251176997075,-0.264215517757511
"HD4330-S1_S29",0.0791577335076958,0.0048999967048346
"HD4335-S1_S34",0.164987131770158,-0.0942565093009504
"HD4336-S111_23_S35",0.24873449764707,-0.06640047785088
"HD4337-S1_S36",-0.114767592702566,-0.0585368414501077
"HD4338-S1_S37",0.071041185689039,-0.0629971674733629
"HD4339-S1_S38",0.135686891749821,-0.155315098569617
"HD4340-S1_S39",-0.0885789174629417,0.278213052597697
"HD4341-S1_S40",-0.0129833808822292,0.258007193208505
"HD4342-S1_S41",0.0482772422211281,0.211378947881411
"HD4343-S1_S42",0.398379847293847,-0.159607769360567
"HD4344-S1_S43",-0.316557196479281,-0.0487634612624667
"HD4345-S1_S44",0.429037280247223,0.259497427463845
"HD4346-S1_S45",-0.102666073323125,-0.11561597829005
"HD4347-S1_S46",-0.130600738125476,-0.0908388047183825
"HD4348-S1_S47",0.0845341943992358,0.175783742690283
"HD4349-S1_S48",-0.146226439975018,-0.0355874991886019
"HD4350-S1_S49",0.228421099065602,0.0657654231045393
"HD4351-S1_S50",-0.0926233784672683,-0.127405626374669
"HD4352-S1_S51",0.0410111653496117,-0.235182470411485
"HD4353-S1_S52",0.0996087133440573,-0.0184477709038177
"HD4354-S1_S53",0.0285223718037188,0.0624621585990575
"HD4355-S1_S54",-0.260269042189989,0.0128203863597124
"HD4356-S1_S55",-0.185194612584869,0.0401000904219713
"HD4357-S1_S56",0.0370545256330727,0.0974063965330238
"HD4358-S1_S57",-0.312266888552344,-0.27867081988988
"HD4359-S1_S58",-0.386099188642312,0.0411620171939837
"HD4360-S1_S59",0.0446015367869011,0.34416023262939
"HD4365-S1_S64",-0.12986048911469,0.197953289550415
"HD4366-S1_S65",-0.0320981944148789,0.194728412508596
"HD4367-S1_S66",-0.377371458642163,-0.253026836864402
"HD4368-S1_S67",-0.112479339226952,0.0241563944559824
"HD4369-S1_S68",0.179404487711437,0.0305571910828257
"HD4372-S1_S71",-0.236819808863183,-0.0927010092489759
"HD4373-S1_S72",-0.323575207255945,0.280635597007491
"HD4374-S1_S73",0.0392207989688969,-0.0438969871472958
"HD4375-S1_S74",-0.0415276968681877,0.0834670810332592
"HD4376-S1_S75",-0.0767425271907444,0.0312654982405252
"HD4377-S1_S76",-0.0548934188674539,-0.0117917331162393
"HD4378-S1_S77",0.114759738747427,0.16885507286301
"HD4379-S112_2_S78",-0.0757473618438507,-0.00708369136929524
"HD4380-S1_S79",0.284933598937573,-0.449545932531548
"HD4381-S1_S80",-0.131083074432193,-0.00430024594305898
"HD4382-S1_S81",0.135488591115175,0.0209500348192143
"HD4383-S1_S82",0.158418277082849,0.408487681963872
"HD4384-S1_S83",0.0189201871789292,0.198734926478112
"HD4385-S1_S84",-0.159254316415282,0.145274778075499
"HD4386-S1_S85",-0.315490860223551,0.0958253056955526
"HD4387-S1_S86",-0.122129778201016,-0.0265832725532959
"HD4388-S1_S87",-0.159742992596428,0.186047414636451
"HD4389-S1_S88",0.119104434177622,-0.0353873466323192
"HD4390-S1_S89",0.055697831335152,-0.0393973679469198
"HD4391-S1_S90",-0.0714345478246519,-0.026809314111624
"HD4392-S1_S91",0.0123452936822338,-0.0817330818508593
"HD4393-S1_S92",0.187605733900974,0.154926697970462
"HD4394-S1_S93",-0.166150435427599,-0.178536415734589
"HD4395-S1_S94",-0.0577401931018287,-0.203562408602336
"HD4396-S1_S95",-0.0207581212243649,-0.099445232423474
"HD4397-S112_6_S96",-0.141673858737629,0.15923199030977
"HD4398-S1_S97",0.0647294698842927,-0.0255951021391335
"HD4399-S1_S98",0.0231836975949403,-0.0369708247713187
