"","MDS1","MDS2"
"HD3901-S1_4401_S1",-0.00989662933898443,-0.0386195532894533
"HD3902-S1_4400_S99",-0.270929457522309,-0.397952491645354
"HD4301-S1_S2",-0.412158066050725,-0.0951626576265348
"HD4303-S1_S3",0.685760476528821,-0.142627280079134
"HD4304-S1_S4",0.116878999903058,0.00463158110767504
"HD4305-S1_S245",0.785867690285286,-0.030494517004234
"HD4306-S1_S5",0.797201802809874,0.114114754342406
"HD4307-S1_S6",0.127918570727833,-0.0357806235771545
"HD4308-S1_S7",-0.014400584276797,0.0596349093780824
"HD4309-S1_S8",-0.0279559991155868,0.0982236883117064
"HD4310-S1_S9",0.0546313965277616,0.0443880205990172
"HD4311-S1_S10",-0.0367702946028531,-0.117951967231243
"HD4312-S1_S11",-0.0097640816039791,0.161639473957024
"HD4313-S1_S12",-0.1095768105205,-0.0330692070357761
"HD4314-S1_S13",-0.00874978644164813,0.0465550407698902
"HD4315-S1_S14",0.0366415637507089,0.0270644785752203
"HD4316-S1_S15",-0.268306811370219,-0.0830626529441274
"HD4317-S1_S16",-0.21408544754627,0.178153235412427
"HD4318-S1_S17",-0.167965663817218,0.364870760727633
"HD4319-S1_S18",-0.0960154332635307,-0.275000193750049
"HD4320-S1_S19",-0.0680476705205074,-0.225813712271484
"HD4321-S111_19_S20",-0.0210516246928706,-0.039027931945331
"HD4322-S1_S21",-0.0404501449427824,0.0567859218606227
"HD4323-S1_S22",-0.104294697444028,0.0571579276748055
"HD4324-S1_S23",-0.0224030159444068,0.00263764474661366
"HD4325-S1_S24",-0.210777996390941,-0.130941654816029
"HD4326-S1_S25",-0.0998987424582715,-0.184800829891591
"HD4327-S1_S26",0.191762465085022,-0.475391543070024
"HD4328-S1_S27",-0.289869731542188,0.127819242910504
"HD4329-S1_S28",-0.486805080844257,-0.234210191495066
"HD4330-S1_S29",-0.155149241523304,0.0297450553097611
"HD4331-S1_S30",0.528532800520287,-0.106128478489549
"HD4332-S1_S31",0.656316743754303,-0.0433678554548776
"HD4333-S1_S32",-0.00543700200522983,-0.169869272710093
"HD4334-S1_S33",0.0860427007386116,-0.059491730976662
"HD4335-S1_S34",-0.177236895510227,-0.160225783692251
"HD4336-S111_23_S35",-0.279297960306575,-0.204783165084355
"HD4337-S1_S36",0.0652297623358271,0.0981135486964877
"HD4338-S1_S37",-0.149278446533142,-0.0243547653146668
"HD4339-S1_S38",-0.260850908932755,-0.135713971940511
"HD4340-S1_S39",0.111530458076529,0.314908003119585
"HD4341-S1_S40",-0.00154734077213503,0.305672179838611
"HD4342-S1_S41",-0.0445055683896179,0.274119313580954
"HD4343-S1_S42",-0.549761631463156,-0.0653147638299678
"HD4344-S1_S43",0.1586462876778,-0.314838406979951
"HD4345-S1_S44",-0.501241596046162,0.381879020741354
"HD4346-S1_S45",0.0625930057307414,-0.149684767002292
"HD4347-S1_S46",0.0454648557167706,-0.160671752215882
"HD4348-S1_S47",-0.140126902208818,0.21560154918508
"HD4349-S1_S48",0.151952509312279,-0.0515023153337659
"HD4350-S1_S49",-0.324998306921964,0.0688217078857446
"HD4351-S1_S50",0.106984204009991,-0.128633940661246
"HD4352-S1_S51",-0.199112392004365,-0.235846761870161
"HD4353-S1_S52",-0.17230872457686,-0.0381090084885052
"HD4354-S1_S53",-0.0799439347007209,0.0764582496138514
"HD4355-S1_S54",0.260922015158928,0.0904100007815466
"HD4356-S1_S55",0.131544964516798,0.117970399204596
"HD4357-S1_S56",-0.0498917752667662,0.109257294492344
"HD4358-S1_S57",0.335216765914668,-0.337379552659908
"HD4359-S1_S58",-0.0209068363429445,-0.458262286947604
"HD4360-S1_S59",-0.231600043338265,0.369868555469955
"HD4361-S1_S60",-0.0668919806024763,0.23566595399329
"HD4362-S1_S61",0.222084933078125,-0.0193156465905857
"HD4363-S1_S62",0.549812083276009,0.355419468897229
"HD4364-S1_S63",0.178953549154319,0.00695490240260671
"HD4365-S1_S64",0.255972380365498,-0.114455347719616
"HD4366-S1_S65",-0.0957948656939022,0.221841376869821
"HD4367-S1_S66",0.300657187971822,-0.4372579352898
"HD4368-S1_S67",0.0531091083179872,-0.0528435374897327
"HD4369-S1_S68",-0.240959190740182,0.0333272587310597
"HD4372-S1_S71",0.208363537088012,-0.171466189468672
"HD4373-S1_S72",0.149242087031304,0.482502209850963
"HD4374-S1_S73",-0.0559318733972932,-0.0535956760213583
"HD4375-S1_S74",0.00734293725142407,0.0974201076848557
"HD4376-S1_S75",0.110375122904289,0.025108919686341
"HD4377-S1_S76",0.115663894026716,0.0348821565602796
"HD4378-S1_S77",-0.238020865350672,0.206408517060027
