"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",35.5646841500068,-9.87665763583408,3.14164747295165,-3.14378291035777,0.0016677911538012,0.0331334509221839,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","100","100","100","100","100","100","78"
"ASV59","ASV59",5.48465022421282,21.6075071423295,3.14067853989353,6.8798849891406,5.99009017363389e-12,1.37311297826377e-10,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum","Unclassified","100","100","100","100","100","74","39"
"ASV62","ASV62",7.96369483558533,-24.1401589072154,3.14199337355679,-7.68307123445277,1.55319164257103e-14,5.14279010540186e-13,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","49"
"ASV77","ASV77",9.34502198674588,-23.194739081099,3.14192549639548,-7.38233261982461,1.55540013784789e-13,4.21372037344246e-12,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Unclassified","100","100","100","100","100","61","54"
"ASV94","ASV94",159.192456898265,20.6825512057636,2.20446950038563,9.38209905020036,6.46721862694406e-21,4.81807787707333e-19,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Unclassified","Unclassified","100","100","100","100","100","30","30"
"ASV148","ASV148",102.716459833319,-27.7420951684513,2.76471887899137,-10.0343276776741,1.07690527071005e-23,3.20917770671595e-21,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Byssocorticium_atrovirens","100","100","100","100","100","100","100"
"ASV172","ASV172",16.6469985798772,-25.2429678096544,2.63528005348357,-9.57885587009465,9.81258862973393e-22,1.46207570583036e-19,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cremoricolor","100","100","100","100","100","100","100"
"ASV198","ASV198",11.3993916526938,23.6627673984582,2.49040277459659,9.50158249092511,2.06724510913268e-21,2.05346347507179e-19,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Unclassified","Unclassified","100","100","100","100","100","53","53"
"ASV220","ASV220",33.0803979331716,24.7482342658558,2.90814923494521,8.50996020715631,1.73993057196261e-17,8.30103572932869e-16,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","100"
"ASV237","ASV237",16.3279870912949,-25.1513731968231,2.96012063335484,-8.49673925900711,1.94990772165439e-17,8.30103572932869e-16,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","99","98"
"ASV238","ASV238",11.5626684320041,-24.4884154527041,3.1418576315367,-7.79424732900027,6.47935258032239e-15,2.41355883617009e-13,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Unclassified","100","100","100","100","93","91","90"
"ASV349","ASV349",9.56886536918547,-24.3386903808987,2.83417677838636,-8.58756961333795,8.88283020753624e-18,5.2941668036916e-16,"Fungi","Basidiomycota","Microbotryomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100","51","51","51","51"
"ASV379","ASV379",12.2410264741254,-23.8873147817161,3.14183613538308,-7.60297919827813,2.89390021183053e-14,8.62382263125497e-13,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila_minutissima","100","100","100","100","100","100","100"
"ASV438","ASV438",4.77535066085555,20.865558271943,3.14159144459478,6.64171603466864,3.10051878836179e-11,6.59967570665581e-10,"Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_dimorpha","100","100","100","100","100","100","100"
"ASV1274","ASV1274",6.38319577268747,-19.2274052686536,2.75151130606316,-6.98794339906386,2.78944871926493e-12,6.92713098617458e-11,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Myxomphalia","Myxomphalia_maura","100","100","100","100","100","100","100"
