"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",35.5646841500068,14.0313358192909,4.49467067415097,3.12177172400764,0.00179766269096837,0.00878202429358321,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","100","100","100","100","100","100","78"
"ASV9","ASV9",32.8877002709141,17.8827700976932,4.48781901765312,3.98473513021585,6.75554360116463e-05,0.000379839998706993,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_adusta","100","100","100","100","100","100","100"
"ASV17","ASV17",107.165428280728,7.52809497168661,2.22604585812403,3.38182384887201,0.000720063020061885,0.00363692847421088,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","58"
"ASV21","ASV21",20.8928269560727,21.7090662881073,3.09031074819584,7.02488133297964,2.14248259772604e-12,3.99037383826475e-11,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_fuscescens","100","100","100","100","100","100","100"
"ASV22","ASV22",204.01443527343,11.8551549620399,2.44566865900361,4.84740846573627,1.25084714354298e-06,9.80927496778439e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_foetens","100","100","100","100","100","98","61"
"ASV26","ASV26",18.1427549299439,21.0364325791744,4.48333019243849,4.69214438290852,2.70356212017523e-06,2.01415377953054e-05,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","51"
"ASV30","ASV30",12.9289384198303,18.3840670027627,4.48638116954722,4.09774968019894,4.17186070096706e-05,0.00024376754684082,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","47"
"ASV41","ASV41",32.4526979008132,23.2797223380237,4.48289392804194,5.19301208364569,2.06918748893581e-07,1.81358197559668e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_shanglaensis","100","100","100","100","100","100","100"
"ASV42","ASV42",8.97701993241561,15.9305270139602,4.27484592688077,3.72657337514483,0.000194100585162001,0.00103289239961208,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unclassified","Unclassified","Unclassified","98","98","98","72","56","52","7"
"ASV46","ASV46",67.8402228883267,22.2292780461403,3.49299517300208,6.36395899368941,1.96618653120243e-10,2.44134827624302e-09,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","100"
