"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV1","ASV1",1480.62179958893,1.54155484306325,0.553786561506423,2.78366242559204,0.0053748942959213,0.0491730194370097,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","100"
"ASV2","ASV2",35.5646841500068,23.9083266277964,4.4043917701666,5.42829245793728,5.68957552887231e-08,8.95777356522454e-07,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","100","100","100","100","100","100","78"
"ASV6","ASV6",694.276001368734,-2.41020217336287,0.64120932004166,-3.75883833567216,0.000170704087689313,0.00183439154548674,"Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_dimorpha","100","100","100","100","100","100","100"
"ASV9","ASV9",32.8877002709141,23.6894623889208,4.40439863945946,5.37859179609323,7.50707029160597e-08,1.12939701942605e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_adusta","100","100","100","100","100","100","100"
"ASV12","ASV12",188.236836480459,8.32368699199072,2.60660144626488,3.19331020241629,0.00140651764578707,0.0140031242087918,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Unclassified","100","100","100","100","100","100","28"
"ASV17","ASV17",107.165428280728,7.72498910085908,2.18817573861641,3.53033303702727,0.000415036876972689,0.00425727220773501,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","58"
"ASV19","ASV19",387.511925516325,5.98226955152277,1.9760895361229,3.02732717428383,0.00246726754442875,0.0238620018225466,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","99"
"ASV21","ASV21",20.8928269560727,22.3584955547525,3.03691324558627,7.36224374774203,1.80844360372101e-13,8.16210879812749e-12,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_fuscescens","100","100","100","100","100","100","100"
"ASV22","ASV22",204.01443527343,8.59169717222809,2.404578263164,3.57305782217417,0.00035283681100674,0.00373235189143067,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_foetens","100","100","100","100","100","98","61"
"ASV26","ASV26",18.1427549299439,22.381700412953,4.40450684577844,5.08154515287109,3.74376995432321e-07,5.17251481444247e-06,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","51"
"ASV30","ASV30",12.9289384198303,22.3000174194189,4.40452659440678,5.06297713078568,4.12759383637942e-07,5.58876205445773e-06,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","47"
"ASV41","ASV41",32.4526979008132,21.8690168601268,4.40457692792713,4.96506638843488,6.86775728062575e-07,8.94129169035315e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_shanglaensis","100","100","100","100","100","100","100"
"ASV42","ASV42",8.97701993241561,21.8249077575471,4.18816011756634,5.211096793078,1.87727470402186e-07,2.64773953046416e-06,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unclassified","Unclassified","Unclassified","98","98","98","72","56","52","7"
"ASV46","ASV46",67.8402228883267,24.3803020486133,3.43222663199008,7.10334854388013,1.21769784473029e-12,4.57989689379114e-11,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","100"
"ASV48","ASV48",264.836052931089,26.5969304222808,4.21549630752676,6.30932361980533,2.80257554048102e-10,6.12046335776017e-09,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unclassified","100","100","100","100","100","100","45"
"ASV50","ASV50",10.0721753153945,21.9192856953249,3.86837089867099,5.66628337082555,1.45928118248223e-08,2.59982463300123e-07,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus","Unclassified","100","100","100","100","100","68","50"
"ASV51","ASV51",25.5156342903387,23.2849420845797,4.4044227720145,5.28671821255015,1.24530244116012e-07,1.79376543120299e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_grata","100","100","100","100","100","100","98"
"ASV54","ASV54",142.206752874071,12.0242693695833,2.72092021980298,4.41919218434636,9.9070518716731e-06,0.000117667966967065,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified","100","100","100","100","100","66","25"
"ASV56","ASV56",33.7179811588541,22.7404908205557,2.38394741182339,9.53900690416757,1.44206585343052e-21,1.95255716554492e-19,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon","Rhizopogon_hawkerae","100","100","100","100","100","100","83"
"ASV59","ASV59",5.48465022421282,-24.6320611251976,4.38176177823998,-5.6214970990713,1.89309678323874e-08,3.20406630563156e-07,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum","Unclassified","100","100","100","100","100","74","39"
"ASV73","ASV73",155.576514076626,-2.66022265644251,0.747913149172028,-3.55686039132684,0.000375313480087412,0.00390903424644889,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Unclassified","100","100","100","93","93","93","42"
