"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV1","ASV1",1480.62179958893,-1.54155223372948,0.553786739803124,-2.78365681756395,0.00537498721998505,0.0281213099480377,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","100"
"ASV2","ASV2",35.5646841500068,-25.0337181991061,4.40448279779804,-5.6836907642417,1.31818535846271e-08,1.28612139028389e-07,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","100","100","100","100","100","100","78"
"ASV6","ASV6",694.276001368734,2.41020679572976,0.641209596762051,3.75884392233165,0.000170700276649262,0.00106246206673075,"Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_dimorpha","100","100","100","100","100","100","100"
"ASV9","ASV9",32.8877002709141,-24.9298451887515,4.40448966606588,-5.66009846289842,1.51286169095945e-08,1.43721860641148e-07,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_adusta","100","100","100","100","100","100","100"
"ASV12","ASV12",188.236836480459,-8.32351024717183,2.60661730313726,-3.1932229703048,0.00140694263368697,0.00806200461525393,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Unclassified","100","100","100","100","100","100","28"
"ASV17","ASV17",107.165428280728,-7.72456320897887,2.18817219810232,-3.5301441155673,0.000415333363895888,0.00245795646502321,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","58"
"ASV19","ASV19",387.511925516325,-5.98234856536507,1.97609809398788,-3.02735404865067,0.00246704817849526,0.0137016060374891,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","99"
"ASV21","ASV21",20.8928269560727,-23.728904981136,3.03694353439807,-7.81341658558006,5.5658253894582e-15,1.43518783256744e-13,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_fuscescens","100","100","100","100","100","100","100"
"ASV22","ASV22",204.01443527343,-8.59144305804303,2.40459358967029,-3.57292936941625,0.000353010000011413,0.00215994254244271,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_foetens","100","100","100","100","100","98","61"
"ASV26","ASV26",18.1427549299439,-23.7587169122103,4.40459784950746,-5.3940717686331,6.88786855617491e-08,5.78260592739336e-07,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","51"
"ASV30","ASV30",12.9289384198303,-23.431713602079,4.40461758723364,-5.31980657526173,1.03877631295351e-07,8.33329442169375e-07,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","47"
"ASV41","ASV41",32.4526979008132,-23.304026572391,4.40466790612993,-5.29075677645506,1.21811270258336e-07,9.35614224750201e-07,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_shanglaensis","100","100","100","100","100","100","100"
"ASV42","ASV42",8.97701993241561,-23.1001092901322,4.18823839511304,-5.51547144906701,3.47846214054098e-08,2.98982103032213e-07,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unclassified","Unclassified","Unclassified","98","98","98","72","56","52","7"
"ASV46","ASV46",67.8402228883267,-25.6391689829702,3.43227008076205,-7.47003247986755,8.01750289075151e-14,1.80894908972581e-12,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","100"
"ASV48","ASV48",264.836052931089,-27.6674376577435,4.21557621970419,-6.56314492154644,5.26845980324867e-11,6.79254996061704e-10,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unclassified","100","100","100","100","100","100","45"
"ASV50","ASV50",10.0721753153945,-23.1911839334238,3.86843271506647,-5.99498185482215,2.03508164523478e-09,2.09904135408502e-08,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus","Unclassified","100","100","100","100","100","68","50"
"ASV51","ASV51",25.5156342903387,-24.5586684420368,4.40451379610056,-5.57579555404713,2.46401174939143e-08,2.16953229641538e-07,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_grata","100","100","100","100","100","100","98"
"ASV54","ASV54",142.206752874071,-12.0244713860906,2.72094215480573,-4.4192308038791,9.90528182309641e-06,6.50146679661419e-05,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified","100","100","100","100","100","66","25"
"ASV56","ASV56",33.7179811588541,-23.9981864519753,2.38396236931599,-10.0665122742105,7.76841364803908e-24,7.01099331735527e-22,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon","Rhizopogon_hawkerae","100","100","100","100","100","100","83"
"ASV59","ASV59",5.48465022421282,23.2513831916821,4.38184883826003,5.30629513931724,1.11875763496333e-07,8.77981535264701e-07,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum","Unclassified","100","100","100","100","100","74","39"
"ASV73","ASV73",155.576514076626,2.66022855471223,0.747913587399422,3.55686619354267,0.000375305194102097,0.00225808625118095,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Unclassified","100","100","100","93","93","93","42"
"ASV77","ASV77",9.34502198674588,-22.5590157580985,4.40468110424587,-5.12160023034422,3.02953635214403e-07,2.10319735216153e-06,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Unclassified","100","100","100","100","100","61","54"
"ASV87","ASV87",15.5452618098117,-23.6804136688075,3.19342370039679,-7.41536854814008,1.21287051176318e-13,2.43247919303616e-12,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_gemmifera","100","100","100","100","100","100","100"
"ASV88","ASV88",36.2635826605992,-7.40701106588982,1.88336777783421,-3.93285430124941,8.3943121650612e-05,0.000531639770453876,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_sublilacina","100","100","100","100","100","97","97"
"ASV90","ASV90",46.3341117760485,-25.0396029198128,2.23030336954012,-11.2269941667065,3.00529020513295e-29,3.61636588017665e-27,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster","Unclassified","100","100","100","100","100","100","78"
"ASV94","ASV94",159.192456898265,28.9053227158212,3.06431539918146,9.43288106816368,3.9897651292519e-21,2.40050868609989e-19,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Unclassified","Unclassified","100","100","100","100","100","30","30"
"ASV111","ASV111",45.6427306288505,-24.9402189266616,2.66489032103109,-9.35881628216948,8.06349755849157e-21,4.15846088373637e-19,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster","Unclassified","100","100","100","100","100","100","62"
"ASV128","ASV128",15.4669541909578,-22.1757637146843,3.47113490022072,-6.38862053827818,1.67388852576042e-10,1.94927018645004e-09,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_alliacea","100","100","100","100","100","100","100"
"ASV133","ASV133",48.8132229913758,-24.5591294170138,1.77894871193986,-13.8054173524954,2.36399423317201e-43,8.53401918175094e-41,"Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastrales_fam_Incertae_sedis","Geastrales_gen_Incertae_sedis","Unclassified","100","100","100","99","99","99","99"
"ASV137","ASV137",28.5035029133185,-23.6048411903811,2.76745697500881,-8.52943384614171,1.47065667759838e-17,5.30907060613017e-16,"Fungi","Basidiomycota","Microbotryomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100","50","50","50","50"
"ASV144","ASV144",9.61932564223433,-19.548883954658,4.40852443890739,-4.43433720864276,9.23559745299273e-06,6.1741679269081e-05,"Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum","Trichoglossum_hirsutum","100","100","100","100","100","100","100"
"ASV148","ASV148",102.716459833319,-26.5129059082607,3.8786551048508,-6.83559254214242,8.16667587005299e-12,1.17926799563565e-10,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Byssocorticium_atrovirens","100","100","100","100","100","100","100"
"ASV157","ASV157",10.1493034492289,-23.1927154521577,2.8140531857975,-8.24174737322346,1.6971361160235e-16,5.5696921625862e-15,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_pulchella","100","100","100","100","100","100","89"
"ASV172","ASV172",16.6469985798772,-24.0155773458233,3.69801342645064,-6.49418338344798,8.34850054866752e-11,1.03924437864447e-09,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cremoricolor","100","100","100","100","100","100","100"
"ASV181","ASV181",8.8090675014732,-23.0712408809892,4.40471685560154,-5.23784879648942,1.62459072111184e-07,1.19689234759464e-06,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_badia","100","100","100","100","100","74","70"
"ASV183","ASV183",8.05521881508397,-22.8504544717008,4.40476852811034,-5.18766294434631,2.12949575270157e-07,1.50734895436327e-06,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_pantherinoides","100","100","100","100","100","100","61"
"ASV198","ASV198",11.3993916526938,21.2479418692679,3.47404673435204,6.11619344643932,9.58369785257166e-10,1.04839846205405e-08,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Unclassified","Unclassified","100","100","100","100","100","53","53"
"ASV204","ASV204",9.71865667474512,-23.046075426986,4.40470604540739,-5.23214834075369,1.67551201422253e-07,1.20971967426867e-06,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Unclassified","100","100","100","100","100","100","84"
"ASV214","ASV214",52.0487412257441,-24.3881696613026,2.03363921989107,-11.9923777151627,3.8955990605609e-33,7.03155630431242e-31,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Unclassified","100","100","100","100","100","100","91"
"ASV220","ASV220",33.0803979331716,24.7777534342466,4.05703262833098,6.10735867915362,1.01293432169083e-09,1.0754979121482e-08,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","100"
"ASV237","ASV237",16.3279870912949,-23.931079933042,4.15109557543498,-5.76500335830845,8.16562152348721e-09,8.1883038054969e-08,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","99","98"
