"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV59","ASV59",17.1725616121835,23.3349934432637,2.74335377152089,8.5060095732119,1.80022105494074e-17,3.71845660126092e-15,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum","Unclassified","100","100","100","100","100","74","39"
"ASV77","ASV77",9.34502198674588,-24.9026298941978,2.90896123385654,-8.56066062495556,1.12222598840796e-17,2.607772640563e-15,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Unclassified","100","100","100","100","100","61","54"
"ASV94","ASV94",17.7264975026777,24.4911454888944,2.44385622949242,10.0215164842087,1.22607058492852e-23,5.69816304345529e-21,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Unclassified","Unclassified","100","100","100","100","100","30","30"
"ASV148","ASV148",102.716459833319,-28.1810249067184,2.49487032309072,-11.2955870475091,1.37978984697009e-29,2.56502932551739e-26,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Byssocorticium_atrovirens","100","100","100","100","100","100","100"
"ASV172","ASV172",16.6469985798772,-25.6828612268717,2.37466031321502,-10.8153831872063,2.9107371169686e-27,2.70553015022231e-24,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cremoricolor","100","100","100","100","100","100","100"
"ASV198","ASV198",11.3993916526938,23.8743899304033,2.27108422879761,10.5123313471483,7.57962707227742e-26,4.69684224245458e-23,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Unclassified","Unclassified","100","100","100","100","100","53","53"
"ASV220","ASV220",33.0803979331716,25.3628234303976,2.62373898336686,9.66667171970409,4.17743020119886e-22,1.55316854880574e-19,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","100"
"ASV237","ASV237",16.3279870912949,-25.6624016288411,2.6604715179285,-9.64580957018565,5.12055411271305e-22,1.58651834925559e-19,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","99","98"
"ASV433","ASV433",20.388948157624,7.68862116304577,1.86937399660208,4.11293897156011,3.90653685039654e-05,0.00726225200488716,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Plicaria","Unclassified","100","100","100","100","100","91","91"
"ASV509","ASV509",7.95917709158826,23.359445743275,2.66481997288117,8.76586260272547,1.85351957228622e-18,4.92241840697154e-16,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Ochrocladosporium","Ochrocladosporium_frigidarii","100","100","100","100","85","85","83"
