"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV17","ASV17",285.434199579868,-25.0298587251928,3.02024013487763,-8.28737372109881,1.15776415463905e-16,1.54677291059777e-13,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","58"
"ASV26","ASV26",18.1427549299439,-21.4907094708564,5.72875227486283,-3.75137699096458,0.000175866031352978,0.00599963609137041,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","51"
"ASV30","ASV30",27.4104725789513,-24.4284450442729,5.72845608912327,-4.26440294980277,2.00437439603719e-05,0.0009917941455947,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","47"
"ASV41","ASV41",32.4526979008132,-24.7298536374463,5.72841355562755,-4.31705102945157,1.58127611458167e-05,0.000845033955632445,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_shanglaensis","100","100","100","100","100","100","100"
"ASV42","ASV42",9.77210206377325,-20.1570535485263,5.73045329520074,-3.51753212357701,0.000435579625307325,0.012650747378491,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unclassified","Unclassified","Unclassified","98","98","98","72","56","52","7"
"ASV46","ASV46",67.8402228883267,-22.7731324272741,4.62448361118712,-4.92447034998318,8.45891529336748e-07,8.07222202281354e-05,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","100"
"ASV48","ASV48",265.289660971425,-18.5242657730224,5.52029741742093,-3.35566444564446,0.000791745696985285,0.0211554450234468,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unclassified","100","100","100","100","100","100","45"
"ASV50","ASV50",10.0721753153945,-16.4454973767635,5.17574407493529,-3.17741703195963,0.0014859319882031,0.0360946388407152,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus","Unclassified","100","100","100","100","100","68","50"
"ASV51","ASV51",25.5156342903387,-19.3353001244502,5.73074468297423,-3.37395944054085,0.000740952842535477,0.0202023060740285,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_grata","100","100","100","100","100","100","98"
"ASV61","ASV61",73.5641616628132,-21.4605050797348,4.80795647732188,-4.46353979720064,8.06166165414359e-06,0.000538518998496792,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cerolens","100","100","100","100","100","100","93"
"ASV62","ASV62",7.96369483558533,17.7514933837125,5.7328864712778,3.09643204564557,0.00195864749725445,0.0459858566364348,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","49"
"ASV63","ASV63",70.6674166302036,-21.2498727673738,4.52220572159233,-4.69900620971561,2.61430506010155e-06,0.000205453621193863,"Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","Cenococcum","Unclassified","100","100","100","100","100","91","78"
"ASV125","ASV125",32.2545425298696,24.4739744506635,5.6951545800854,4.29733277762875,1.72865579052102e-05,0.000888263129283109,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila_minutissima","100","100","100","100","100","100","100"
"ASV128","ASV128",15.4669541909578,-20.8373767194187,4.7167406416319,-4.41774909892213,9.97340977598027e-06,0.000634498831462364,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_alliacea","100","100","100","100","100","100","100"
"ASV151","ASV151",144.486060374446,-25.788851437585,4.38952381227508,-5.87509090746194,4.22611368305497e-09,1.88202929352048e-06,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina","Wilcoxina_rehmii","100","100","100","100","100","100","100"
"ASV202","ASV202",8.46138017524967,-23.4363036609034,5.72858260462653,-4.09111734584673,4.29299828294104e-05,0.00197773989862387,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Geminibasidium_hirsutum","100","100","100","100","100","100","98"
"ASV204","ASV204",9.71865667474512,-20.9964352813257,5.73000618514044,-3.66429539566213,0.000248020412213477,0.00788941120755251,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Unclassified","100","100","100","100","100","100","84"
"ASV238","ASV238",14.6194581108579,-21.4277225216364,5.72893404217026,-3.74026343538056,0.00018382748848252,0.00599963609137041,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Unclassified","100","100","100","100","93","91","90"
"ASV241","ASV241",13.5100828341088,-21.2266221553934,4.09887171290893,-5.17865003887352,2.23497283765446e-07,2.98592371110636e-05,"Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcaceae","Sclerococcum","Unclassified","100","100","99","99","97","97","73"
