"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",35.5646841500068,-23.4364051531837,5.52706640760862,-4.24029737021449,2.23223864460162e-05,0.000256707444129186,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","100","100","100","100","100","100","78"
"ASV9","ASV9",32.385461396957,-24.3674516547099,5.52707198621471,-4.40874512137453,1.03971298440032e-05,0.000145355952524986,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_adusta","100","100","100","100","100","100","100"
"ASV13","ASV13",11.7070782924838,-23.4329506601193,4.36650052924315,-5.36652875756801,8.02664077567123e-08,2.11962773076059e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_sphagnophila","100","100","100","100","100","100","60"
"ASV26","ASV26",18.1427549299439,-23.8962075079845,5.52715815669184,-4.32341663302196,1.53631208570254e-05,0.000195605449483198,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","51"
"ASV28","ASV28",3.13457504982982,23.9508505780835,5.48887375529317,4.36352731832949,1.279819504542e-05,0.000167594673648351,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","52"
"ASV29","ASV29",40.2884397866654,-24.1971925650544,4.20383550673456,-5.75597987273537,8.61406494719134e-09,2.92468014635592e-07,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_rimosa","100","100","100","100","100","83","69"
"ASV30","ASV30",27.4104725789513,-23.1222505149761,5.5271739030639,-4.18337669856174,2.87210894650552e-05,0.000310274799827035,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","47"
"ASV41","ASV41",32.4526979008132,-22.0517457524051,5.52721404075875,-3.98966741468509,6.61660050326594e-05,0.000620741599845871,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_shanglaensis","100","100","100","100","100","100","100"
"ASV42","ASV42",9.77210206377325,-22.2573047032555,5.52723644168189,-4.0268414311733,5.65311284873292e-05,0.000537422594819543,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unclassified","Unclassified","Unclassified","98","98","98","72","56","52","7"
"ASV46","ASV46",67.8402228883267,-24.7712040979382,4.46316105213487,-5.55014793519254,2.85427965350582e-08,8.4795891372902e-07,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","100"
