"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",35.5646841500068,22.9997093018531,5.52659156544085,4.16164448367706,3.15963986825091e-05,0.000388417797597052,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","100","100","100","100","100","100","78"
"ASV9","ASV9",32.385461396957,24.2086256857122,5.52659703984356,4.38038552678657,1.18469517138673e-05,0.000165625030823282,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_adusta","100","100","100","100","100","100","100"
"ASV13","ASV13",11.7070782924838,20.2968380611133,4.36626537236609,4.64855805365637,3.34263546824151e-06,5.81292460696634e-05,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_sphagnophila","100","100","100","100","100","100","60"
"ASV26","ASV26",18.1427549299439,21.0663911839062,5.5266832502535,3.81176018780159,0.000137980711338101,0.00134767461895981,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","51"
"ASV28","ASV28",3.13457504982982,-29.9567918682727,5.48841452969827,-5.45818682356699,4.81021384985787e-08,1.49697909497158e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","52"
"ASV29","ASV29",40.2884397866654,21.8765018699959,4.20362544779529,5.20419864749596,1.94835508154395e-07,4.96134704693156e-06,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_rimosa","100","100","100","100","100","83","69"
"ASV30","ASV30",27.4104725789513,20.9974243526384,5.5266990044836,3.79927047512521,0.000145122643876361,0.00139827628491683,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","Unclassified","100","100","100","100","100","100","47"
"ASV41","ASV41",32.4526979008132,20.8159853832963,5.52673910025251,3.76641361310962,0.000165609349649086,0.00153349956233505,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_shanglaensis","100","100","100","100","100","100","100"
"ASV42","ASV42",9.77210206377325,20.5202764258914,5.52676154311808,3.71289339440441,0.000204903211605155,0.00182619987343095,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unclassified","Unclassified","Unclassified","98","98","98","72","56","52","7"
"ASV46","ASV46",67.8402228883267,22.6515080296115,4.46291001949273,5.07550184311944,3.86474610181529e-07,9.18521323531433e-06,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_rubidus","100","100","100","100","100","100","100"
"ASV47","ASV47",140.827670529243,22.3064432800904,2.98699324370169,7.46785863246438,8.15103413242427e-14,1.1623374672837e-11,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Leucoscypha","Unclassified","100","100","98","98","98","75","75"
"ASV50","ASV50",10.0721753153945,20.3253036998672,4.98147097919218,4.08018109204428,4.50006288872313e-05,0.000525990957321244,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus","Unclassified","100","100","100","100","100","68","50"
"ASV51","ASV51",25.5156342903387,22.1043802440721,5.52661634017425,3.99962271370102,6.34435445235583e-05,0.000695926880696878,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_grata","100","100","100","100","100","100","98"
"ASV53","ASV53",15.7791567740883,20.4488431668834,3.11062932761008,6.57386046784121,4.90271783405418e-11,3.49563781568063e-09,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified","100","100","100","100","100","75","50"
"ASV54","ASV54",143.618782479318,23.7508402083569,3.46743619521047,6.84968341772624,7.40135971802598e-12,7.53881354136075e-10,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified","100","100","100","100","100","66","25"
"ASV56","ASV56",28.2298794212667,21.1408754720041,3.12510014561758,6.7648633601872,1.33435070096132e-11,1.14544044403278e-09,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon","Rhizopogon_hawkerae","100","100","100","100","100","100","83"
"ASV59","ASV59",15.1668377410945,-22.124177750373,5.49410581859151,-4.02689327087712,5.65186713973718e-05,0.000629653323536345,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum","Unclassified","100","100","100","100","100","74","39"
"ASV62","ASV62",7.96369483558533,20.6442666288259,5.52678815156757,3.73530992371593,0.000187484145361927,0.00169210374231714,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unclassified","100","100","100","100","100","100","49"
"ASV63","ASV63",70.6674166302036,22.8961306611848,4.36382913140745,5.24679816090788,1.54765290923823e-07,4.08695008995132e-06,"Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","Cenococcum","Unclassified","100","100","100","100","100","91","78"
"ASV69","ASV69",29.8061251866847,23.7919834476715,5.52660246101413,4.30499273568262,1.66991215158248e-05,0.000216481338923328,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_vesca","100","100","100","100","100","100","98"
"ASV77","ASV77",9.34502198674588,21.2463402378379,5.52674963286254,3.84427405784862,0.000120909824944837,0.00119734312757874,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Unclassified","100","100","100","100","100","61","54"
"ASV86","ASV86",56.3346150646128,22.8574473779265,3.57134732852359,6.40023085835671,1.55142197162263e-10,8.50895281359183e-09,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Unclassified","Unclassified","100","100","100","100","100","39","39"
"ASV87","ASV87",15.5452618098117,20.623873264354,4.15780435850389,4.96027987035329,7.03916889957313e-07,1.56841482043614e-05,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_gemmifera","100","100","100","100","100","100","100"
"ASV88","ASV88",36.2635826605992,21.6880894920231,2.42768019476655,8.93366825613069,4.12111828309965e-19,2.93835733585005e-16,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_sublilacina","100","100","100","100","100","97","97"
"ASV90","ASV90",46.3341117760485,22.2911333983892,2.84569403920592,7.83328533963175,4.75283985098076e-15,8.47193703437321e-13,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster","Unclassified","100","100","100","100","100","100","78"
"ASV94","ASV94",159.192456898265,-25.0175048849428,4.33305675709574,-5.77363886221304,7.75776158550768e-09,3.07293556137054e-07,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Unclassified","Unclassified","100","100","100","100","100","30","30"
"ASV109","ASV109",58.4217488990588,21.3541326022701,2.61120150015219,8.17789534856866,2.88844456528713e-16,6.86486991683241e-14,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Unclassified","100","100","100","100","100","100","88"
"ASV111","ASV111",60.4635899642264,22.4840723935961,3.43991681194649,6.53622561903566,6.30907192326681e-11,4.08942571026294e-09,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster","Unclassified","100","100","100","100","100","100","62"
"ASV134","ASV134",24.2571743051134,21.3250301172529,4.44849718672523,4.79376050430895,1.63683668788103e-06,3.33447016702621e-05,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_fluviae","100","100","100","100","100","97","96"
"ASV137","ASV137",53.9163441935051,21.8321885150365,3.47149072174639,6.28899520839091,3.19527331682604e-10,1.62730705349783e-08,"Fungi","Basidiomycota","Microbotryomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100","50","50","50","50"
"ASV148","ASV148",102.716459833319,25.6252241863697,5.13621441631028,4.98912664257077,6.06528765033831e-07,1.39501615957781e-05,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Byssocorticium_atrovirens","100","100","100","100","100","100","100"
"ASV157","ASV157",13.0115991221164,20.4403322107762,3.60387646827583,5.6717627229202,1.41335643863144e-08,5.03861570372108e-07,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_pulchella","100","100","100","100","100","100","89"
"ASV172","ASV172",16.6469985798772,21.4720727365554,4.91075793900161,4.37245594331224,1.22856614707255e-05,0.000168455319781294,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cremoricolor","100","100","100","100","100","100","100"
"ASV183","ASV183",8.05521881508397,19.9904723924194,5.52681932277338,3.61699401137436,0.000298044196713288,0.00262352484267375,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_pantherinoides","100","100","100","100","100","100","61"
"ASV185","ASV185",10.6743868896923,20.4044607534438,3.56320442832173,5.72643561824892,1.02562659261848e-08,3.84879873966831e-07,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_assimilata","100","100","100","100","100","100","100"
"ASV202","ASV202",8.46138017524967,17.1773607590854,5.52908235053676,3.10672905015022,0.00189169696063133,0.0149864436992237,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Geminibasidium_hirsutum","100","100","100","100","100","100","98"
"ASV204","ASV204",9.71865667474512,19.5118445227628,5.52676946580685,3.53042489712647,0.00041489278628694,0.00352164948360224,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Unclassified","100","100","100","100","100","100","84"
"ASV206","ASV206",70.2101800834376,4.6216642692582,1.5896937454679,2.90726706476277,0.00364601773103925,0.0273643225497999,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Basidioascus","Basidioascus_magus","100","100","100","100","100","100","90"
"ASV220","ASV220",33.0803979331716,-28.9682755189527,5.25608612163969,-5.51137763890287,3.56035902387411e-08,1.20882665905821e-06,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","100"
"ASV222","ASV222",25.8473945066252,21.6921879325861,4.05198582253836,5.35347083692338,8.6282946802329e-08,2.46078964280242e-06,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Herpotrichiellaceae_gen_Incertae_sedis","Unclassified","100","100","97","97","93","91","91"
"ASV237","ASV237",16.3279870912949,22.3192575557297,5.52665789634227,4.03847279392874,5.38003317816821e-05,0.000608883120005386,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","99","98"
"ASV238","ASV238",14.6194581108579,20.8332946928695,5.52671107373632,3.76956464973756,0.000163532546370839,0.00153349956233505,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Unclassified","100","100","100","100","93","91","90"
"ASV244","ASV244",31.151730475103,20.4453538423699,2.32110273242003,8.80846571623012,1.26870355066191e-18,4.52292815810972e-16,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Unclassified","Unclassified","Unclassified","97","97","76","73","59","59","59"
"ASV264","ASV264",11.7382349491094,19.5811791922205,4.61760388732718,4.24054978946121,2.22972966987864e-05,0.000283892366897049,"Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcaceae","Sclerococcum","Unclassified","100","100","100","100","100","100","66"
"ASV275","ASV275",45.2953211916413,18.59264816932,5.52723769474263,3.363822798322,0.000768708823542444,0.00622828853620184,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Unclassified","100","100","100","99","98","97","19"
"ASV276","ASV276",17.6359739801265,22.0723111353008,4.65436002344252,4.7422870220889,2.11318939441345e-06,4.06764446801431e-05,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Pilodermataceae","Piloderma","Unclassified","100","100","100","99","83","83","82"
"ASV316","ASV316",19.6050992718879,20.2826080017204,3.00339198456521,6.75323371240088,1.44585750298668e-11,1.14544044403278e-09,"Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","80","70","21","21","21","21","21"
"ASV349","ASV349",10.2562035564684,19.9482012340112,5.17406053204295,3.85542478880407,0.000115528846141246,0.00116016996195364,"Fungi","Basidiomycota","Microbotryomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100","51","51","51","51"
"ASV362","ASV362",8.68181816369566,18.7066389868095,5.52729276345414,3.3844125483086,0.000713307377628883,0.00591381581685341,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus","Xerocomellus_zelleri","100","100","100","100","100","100","96"
"ASV363","ASV363",8.23316370553452,18.4267063069687,4.73509326907213,3.89151918660718,9.96185097909791e-05,0.00104452937472012,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Unclassified","Unclassified","100","100","99","99","99","40","40"
"ASV366","ASV366",7.4243494886734,21.3998133844277,5.52680486077058,3.87200451680938,0.000107943951410858,0.00109948624794203,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Pseudotomentella","Unclassified","100","100","100","100","100","93","93"
"ASV368","ASV368",22.0243554374242,19.7678470777514,3.71319383906206,5.32367765716876,1.01690040775633e-07,2.78865381050102e-06,"Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Varicellaria","Unclassified","100","100","68","68","68","68","68"
"ASV379","ASV379",12.2410264741254,21.5883422166998,5.5266987482893,3.90619123638358,9.37623174172492e-05,0.000997798989828338,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila_minutissima","100","100","100","100","100","100","100"
"ASV387","ASV387",32.8804707727866,20.2161948654944,4.37799249611196,4.61768604753162,3.88042733515825e-06,6.16166259778757e-05,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_fuscescens","100","100","100","100","100","100","100"
"ASV397","ASV397",27.0062497335835,17.6880251529076,2.45806773128784,7.19590633234522,6.20472148239796e-13,7.37327736158291e-11,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans","100","100","100","100","100","100","100"
"ASV405","ASV405",2.88939163755644,-25.3959578715554,5.48838504746315,-4.62721869036757,3.70609117945036e-06,6.14521630453048e-05,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_lignicola","100","100","100","100","100","89","81"
"ASV413","ASV413",5.13706428896869,18.6043040307981,5.52713496127401,3.36599416535864,0.000762683215774403,0.00622828853620184,"Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS11","GS11_fam_Incertae_sedis","GS11_gen_Incertae_sedis","Unclassified","99","98","98","98","98","98","98"
"ASV415","ASV415",15.7042036464508,20.0149437867408,4.20230756438607,4.76284600307803,1.9088151202554e-06,3.78051439095028e-05,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis","Unclassified","98","98","77","73","66","65","65"
"ASV428","ASV428",5.72257190089445,19.8866923156007,5.52689037484765,3.59817021269376,0.000320463871448692,0.00278437804649148,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_foetens","100","100","100","100","100","100","82"
"ASV429","ASV429",10.9480649762997,19.8708125803629,5.52702188656594,3.59521148788304,0.000324128159689752,0.00278437804649148,"Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiaceae","Rhizophydiaceae_gen_Incertae_sedis","Unclassified","100","100","100","100","100","100","100"
"ASV439","ASV439",25.2346019448396,19.8097092169729,4.3289680242886,4.57608120591936,4.73766705864048e-06,7.03740961002221e-05,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Unclassified","100","100","100","100","100","94","78"
"ASV440","ASV440",12.854011362838,20.237784418001,3.27430132935581,6.1807947352184,6.37797007835399e-10,2.8421829161665e-08,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Genea","Genea_darii","100","100","100","100","100","100","97"
"ASV468","ASV468",11.7658269180013,6.61729499901,2.3179200747615,2.85484174845454,0.00430582782519848,0.0319797420767345,"Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","99","99","35","28","21","21","13"
"ASV475","ASV475",14.6973460230932,16.9865338688422,5.52866976184177,3.07244501852531,0.00212312941467399,0.0166350689303578,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Basidioascus","Unclassified","100","100","100","100","100","100","48"
"ASV477","ASV477",11.8409692026426,20.9915553215075,4.82693679287627,4.34883575697271,1.36862160032713e-05,0.000184118339817593,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Unclassified","100","100","100","100","100","100","30"
"ASV484","ASV484",9.93307401714247,22.4364960124222,5.52673682594323,4.05962808055239,4.91509414801876e-05,0.000565235827022157,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Unclassified","Unclassified","100","100","100","100","100","56","39"
"ASV502","ASV502",15.9771424834407,18.6985538784361,4.0538673206679,4.61252241362339,3.97811631967922e-06,6.1660802955028e-05,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_rubiginosa","100","100","100","100","100","67","67"
"ASV509","ASV509",22.8877937273527,-23.5558338171842,4.89085891789377,-4.81629795760464,1.46246098417018e-06,3.08227047123815e-05,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Ochrocladosporium","Ochrocladosporium_frigidarii","100","100","100","100","85","85","83"
"ASV516","ASV516",22.9661206071521,21.6331316096758,5.52665424609017,3.91432694111091,9.06567307754735e-05,0.000979367409741101,"Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiaceae","Rhizophydiaceae_gen_Incertae_sedis","Unclassified","100","100","100","100","100","100","100"
"ASV519","ASV519",9.50177941524038,18.6705528761436,4.95093409530986,3.77111723095459,0.000162518297106673,0.00153349956233505,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Unclassified","100","100","100","100","100","81","46"
"ASV567","ASV567",23.2743021445812,20.3273300889745,4.47376696887292,4.54367208448847,5.52826347508255e-06,7.88330371546772e-05,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","97"
"ASV587","ASV587",9.77866306887535,19.7638954862516,4.74896225940192,4.161729322469,3.15846599026136e-05,0.000388417797597052,"Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Trechisporales_fam_Incertae_sedis","Trechisporales_gen_Incertae_sedis","Unclassified","100","100","100","100","79","79","79"
"ASV596","ASV596",9.6882123755787,18.2591783989793,4.41801408182151,4.13289275697626,3.58225898382655e-05,0.000425691775911389,"Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","100","100","58","58","58","58","58"
"ASV603","ASV603",15.8539052524963,19.0533342724943,5.52710337282838,3.4472549158682,0.000566313963499157,0.00475037477617528,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_mordax","100","100","100","100","100","100","100"
"ASV608","ASV608",21.9488619768334,21.4362373328139,4.2009536383162,5.10270742749874,3.34828432317621e-07,8.23216111180908e-06,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon","Unclassified","100","100","100","100","100","100","57"
"ASV642","ASV642",4.41537393152834,19.0891885973269,5.07552755158266,3.76102550982598,0.000169218169511277,0.00154682762643001,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Unclassified","Unclassified","100","100","85","85","85","59","22"
"ASV655","ASV655",9.59233134189002,19.4224435687464,4.47467937049756,4.34052184762161,1.42144734107182e-05,0.000187683695219297,"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Unclassified","Unclassified","100","99","96","85","84","33","30"
"ASV685","ASV685",11.0046246360963,17.6129458819302,5.31029310542351,3.31675587999873,0.000910691516647794,0.00729576462213345,"Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum","Geoglossum_nigritum","100","100","100","100","100","100","70"
"ASV686","ASV686",10.6340157206491,17.5701057930624,2.91254406933589,6.03256307021945,1.61379325536088e-09,6.76843877101358e-08,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pithomyces","Unclassified","100","100","100","100","100","100","98"
"ASV726","ASV726",13.5645206617861,-25.9994746509121,5.48846909173155,-4.73710869394903,2.16788905728673e-06,4.06764446801431e-05,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","99"
"ASV840","ASV840",9.06518356814896,18.0327692209115,3.94844255327927,4.56705877762738,4.94615352179723e-06,7.19715808375801e-05,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Unclassified","Unclassified","Unclassified","100","100","98","82","30","26","26"
"ASV844","ASV844",11.6049036468129,-29.8997392684406,5.48797877119387,-5.44822429441288,5.0875176808313e-08,1.51141671101363e-06,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_diversispora","100","100","100","100","100","100","100"
"ASV845","ASV845",10.5361193481652,20.7761718408093,5.36078347653699,3.87558496472432,0.000106368855022318,0.00109914483523062,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova","Alpova_concolor","100","100","100","100","100","100","99"
"ASV875","ASV875",1.29892028994239,-25.3450410221154,5.48922352068245,-4.61723610390789,3.88884736185751e-06,6.16166259778757e-05,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unclassified","100","100","100","97","97","90","51"
"ASV944","ASV944",9.01689883745198,19.5598099555943,4.70874953650169,4.15392872438191,3.26815012378593e-05,0.000394947633603283,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon","Rhizopogon_vesiculosus","100","100","100","100","100","100","100"
"ASV956","ASV956",7.12342577353216,-20.4839357894576,4.42404045591908,-4.63014205985649,3.65414945760383e-06,6.14521630453048e-05,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Unclassified","Unclassified","100","100","99","99","99","33","32"
"ASV973","ASV973",1.44389459575949,15.6553101703113,5.53210040778722,2.82990347540949,0.00465620492984454,0.0342255063399913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta","Neopyrenochaeta_acicola","100","100","100","100","93","93","63"
"ASV988","ASV988",6.37609085632591,16.1338806241232,5.52959424914826,2.91773318206998,0.00352585911026293,0.026744016442739,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Unclassified","100","100","100","100","100","84","42"
"ASV1012","ASV1012",4.31878385377126,17.8271001661542,3.82224013605442,4.6640450446833,3.10053466099672e-06,5.52670303322666e-05,"Fungi","Ascomycota","Sareomycetes","Sareales","Sareales_fam_Incertae_sedis","Sareales_gen_Incertae_sedis","Unclassified","100","100","98","98","98","98","98"
"ASV1047","ASV1047",6.87327739423524,19.8156095133662,4.11513699952864,4.81529764759617,1.46980639582184e-06,3.08227047123815e-05,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentithecium","Unclassified","100","100","100","100","100","96","92"
"ASV1074","ASV1074",5.47846270951817,-29.9511643369117,5.48807827917017,-5.457495832483,4.82896482248898e-08,1.49697909497158e-06,"Fungi","Basidiomycota","GS25","GS25_ord_Incertae_sedis","GS25_ord_Incertae_sedis_fam_Incertae_sedis","GS25_ord_Incertae_sedis_gen_Incertae_sedis","Unclassified","100","100","100","100","100","100","100"
"ASV1162","ASV1162",5.30383641914772,-25.7450105126632,5.4883099073516,-4.69088133637967,2.72030713896592e-06,4.97327946175052e-05,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_hyalina","100","100","100","100","100","100","100"
"ASV1163","ASV1163",4.20811937577824,18.3899665378838,2.95776318805706,6.21752499055344,5.05057742476229e-10,2.40070780257034e-08,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus_micaceus","100","100","100","100","100","100","100"
"ASV1242","ASV1242",5.85997039999061,18.9694471622771,2.95316353487975,6.42343268099764,1.33235080958252e-10,7.91638439360281e-09,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Hymenogaster_raphanodorus","100","100","100","100","100","100","60"
"ASV1863","ASV1863",2.45887593300742,16.236707064668,5.52972111453056,2.93626147293441,0.00332194185753727,0.0254682209077857,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea","Unclassified","100","100","100","100","81","81","36"
"ASV1951","ASV1951",2.34444084272545,16.6139646094068,5.52971547634584,3.00448814780353,0.00266028123449616,0.0206171795673453,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Unclassified","Unclassified","100","100","100","100","100","34","19"
"ASV2156","ASV2156",2.44478535203018,-25.1732968376387,5.48865573376017,-4.58642298929414,4.50904614956724e-06,6.84031894604562e-05,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Zygoascus","Unclassified","100","100","100","100","100","100","100"
