"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Aphelidiomycota","Aphelidiomycetes","Aphelidiomycetes_ord_Incertae_sedis","Aphelidiomycetes_fam_Incertae_sedis",192,4,3785746,0.00507165562613023
"2","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae",2045,28,3785746,0.0540184153928975
"3","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis",113,5,3785746,0.00298488065496206
"4","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae",9,1,3785746,0.000237733857474854
"5","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Lichenostigmatales_fam_Incertae_sedis",6,1,3785746,0.00015848923831657
"6","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae",7,1,3785746,0.000184904111369331
"7","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis",619,8,3785746,0.0163508064196594
"8","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae",760,17,3785746,0.0200753035200988
"9","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae",1201,22,3785746,0.0317242625363667
"10","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriales_fam_Incertae_sedis",41,1,3785746,0.00108300979516323
"11","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae",118,4,3785746,0.00311695502022587
"12","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis",2465,39,3785746,0.0651126620750573
"13","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae",20351,86,3785746,0.537569081496751
"14","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae",298,12,3785746,0.00787163216972296
"15","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae",24,1,3785746,0.000633956953266278
"16","Fungi","Ascomycota","Dothideomycetes","Cladoriellales","Cladoriellaceae",8,1,3785746,0.000211318984422093
"17","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae",458,8,3785746,0.0120980118581648
"18","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideales_fam_Incertae_sedis",20,2,3785746,0.000528297461055232
"19","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae",3490,30,3785746,0.092187906954138
"20","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",3762,31,3785746,0.0993727524244891
"21","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis",1573,24,3785746,0.041550595311994
"22","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae",10,1,3785746,0.000264148730527616
"23","Fungi","Ascomycota","Dothideomycetes","Dothideomycetidae_ord_Incertae_sedis","Pseudoperisporiaceae",12,1,3785746,0.000316978476633139
"24","Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae",21720,41,3785746,0.573731042705982
"25","Fungi","Ascomycota","Dothideomycetes","Microthyriales","Microthyriales_fam_Incertae_sedis",56,5,3785746,0.00147923289095465
"26","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Extremaceae",89,3,3785746,0.00235092370169578
"27","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae",53,5,3785746,0.00139998827179636
"28","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae",1343,34,3785746,0.0354751745098588
"29","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae",661,26,3785746,0.0174602310878754
"30","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiales_fam_Incertae_sedis",23,2,3785746,0.000607542080213517
"31","Fungi","Ascomycota","Dothideomycetes","Patellariales","Patellariales_fam_Incertae_sedis",33,4,3785746,0.000871690810741133
"32","Fungi","Ascomycota","Dothideomycetes","Phaeotrichales","Phaeotrichaceae",608,9,3785746,0.016060242816079
"33","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae",407,7,3785746,0.010750853332474
"34","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Astrosphaeriellaceae",19,1,3785746,0.00050188258800247
"35","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Biatriosporaceae",262,10,3785746,0.00692069673982354
"36","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae",38,1,3785746,0.00100376517600494
"37","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae",10798,67,3785746,0.28522779922372
"38","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Delitschiaceae",2643,26,3785746,0.0698145094784489
"39","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae",155,8,3785746,0.00409430532317805
"40","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",1658,25,3785746,0.0437958595214787
"41","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae",100,4,3785746,0.00264148730527616
"42","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Fuscostagonosporaceae",140,10,3785746,0.00369808222738662
"43","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae",1550,27,3785746,0.0409430532317805
"44","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae",10,2,3785746,0.000264148730527616
"45","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae",384,7,3785746,0.0101433112522605
"46","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae",10,1,3785746,0.000264148730527616
"47","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae",751,27,3785746,0.019837569662624
"48","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae",7462,80,3785746,0.197107782719707
"49","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neocamarosporiaceae",8,1,3785746,0.000211318984422093
"50","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neophaeosphaeriaceae",124,1,3785746,0.00327544425854244
"51","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae",6363,46,3785746,0.168077837234722
"52","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae",3883,44,3785746,0.102568952063873
"53","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae",519,18,3785746,0.0137093191143833
"54","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",692,18,3785746,0.018279092152511
"55","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae",4817,30,3785746,0.127240443495153
"56","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomonodictydaceae",1556,1,3785746,0.041101542470097
"57","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",2383,39,3785746,0.0629466424847309
"58","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis",3780,24,3785746,0.0998482201394388
"59","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Roussoellaceae",74,4,3785746,0.00195470060590436
"60","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae",47,4,3785746,0.0012414990334798
"61","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae",143,4,3785746,0.00377732684654491
"62","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae",2605,36,3785746,0.068810744302444
"63","Fungi","Ascomycota","Dothideomycetes","Venturiales","Cylindrosympodiaceae",399,8,3785746,0.0105395343480519
"64","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",1925,34,3785746,0.0508486306265661
"65","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae",32095,63,3785746,0.847785350628383
"66","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiales_fam_Incertae_sedis",364,8,3785746,0.00961501379120522
"67","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis",10536,67,3785746,0.278307102483896
"68","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae",622,8,3785746,0.0164300510388177
"69","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Epibryaceae",28,1,3785746,0.000739616445477325
"70","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",122269,95,3785746,3.22972011328811
