"","Fire_Mod","Kingdom","Phylum","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Fungi","Ascomycota",323029,45,3979482,8.11736301357815
"2","Untreated","Fungi","Basidiobolomycota",54,4,3979482,0.00135696052903368
"3","Untreated","Fungi","Basidiomycota",1389066,45,3979482,34.9056987819018
"4","Untreated","Fungi","Calcarisporiellomycota",1305,14,3979482,0.0327932127849806
"5","Untreated","Fungi","Chytridiomycota",17782,43,3979482,0.446842076431053
"6","Untreated","Fungi","Entomophthoromycota",51,2,3979482,0.00128157383297625
"7","Untreated","Fungi","Fungi_phy_Incertae_sedis",1932,38,3979482,0.0485490322609827
"8","Untreated","Fungi","Glomeromycota",2538,17,3979482,0.0637771448645829
"9","Untreated","Fungi","Kickxellomycota",1879,31,3979482,0.0472172006306348
"10","Untreated","Fungi","Monoblepharomycota",314,10,3979482,0.00789047418734398
"11","Untreated","Fungi","Mortierellomycota",299386,45,3979482,7.52324046194957
"12","Untreated","Fungi","Mucoromycota",70790,45,3979482,1.77887473796841
"13","Untreated","Fungi","Olpidiomycota",159,5,3979482,0.00399549489104361
"14","Untreated","Fungi","Rozellomycota",8583,41,3979482,0.215681337420297
"15","Treated","Fungi","Aphelidiomycota",5,1,3979482,0.000125644493429044
"16","Treated","Fungi","Ascomycota",386539,39,3979482,9.71329936911387
"17","Treated","Fungi","Basidiobolomycota",67,5,3979482,0.00168363621194919
"18","Treated","Fungi","Basidiomycota",769580,39,3979482,19.3386978506248
"19","Treated","Fungi","Calcarisporiellomycota",130,9,3979482,0.00326675682915515
"20","Treated","Fungi","Chytridiomycota",24547,39,3979482,0.61683907604055
"21","Treated","Fungi","Entomophthoromycota",43,4,3979482,0.00108054264348978
"22","Treated","Fungi","Fungi_phy_Incertae_sedis",3591,33,3979482,0.0902378751807396
"23","Treated","Fungi","Glomeromycota",6441,13,3979482,0.161855236435295
"24","Treated","Fungi","Kickxellomycota",2173,18,3979482,0.0546050968442626
"25","Treated","Fungi","Monoblepharomycota",963,12,3979482,0.0241991294344339
"26","Treated","Fungi","Mortierellomycota",161640,39,3979482,4.06183518357414
"27","Treated","Fungi","Mucoromycota",80964,39,3979482,2.03453615319783
"28","Treated","Fungi","Olpidiomycota",352,9,3979482,0.00884537233740472
"29","Treated","Fungi","Rozellomycota",2323,34,3979482,0.058374431647134
"30","Wildfire","Fungi","Aphelidiomycota",187,3,3979482,0.00469910405424626
"31","Wildfire","Fungi","Ascomycota",158473,14,3979482,3.98225196143619
"32","Wildfire","Fungi","Basidiobolomycota",241,1,3979482,0.00605606458327993
"33","Wildfire","Fungi","Basidiomycota",162782,14,3979482,4.09053238587334
"34","Wildfire","Fungi","Calcarisporiellomycota",70,3,3979482,0.00175902290800662
"35","Wildfire","Fungi","Chytridiomycota",6172,14,3979482,0.155095562688812
"36","Wildfire","Fungi","Entomophthoromycota",40,1,3979482,0.00100515594743235
"37","Wildfire","Fungi","Fungi_phy_Incertae_sedis",1542,12,3979482,0.0387487617735173
"38","Wildfire","Fungi","Glomeromycota",93,2,3979482,0.00233698757778022
"39","Wildfire","Fungi","Kickxellomycota",718,5,3979482,0.0180425492564108
"40","Wildfire","Fungi","Monoblepharomycota",5106,10,3979482,0.12830815668974
"41","Wildfire","Fungi","Mortierellomycota",44737,14,3979482,1.12419154050703
"42","Wildfire","Fungi","Mucoromycota",40542,14,3979482,1.01877581052006
"43","Wildfire","Fungi","Olpidiomycota",162,2,3979482,0.00407088158710103
"44","Wildfire","Fungi","Rozellomycota",2391,11,3979482,0.060083196757769
