"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Aphelidiomycota","Aphelidiomycetes","Aphelidiomycetes_ord_Incertae_sedis","Aphelidiomycetes_fam_Incertae_sedis",192,4,3821741,0.00502388832733563
"2","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae",2267,28,3821741,0.0593185147816139
"3","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis",34,4,3821741,0.000889646891299018
"4","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae",9,1,3821741,0.000235494765343858
"5","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae",7,1,3821741,0.000183162595267445
"6","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae",760,17,3821741,0.0198862246290369
"7","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae",1201,22,3821741,0.0314254681308859
"8","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriales_fam_Incertae_sedis",41,1,3821741,0.00107280948656646
"9","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae",162,5,3821741,0.00423890577618944
"10","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis",2538,39,3821741,0.0664095238269679
"11","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae",18712,86,3821741,0.489619783234918
"12","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae",298,12,3821741,0.00779749334138551
"13","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae",33,2,3821741,0.000863480806260811
"14","Fungi","Ascomycota","Dothideomycetes","Cladoriellales","Cladoriellaceae",8,1,3821741,0.000209328680305651
