"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Aphelidiomycota","Aphelidiomycetes","Aphelidiomycetes_ord_Incertae_sedis","Aphelidiomycetes_fam_Incertae_sedis",5,1,3374948,0.000148150430762192
"2","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae",1930,23,3374948,0.0571860662742063
"3","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis",113,5,3374948,0.00334819973522555
"4","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae",9,1,3374948,0.000266670775371946
"5","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Lichenostigmatales_fam_Incertae_sedis",6,1,3374948,0.000177780516914631
"6","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae",7,1,3374948,0.00020741060306707
"7","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis",575,7,3374948,0.0170372995376521
"8","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae",505,13,3374948,0.0149631935069814
"9","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae",859,15,3374948,0.0254522440049447
"10","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriales_fam_Incertae_sedis",41,1,3374948,0.00121483353224998
"11","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae",58,3,3374948,0.00171854499684143
"12","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis",2052,34,3374948,0.0608009367848038
"13","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae",9872,72,3374948,0.292508210496873
"14","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae",162,7,3374948,0.00480007395669504
