"","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Aphelidiomycota","Aphelidiomycetes","Aphelidiomycetes_ord_Incertae_sedis","Aphelidiomycetes_fam_Incertae_sedis","Aphelidiomycetes_gen_Incertae_sedis",192,4,3630440,0.00528861515408601
"2","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",2255,28,3630440,0.0621136831899164
"3","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomycetaceae_gen_Incertae_sedis",12,1,3630440,0.000330538447130375
"4","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis","Archaeorhizomycetales_gen_Incertae_sedis",34,4,3630440,0.00093652560020273
"5","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Gyrographa",9,1,3630440,0.000247903835347782
"6","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces",7,1,3630440,0.000192814094159386
"7","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae","Pycnora",760,17,3630440,0.0209341016515904
"8","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae_gen_Incertae_sedis",12,3,3630440,0.000330538447130375
"9","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia",345,12,3630440,0.00950298035499829
"10","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Dothiorella",260,9,3630440,0.00716166635449147
"11","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Microdiplodia",584,5,3630440,0.0160862044270116
"12","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriales_fam_Incertae_sedis","Botryosphaeriales_gen_Incertae_sedis",41,1,3630440,0.00112933969436212
"13","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Chaetocapnodium",162,5,3630440,0.00446226903626007
"14","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Capnodiales_gen_Incertae_sedis",2497,37,3630440,0.0687795418737123
"15","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Pseudopenidiella",41,4,3630440,0.00112933969436212
"16","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",18712,86,3630440,0.515419618558632
"17","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium",298,12,3630440,0.00820837143707099
"18","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia",33,2,3630440,0.000908980729608532
"19","Fungi","Ascomycota","Dothideomycetes","Cladoriellales","Cladoriellaceae","Cladoriellaceae_gen_Incertae_sedis",8,1,3630440,0.000220358964753584
"20","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",353,6,3630440,0.00972333931975188
"21","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Rhizosphaera",46,3,3630440,0.00126706404733311
"22","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Scleroconidioma",59,1,3630440,0.00162514736505768
"23","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideales_fam_Incertae_sedis","Dothideales_gen_Incertae_sedis",27,3,3630440,0.000743711506043345
"24","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora",478,8,3630440,0.0131664481440266
"25","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema",368,11,3630440,0.0101365123786648
"26","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Perusta",14,3,3630440,0.000385628188318771
"27","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",3742,31,3630440,0.103072905763489
"28","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis","Pseudoarthrographis",1702,24,3630440,0.0468813697513249
"29","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Eremomyces",10,1,3630440,0.000275448705941979
"30","Fungi","Ascomycota","Dothideomycetes","Dothideomycetidae_ord_Incertae_sedis","Pseudoperisporiaceae","Eudimeriolum",12,1,3630440,0.000330538447130375
"31","Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","Cenococcum",20922,38,3630440,0.57629378257181
"32","Fungi","Ascomycota","Dothideomycetes","Microthyriales","Microthyriales_fam_Incertae_sedis","Parazalerion",56,5,3630440,0.00154251275327509
"33","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Extremaceae","Extremopsis",63,2,3630440,0.00173532684743447
"34","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Acrodontium",40,3,3630440,0.00110179482376792
"35","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pachyramichloridium",6,1,3630440,0.000165269223565188
"36","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",7,1,3630440,0.000192814094159386
"37","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Capnobotryella",239,9,3630440,0.00658322407201331
"38","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Devriesia",96,5,3630440,0.002644307577043
"39","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Penidiellomyces",17,1,3630440,0.000468262800101365
