"","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Aphelidiomycota","Aphelidiomycetes","Aphelidiomycetes_ord_Incertae_sedis","Aphelidiomycetes_fam_Incertae_sedis","Aphelidiomycetes_gen_Incertae_sedis",5,1,3169678,0.000157744729906319
"2","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",1918,23,3169678,0.0605108783920638
"3","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomycetaceae_gen_Incertae_sedis",12,1,3169678,0.000378587351775165
"4","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis","Archaeorhizomycetales_gen_Incertae_sedis",113,5,3169678,0.0035650308958828
"5","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Gyrographa",9,1,3169678,0.000283940513831373
"6","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Lichenostigmatales_fam_Incertae_sedis","Lichenostigmatales_gen_Incertae_sedis",6,1,3169678,0.000189293675887582
"7","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces",7,1,3169678,0.000220842621868846
"8","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",575,7,3169678,0.0181406439392266
"9","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae","Pycnora",505,13,3169678,0.0159322177205382
"10","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae_gen_Incertae_sedis",12,3,3169678,0.000378587351775165
"11","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia",242,9,3169678,0.00763484492746582
"12","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Dothiorella",21,2,3169678,0.000662527865606538
"13","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Microdiplodia",584,5,3169678,0.018424584453058
"14","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriales_fam_Incertae_sedis","Botryosphaeriales_gen_Incertae_sedis",41,1,3169678,0.00129350678523181
