"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",370699,44,8.03012112271118,17.8447136060249
"2","Untreated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",131413,45,3.17261972492885,7.05026605539744
"3","Untreated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila",121630,45,2.73365210172654,6.0747824482812
"4","Untreated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",85314,45,2.23778832847193,4.97286295215985
"5","Untreated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",78515,41,2.04083563368499,4.53519029707777
"6","Untreated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",84995,44,1.82474999751027,4.05499999446726
"7","Untreated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",68733,25,1.65094953202493,3.66877673783319
"8","Untreated","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",61437,37,1.64788592212139,3.6619687158253
"9","Untreated","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis",64893,44,1.60369763060124,3.56377251244719
"10","Untreated","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium",64038,45,1.53911315742012,3.4202514609336
"11","Untreated","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Saccharomycetales_gen_Incertae_sedis",50066,45,1.19947121240607,2.66549158312461
"12","Untreated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",47219,36,1.02760372252512,2.28356382783361
"13","Untreated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus",20441,4,0.779314879049769,1.73181084233282
"14","Untreated","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium",26905,22,0.664186350149612,1.47596966699914
"15","Untreated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster",28370,45,0.656407934792567,1.45868429953904
"16","Untreated","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",24815,45,0.650198456127506,1.44488545806112
"17","Untreated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",22588,44,0.601859415194303,1.33746536709845
"18","Untreated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",24684,36,0.57123629852123,1.26941399671385
"19","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",22647,44,0.543328340672146,1.20739631260477
"20","Untreated","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",15424,28,0.459518423855801,1.02115205301289
"21","Untreated","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina",21239,19,0.456974032191086,1.01549784931353
"22","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",17827,43,0.419291688490626,0.931759307756948
"23","Untreated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova",17974,37,0.414033678503069,0.920074841117931
"24","Untreated","Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","Cenococcum",14599,25,0.404821706291271,0.89960379175838
"25","Untreated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia",13905,35,0.379719088927195,0.843820197615989
"26","Untreated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus",19425,25,0.354963225212055,0.788807167137899
"27","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",14926,44,0.352215564888103,0.782701255306895
"28","Untreated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus",16749,29,0.339085260414516,0.753522800921146
"29","Untreated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierellaceae_gen_Incertae_sedis",14117,42,0.32452705867778,0.721171241506177
"30","Untreated","Fungi","Basidiomycota","GS25","GS25_ord_Incertae_sedis","GS25_ord_Incertae_sedis_fam_Incertae_sedis","GS25_ord_Incertae_sedis_gen_Incertae_sedis",13448,34,0.314092396264777,0.697983102810615
"31","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",8716,43,0.242787024004923,0.539526720010941
"32","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Herpotrichiellaceae_gen_Incertae_sedis",13221,12,0.234939969896428,0.522088821992062
"33","Untreated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Cystangium",10136,8,0.214888026316882,0.477528947370849
"34","Untreated","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis",6910,42,0.187512152508502,0.416693672241115
"35","Untreated","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum",4972,3,0.148500935600478,0.330002079112174
