"","YrSinceTrt_BR","Kingdom","Phylum","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Fungi","Basidiomycota",1389066,45,29.5131960825304,65.5848801834008
"2","Untreated","Fungi","Ascomycota",323029,45,6.88618318296239,15.302629295472
"3","Untreated","Fungi","Mortierellomycota",299386,45,6.29817576715202,13.9959461492267
"4","Untreated","Fungi","Mucoromycota",70790,45,1.57624698896533,3.50277108658962
"5","Untreated","Fungi","Chytridiomycota",17782,43,0.397265889824549,0.882813088498998
"6","Untreated","Fungi","Rozellomycota",8583,41,0.165933025687972,0.368740057084383
"7","Untreated","Fungi","Glomeromycota",2538,17,0.0463786657469941,0.103063701659987
"8","Untreated","Fungi","Fungi_phy_Incertae_sedis",1932,38,0.039490508422535,0.0877566853834112
"9","Untreated","Fungi","Kickxellomycota",1879,31,0.0385738112319663,0.0857195805154807
"10","Untreated","Fungi","Calcarisporiellomycota",1305,14,0.025613184174169,0.056918187053709
"11","Untreated","Fungi","Monoblepharomycota",314,10,0.00789500239386173,0.0175444497641372
"12","Untreated","Fungi","Olpidiomycota",159,5,0.00308230096275186,0.00684955769500412
"13","Untreated","Fungi","Entomophthoromycota",51,2,0.00100760488093354,0.00223912195763009
"14","Untreated","Fungi","Basidiobolomycota",54,4,0.000957985064165032,0.00212885569814452
"15","1 to 2","Fungi","Basidiomycota",411004,21,11.92386876765,56.7803274649999
"16","1 to 2","Fungi","Ascomycota",164792,21,4.75763690940426,22.655413854306
"17","1 to 2","Fungi","Mortierellomycota",107546,21,2.64485992565392,12.5945710745425
"18","1 to 2","Fungi","Mucoromycota",41982,21,1.08367176854708,5.16034175498611
"19","1 to 2","Fungi","Chytridiomycota",12206,21,0.370149365409953,1.76261602576168
"20","1 to 2","Fungi","Fungi_phy_Incertae_sedis",1814,19,0.056305183722663,0.268119922488871
"21","1 to 2","Fungi","Kickxellomycota",2047,12,0.0480845394356956,0.228973997312836
"22","1 to 2","Fungi","Rozellomycota",1676,17,0.0397262945974095,0.189172831416236
"23","1 to 2","Fungi","Glomeromycota",1135,6,0.0366883179664707,0.174706276030813
"24","1 to 2","Fungi","Monoblepharomycota",669,7,0.0240746487786882,0.11464118466042
"25","1 to 2","Fungi","Olpidiomycota",328,7,0.0098118530953959,0.0467231099780757
"26","1 to 2","Fungi","Calcarisporiellomycota",100,6,0.00204650689127729,0.00974527091084425
"27","1 to 2","Fungi","Basidiobolomycota",67,5,0.00204100982144909,0.00971909438785282
"28","1 to 2","Fungi","Entomophthoromycota",31,3,0.00103490902574652,0.00492813821784057
"29","3 to 4","Fungi","Basidiomycota",48656,4,2.0569232999706,51.4230824992649
"30","3 to 4","Fungi","Ascomycota",28513,4,1.27117101349787,31.7792753374466
"31","3 to 4","Fungi","Mucoromycota",10316,4,0.384626518582846,9.61566296457116
"32","3 to 4","Fungi","Mortierellomycota",5374,4,0.230554718322032,5.7638679580508
"33","3 to 4","Fungi","Chytridiomycota",946,4,0.0417875489702198,1.0446887242555
"34","3 to 4","Fungi","Fungi_phy_Incertae_sedis",204,3,0.00735325798832441,0.18383144970811
"35","3 to 4","Fungi","Rozellomycota",94,4,0.00402936586861868,0.100734146715467
"36","3 to 4","Fungi","Monoblepharomycota",58,2,0.00298760205315663,0.0746900513289157
"37","3 to 4","Fungi","Kickxellomycota",10,1,0.000392711278667923,0.00981778196669808
"38","3 to 4","Fungi","Olpidiomycota",3,1,0.000173963467671789,0.00434908669179472
"39","5 to 8","Fungi","Basidiomycota",143962,7,3.46239552153999,49.462793164857
"40","5 to 8","Fungi","Ascomycota",93373,7,2.11034378634147,30.1477683763067
"41","5 to 8","Fungi","Mortierellomycota",31903,7,0.679302383186797,9.70431975981139
"42","5 to 8","Fungi","Mucoromycota",20290,7,0.486830431894676,6.95472045563823
"43","5 to 8","Fungi","Chytridiomycota",6599,7,0.164737884763749,2.35339835376784
"44","5 to 8","Fungi","Glomeromycota",2758,3,0.0454085133435813,0.648693047765447
"45","5 to 8","Fungi","Fungi_phy_Incertae_sedis",1067,6,0.0344698051725387,0.492425788179124
"46","5 to 8","Fungi","Monoblepharomycota",170,2,0.00715941314721277,0.102277330674468
"47","5 to 8","Fungi","Rozellomycota",377,6,0.00698400559853777,0.0997715085505396
"48","5 to 8","Fungi","Kickxellomycota",84,4,0.001694681075121,0.0242097296445858
"49","5 to 8","Fungi","Calcarisporiellomycota",15,1,0.00045780558522814,0.00654007978897343
"50","5 to 8","Fungi","Aphelidiomycota",5,1,0.000215768351098261,0.00308240501568944
"51","10 to 12","Fungi","Basidiomycota",165958,7,4.13117554538172,59.0167935054531
"52","10 to 12","Fungi","Ascomycota",99861,7,2.13241503074783,30.4630718678262
"53","10 to 12","Fungi","Mortierellomycota",16817,7,0.381534937718743,5.45049911026775
"54","10 to 12","Fungi","Mucoromycota",8376,7,0.211989087811533,3.02841554016476
"55","10 to 12","Fungi","Chytridiomycota",4796,7,0.0918115505983976,1.31159357997711
"56","10 to 12","Fungi","Glomeromycota",2548,4,0.035542412815448,0.5077487545064
"57","10 to 12","Fungi","Fungi_phy_Incertae_sedis",506,5,0.00822201540067248,0.11745736286675
"58","10 to 12","Fungi","Rozellomycota",176,7,0.0042325592966161,0.0604651328088015
"59","10 to 12","Fungi","Olpidiomycota",21,1,0.00094885234050244,0.0135550334357491
"60","10 to 12","Fungi","Monoblepharomycota",66,1,0.000723248041203222,0.0103321148743317
"61","10 to 12","Fungi","Kickxellomycota",32,1,0.000671211326691138,0.00958873323844483
"62","10 to 12","Fungi","Calcarisporiellomycota",15,2,0.000602048876784457,0.00860069823977795
"63","10 to 12","Fungi","Entomophthoromycota",12,1,0.000131499643855131,0.00187856634078759
