"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Archaeorhizomyces_finlayi",147,3,2021099,0.00727327063147327
"2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Chaetocapnodium","Chaetocapnodium_philippinense",60,1,2021099,0.00296868189039725
"3","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_anceps",298,12,2021099,0.014744453388973
"4","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Scleroconidioma","Scleroconidioma_sphagnicola",59,1,2021099,0.00291920385889063
"5","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","Dothiora_agapanthi",7,1,2021099,0.000346346220546346
"6","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema_macrosporum",368,11,2021099,0.0182079155944365
"7","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Perusta","Perusta_inaequalis",14,3,2021099,0.000692692441092693
"8","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans",3617,30,2021099,0.178962039959448
"9","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Eremomyces","Eremomyces_bilateralis",10,1,2021099,0.000494780315066209
"10","Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","Cenococcum","Cenococcum_geophilum",120,1,2021099,0.00593736378079451
"11","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Extremaceae","Extremopsis","Extremopsis_radicicola",63,2,2021099,0.00311711598491712
"12","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pachyramichloridium","Pachyramichloridium_pini",6,1,2021099,0.000296868189039725
"13","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia","Ramularia_gaultheriae",7,1,2021099,0.000346346220546346
"14","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Penidiellomyces","Penidiellomyces_aggregatus",17,1,2021099,0.000841126535612555
"15","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Lophium","Lophium_arboricola",203,9,2021099,0.010044040395844
"16","Fungi","Ascomycota","Dothideomycetes","Phaeotrichales","Phaeotrichaceae","Phaeotrichum","Phaeotrichum_benjaminii",700,11,2021099,0.0346346220546346
"17","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","Angustimassarina_acerina",407,7,2021099,0.0201375588231947
"18","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","Corynespora_smithii",38,1,2021099,0.00188016519725159
"19","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_leptospora",635,9,2021099,0.0314185500067043
"20","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium","Dictyosporium_toruloides",88,6,2021099,0.00435406677258264
"21","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Chaetasbolisia","Chaetasbolisia_longiseta",28,1,2021099,0.00138538488218539
"22","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria_sporulosa",45,1,2021099,0.00222651141779794
"23","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces_rosae",10,1,2021099,0.000494780315066209
"24","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Fuscostagonosporaceae","Fuscostagonospora","Fuscostagonospora_banksiae",122,7,2021099,0.00603631984380775
"25","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma_chamaecyparidis",25,1,2021099,0.00123695078766552
"26","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Phragmocamarosporium","Phragmocamarosporium_qujingensis",8,1,2021099,0.000395824252052967
"27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Camposporium","Camposporium_appendiculatum",452,18,2021099,0.0223640702409926
"28","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Melanomma","Melanomma_japonicum",43,1,2021099,0.0021275553547847
"29","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Melanomma","Melanomma_pulvis-pyrius",26,1,2021099,0.00128642881917214
"30","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Pleotrichocladium","Pleotrichocladium_opacum",6009,74,2021099,0.297313491323285
"31","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Uzbekistanica","Uzbekistanica_vitis-viniferae",12,1,2021099,0.000593736378079451
"32","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta","Neopyrenochaeta_acicola",5825,38,2021099,0.288209533526067
"33","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta","Neopyrenochaeta_inflorescentiae",187,2,2021099,0.00925239189173811
"34","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae","Nigrograna","Nigrograna_obliqua",671,15,2021099,0.0331997591409426
"35","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Jeremyomyces","Jeremyomyces_labinae",36,3,2021099,0.00178120913423835
"36","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_fimeti",219,2,2021099,0.01083568889995
"37","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma_vernoniae",14,2,2021099,0.000692692441092693
"38","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora_biseptata",18,2,2021099,0.000890604567119176
"39","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Hobus","Hobus_wogradensis",53,3,2021099,0.00262233566985091
"40","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Ochrocladosporium","Ochrocladosporium_frigidarii",3387,10,2021099,0.167582092712925
"41","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_flanaganii",27,2,2021099,0.00133590685067876
"42","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_persica",6,1,2021099,0.000296868189039725
"43","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","Sporormiella_intermedia",14,2,2021099,0.000692692441092693
"44","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","Teichospora","Teichospora_quercus",51,1,2021099,0.00252337960683767
"45","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","Teichospora","Teichospora_rubriostiolata",34,2,2021099,0.00168225307122511
"46","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicomyces","Helicomyces_roseus",87,1,2021099,0.00430458874107602
"47","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicoon","Helicoon_myosuroides",21,1,2021099,0.00103903866163904
"48","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Pseudosigmoidea","Pseudosigmoidea_alnicola",25,2,2021099,0.00123695078766552
"49","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Scolecobasidium","Scolecobasidium_constrictum",6,1,2021099,0.000296868189039725
"50","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Scolecobasidium","Scolecobasidium_robustum",20,1,2021099,0.000989560630132418
"51","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Pseudoanungitea","Pseudoanungitea_vaccinii",79,4,2021099,0.00390876448902305
"52","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Sympodiella","Sympodiella_quercina",723,14,2021099,0.0357726167792869
"53","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Sarcinomyces","Sarcinomyces_crustaceus",8,1,2021099,0.000395824252052967
"54","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Epibryaceae","Epibryon","Epibryon_interlamellare",28,1,2021099,0.00138538488218539
"55","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_camelliae-yunnanensis",17,1,2021099,0.000841126535612555
"56","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_coronata",168,6,2021099,0.00831230929311231
"57","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_fungicola",85,8,2021099,0.00420563267806278
"58","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_pulcherrima",137,2,2021099,0.00677849031640706
"59","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_rubiginosa",2023,20,2021099,0.100094057737894
"60","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_australiensis",11,1,2021099,0.00054425834657283
"61","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_cabanerensis",1906,17,2021099,0.0943051280516194
"62","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_carrionii",11,1,2021099,0.00054425834657283
"63","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_chaetospira",10756,71,2021099,0.532185706885214
"64","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_humicola",182,8,2021099,0.009005001734205
"65","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_minutissima",1746,41,2021099,0.0863886430105601
"66","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_potulentorum",83,3,2021099,0.00410667661504953
"67","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_tumbae",68,3,2021099,0.00336450614245022
"68","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_abietophila",46,3,2021099,0.00227598944930456
"69","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_angulospora",35,2,2021099,0.00173173110273173
"70","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_brunnea",98,4,2021099,0.00484884708764885
"71","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_castellanii",112,9,2021099,0.00554153952874154
"72","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_cinerea",76,4,2021099,0.00376033039450319
"73","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_eucalyptorum",31,1,2021099,0.00153381897670525
"74","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_lignicola",7811,22,2021099,0.386472904098216
"75","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_moniliae",886,27,2021099,0.0438375359148661
"76","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_opportunistica",255,1,2021099,0.0126168980341883
"77","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_salmonis",50,3,2021099,0.00247390157533105
"78","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_tremulae",11307,59,2021099,0.559448102245363
"79","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_xenobiotica",376,11,2021099,0.0186037398464895
"80","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora_geniculata",9,1,2021099,0.000445302283559588
"81","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella","Rhinocladiella_quercus",84,6,2021099,0.00415615464655616
"82","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Veronaea","Veronaea_compacta",70,3,2021099,0.00346346220546346
