"","Fire_Mod","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",697,13,3547526,0.0196474951839676
"2","Untreated","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis","Archaeorhizomycetales_gen_Incertae_sedis",103,4,3547526,0.00290343185645433
"3","Untreated","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Gyrographa",9,1,3547526,0.000253697929204747
"4","Untreated","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Lichenostigmatales_fam_Incertae_sedis","Lichenostigmatales_gen_Incertae_sedis",6,1,3547526,0.000169131952803165
"5","Untreated","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces",7,1,3547526,0.000197320611603692
"6","Untreated","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",440,5,3547526,0.0124030098722321
"7","Untreated","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae","Pycnora",154,6,3547526,0.00434105345528123
"8","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae_gen_Incertae_sedis",8,2,3547526,0.00022550927040422
"9","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia",170,5,3547526,0.00479207199608967
"10","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Dothiorella",11,1,3547526,0.000310075246805802
"11","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Microdiplodia",310,3,3547526,0.00873848422816352
"12","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Chaetocapnodium",41,2,3547526,0.00115573501082163
"13","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Capnodiales_gen_Incertae_sedis",925,18,3547526,0.0260745093904879
"14","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Pseudopenidiella",6,1,3547526,0.000169131952803165
"15","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",4305,38,3547526,0.121352176136271
"16","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium",133,5,3547526,0.00374909162047015
"17","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia",24,1,3547526,0.000676527811212659
"18","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",66,2,3547526,0.00186045148083481
"19","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideales_fam_Incertae_sedis","Dothideales_gen_Incertae_sedis",20,2,3547526,0.000563773176010549
"20","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora",387,5,3547526,0.0109090109558041
"21","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema",29,2,3547526,0.000817471105215296
"22","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",186,13,3547526,0.00524309053689811
"23","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis","Pseudoarthrographis",502,12,3547526,0.0141507067178648
"24","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Eremomyces",10,1,3547526,0.000281886588005275
"25","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideomycetidae_ord_Incertae_sedis","Pseudoperisporiaceae","Eudimeriolum",12,1,3547526,0.00033826390560633
"26","Untreated","Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","Cenococcum",14599,25,3547526,0.4115262298289
"27","Untreated","Fungi","Ascomycota","Dothideomycetes","Microthyriales","Microthyriales_fam_Incertae_sedis","Parazalerion",42,4,3547526,0.00118392366962215
"28","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Acrodontium",12,2,3547526,0.00033826390560633
"29","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pachyramichloridium",6,1,3547526,0.000169131952803165
"30","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Capnobotryella",228,8,3547526,0.00642701420652026
"31","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Devriesia",20,1,3547526,0.000563773176010549
"32","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Penidiellomyces",17,1,3547526,0.000479207199608967
"33","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Teratosphaeria",400,8,3547526,0.011275463520211
"34","Untreated","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Lophium",298,13,3547526,0.00840022032255719
"35","Untreated","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Mytilinidion",28,2,3547526,0.000789282446414769
"36","Untreated","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiales_fam_Incertae_sedis","Halokirschsteiniothelia",11,1,3547526,0.000310075246805802
"37","Untreated","Fungi","Ascomycota","Dothideomycetes","Phaeotrichales","Phaeotrichaceae","Phaeotrichum",411,4,3547526,0.0115855387670168
"38","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina",265,3,3547526,0.00746999458213978
"39","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Biatriosporaceae","Biatriospora",28,2,3547526,0.000789282446414769
"40","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta",2962,31,3547526,0.0834948073671624
"41","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis",363,3,3547526,0.0102324831445915
"42","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Delitschiaceae","Delitschiaceae_gen_Incertae_sedis",558,10,3547526,0.0157292716106943
"43","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporiaceae_gen_Incertae_sedis",6,1,3547526,0.000169131952803165
"44","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium",56,3,3547526,0.00157856489282954
"45","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",6,1,3547526,0.000169131952803165
"46","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Fuscostagonosporaceae","Fuscostagonospora",18,3,3547526,0.000507395858409494
"47","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentitheciaceae_gen_Incertae_sedis",194,5,3547526,0.00546859980730233
"48","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentithecium",783,12,3547526,0.022071719840813
"49","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",136,5,3547526,0.00383365759687174
"50","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Helminthosporium",133,3,3547526,0.00374909162047015
"51","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora",163,12,3547526,0.00459475138448598
"52","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Camposporium",279,9,3547526,0.00786463580534716
"53","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Marjia",117,1,3547526,0.00329807307966171
"54","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Melanommataceae_gen_Incertae_sedis",419,10,3547526,0.011811048037421
"55","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Pleotrichocladium",2391,37,3547526,0.0673990831920612
"56","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Uzbekistanica",12,1,3547526,0.00033826390560633
"57","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta",516,10,3547526,0.0145453479410722
"58","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae","Nigrograna",1301,20,3547526,0.0366734450994862
"59","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae","Brunneofusispora",283,5,3547526,0.00797739044054927
"60","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",122,5,3547526,0.00343901637366435
"61","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae","Pleomassariaceae_gen_Incertae_sedis",2138,11,3547526,0.0602673525155277
"62","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",18,1,3547526,0.000507395858409494
"63","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pithomyces",186,10,3547526,0.00524309053689811
"64","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pleospora",34,2,3547526,0.000958414399217934
"65","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora",30,1,3547526,0.000845659764015824
"66","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Cheiromyces",195,9,3547526,0.00549678846610286
"67","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Hobus",47,2,3547526,0.00132486696362479
"68","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Roussoellaceae","Roussoellaceae_gen_Incertae_sedis",30,2,3547526,0.000845659764015824
"69","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",18,1,3547526,0.000507395858409494
"70","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella",8,1,3547526,0.00022550927040422
"71","Untreated","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufiaceae_gen_Incertae_sedis",136,1,3547526,0.00383365759687174
"72","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Cylindrosympodiaceae","Cylindrosympodium",163,4,3547526,0.00459475138448598
"73","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Pseudosigmoidea",476,14,3547526,0.0134178015890511
"74","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Scolecobasidium",20,1,3547526,0.000563773176010549
"75","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Sympoventuriaceae_gen_Incertae_sedis",51,2,3547526,0.0014376215988269
"76","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Pseudoanungitea",358,8,3547526,0.0100915398505888
"77","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Sympodiella",109,4,3547526,0.00307256380925749
"78","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia",29,2,3547526,0.000817471105215296
"79","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiales_fam_Incertae_sedis","Venturiales_gen_Incertae_sedis",282,3,3547526,0.00794920178174875
"80","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis",5170,32,3547526,0.145735365998727
"81","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",277,4,3547526,0.00780825848774611
"82","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Epibryaceae","Epibryon",28,1,3547526,0.000789282446414769
"83","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia",6037,30,3547526,0.170174933178784
"84","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",14926,44,3547526,0.420743921256673
"85","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",8716,43,3547526,0.245692350105397
"86","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea",5,1,3547526,0.000140943294002637
"87","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Herpotrichiellaceae_gen_Incertae_sedis",13221,12,3547526,0.372682258001774
"88","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Melanchlenus",21,1,3547526,0.000591961834811077
"89","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Melanoctona",797,5,3547526,0.0224663610640204
"90","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Minimelanolocus",2343,2,3547526,0.0660460275696358
"91","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Rhinocladiella",305,10,3547526,0.00859754093416088
"92","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Veronaea",1278,11,3547526,0.0360251059470741
"93","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Paracladophialophoraceae","Paracladophialophora",41,1,3547526,0.00115573501082163
"94","Untreated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Alatosessilispora",7,1,3547526,0.000197320611603692
"95","Untreated","Fungi","Ascomycota","Eurotiomycetes","Coryneliales","Coryneliaceae","Caliciopsis",10,1,3547526,0.000281886588005275
"96","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",16,1,3547526,0.000451018540808439
"97","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",1159,29,3547526,0.0326706555498113
"98","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Phialomyces",16,1,3547526,0.000451018540808439
"99","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Rasamsonia",20,1,3547526,0.000563773176010549
"100","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",1621,13,3547526,0.045693815915655
"101","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae","Elaphomyces",1425,9,3547526,0.0401688387907516
"102","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Eurotiales_fam_Incertae_sedis","Eurotiales_gen_Incertae_sedis",296,12,3547526,0.00834384300495613
"103","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Penicillaginaceae","Penicillago",120,2,3547526,0.0033826390560633
"104","Untreated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",17827,43,3547526,0.502519220437003
"105","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus",22,2,3547526,0.000620150493611604
"106","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron",600,15,3547526,0.0169131952803165
"107","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium",6,1,3547526,0.000169131952803165
"108","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Myriodontium",43,1,3547526,0.00121211232842268
"109","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Onygenaceae_gen_Incertae_sedis",13,1,3547526,0.000366452564406857
"110","Untreated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Onygenales_gen_Incertae_sedis",655,7,3547526,0.0184635715143455
"111","Untreated","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Neophaeomoniella",13,1,3547526,0.000366452564406857
"112","Untreated","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Phaeomoniella",73,1,3547526,0.0020577720924385
"113","Untreated","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcaceae","Sclerococcum",5096,28,3547526,0.143649405247488
"114","Untreated","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcales_fam_Incertae_sedis","Sclerococcales_gen_Incertae_sedis",320,8,3547526,0.00902037081616879
"115","Untreated","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Verrucaria",6,1,3547526,0.000169131952803165
"116","Untreated","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariales_fam_Incertae_sedis","Verrucariales_gen_Incertae_sedis",31,2,3547526,0.000873848422816351
"117","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum",1770,8,3547526,0.0498939260769336
"118","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Glutinoglossum",619,2,3547526,0.0174487797975265
"119","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Microglossum",296,5,3547526,0.00834384300495613
"120","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum",4845,4,3547526,0.136574051888556
"121","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossales_fam_Incertae_sedis","Geoglossales_gen_Incertae_sedis",122,2,3547526,0.00343901637366435
"122","Untreated","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophorales_fam_Incertae_sedis","Pyxidiophorales_gen_Incertae_sedis",34,3,3547526,0.000958414399217934
"123","Untreated","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporales_fam_Incertae_sedis","Acarosporales_gen_Incertae_sedis",71,4,3547526,0.00200139477483745
