"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","untreated","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",689,12,3630440,0.0189784158394024
"2","untreated","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis","Archaeorhizomycetales_gen_Incertae_sedis",24,3,3630440,0.000661076894260751
"3","untreated","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Gyrographa",9,1,3630440,0.000247903835347782
"4","untreated","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces",7,1,3630440,0.000192814094159386
"5","untreated","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae","Pycnora",154,6,3630440,0.00424191007150648
"6","untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae_gen_Incertae_sedis",8,2,3630440,0.000220358964753584
"7","untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia",170,5,3630440,0.00468262800101365
"8","untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Dothiorella",11,1,3630440,0.000302993576536177
"9","untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Microdiplodia",310,3,3630440,0.00853890988420136
"10","untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Chaetocapnodium",41,2,3630440,0.00112933969436212
"11","untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Capnodiales_gen_Incertae_sedis",899,17,3630440,0.024762838664184
"12","untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Pseudopenidiella",6,1,3630440,0.000165269223565188
