"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Archaeorhizomyces_finlayi",72,2,1815106,0.003966710484126
"2","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_anceps",133,5,1815106,0.00732739575539941
"3","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","Dothiora_agapanthi",7,1,1815106,0.000385652408178916
"4","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema_macrosporum",29,2,1815106,0.00159770283388408
"5","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans",186,13,1815106,0.0102473354173255
"6","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Eremomyces","Eremomyces_bilateralis",10,1,1815106,0.000550932011684166
"7","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pachyramichloridium","Pachyramichloridium_pini",6,1,1815106,0.0003305592070105
"8","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Penidiellomyces","Penidiellomyces_aggregatus",17,1,1815106,0.000936584419863082
"9","Untreated","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Lophium","Lophium_arboricola",73,5,1815106,0.00402180368529441
"10","Untreated","Fungi","Ascomycota","Dothideomycetes","Phaeotrichales","Phaeotrichaceae","Phaeotrichum","Phaeotrichum_benjaminii",411,4,1815106,0.0226433056802192
"11","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","Angustimassarina_acerina",265,3,1815106,0.0145996983096304
"12","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_leptospora",363,3,1815106,0.0199988320241352
"13","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium","Dictyosporium_toruloides",56,3,1815106,0.00308521926543133
"14","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma_chamaecyparidis",25,1,1815106,0.00137733002921042
"15","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Camposporium","Camposporium_appendiculatum",279,9,1815106,0.0153710031259882
"16","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Pleotrichocladium","Pleotrichocladium_opacum",2391,37,1815106,0.131727843993684
"17","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Uzbekistanica","Uzbekistanica_vitis-viniferae",12,1,1815106,0.000661118414020999
"18","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta","Neopyrenochaeta_acicola",79,2,1815106,0.00435236289230491
