YrSinceTrt_BR,Kingdom,Phylum,Class,Order,Family,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Other,Other,Other,Other,Other,Other,0.24241083962918522,NA,NA,NA,NA
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,0.1784471360602485,0.21199396464439643,0.03160219438430383,45,97.77777777777777
SOD-UT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,0.07050266055397435,0.07963365951874603,0.011871085065399287,45,100
SOD-UT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,0.060747824482812046,0.04860212466858799,0.007245176973992145,45,100
SOD-UT,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,0.04972862952159854,0.03956154651679958,0.005897487153772259,45,100
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,0.045351902970777645,0.07478059964224602,0.011147633613217236,45,91.11111111111111
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,0.04054999994467262,0.12386538758339462,0.018464761779721915,45,97.77777777777777
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,0.036687767378331876,0.09391742864292398,0.014000383647837587,45,55.55555555555556
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,0.03661968715825302,0.07146402438571706,0.010653227764811065,45,82.22222222222221
SOD-UT,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,0.035637725124471886,0.02717136554857599,0.004050468027207451,45,97.77777777777777
SOD-UT,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,0.034202514609335974,0.03501777859723894,0.005220142224297566,45,100
