"YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",0.178447136060249,0.211993964644396,0.0316021943843038,45,97.7777777777778
"Unmitigated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",0.0705026605539743,0.079633659518746,0.0118710850653993,45,100
"Unmitigated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila",0.060747824482812,0.048602124668588,0.00724517697399214,45,100
"Unmitigated","Other","Other","Other","Other","Other","Other",0.056661382437835,NA,NA,NA,NA
"Unmitigated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",0.0497286295215985,0.0395615465167996,0.00589748715377226,45,100
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",0.0453519029707776,0.074780599642246,0.0111476336132172,45,91.1111111111111
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",0.0405499999446726,0.123865387583395,0.0184647617797219,45,97.7777777777778
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",0.0366877673783319,0.093917428642924,0.0140003836478376,45,55.5555555555556
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",0.036619687158253,0.0714640243857171,0.0106532277648111,45,82.2222222222222
"Unmitigated","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis",0.0356377251244719,0.027171365548576,0.00405046802720745,45,97.7777777777778
"Unmitigated","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium",0.034202514609336,0.0350177785972389,0.00522014222429757,45,100
"Unmitigated","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Saccharomycetales_gen_Incertae_sedis",0.0266549158312461,0.0255939498410062,0.00381532077714732,45,100
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",0.0228356382783361,0.0443538925779085,0.00661188792472845,45,80
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus",0.0173181084233282,0.116008218672564,0.0172934841933676,45,8.88888888888889
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium",0.0147596966699914,0.035935728501034,0.00535698211661924,45,48.8888888888889
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster",0.0145868429953904,0.0265942162218671,0.0039644316853615,45,100
"Unmitigated","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",0.0144488545806112,0.0139290014391627,0.00207641293844402,45,100
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",0.0133746536709845,0.0240195622104372,0.00358062492615484,45,97.7777777777778
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",0.0126941399671385,0.0268116806709756,0.00399684937142123,45,80
"Unmitigated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",0.0120739631260477,0.0125617267181497,0.00187259165710387,45,97.7777777777778
"Unmitigated","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",0.0102115205301289,0.0196806917350289,0.00293382430424953,45,62.2222222222222
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina",0.0101549784931353,0.0361989672058382,0.00539622342583599,45,42.2222222222222
"Unmitigated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",0.00931759307756947,0.0104630859139277,0.00155974475719752,45,95.5555555555556
"Unmitigated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova",0.00920074841117931,0.0151391999030334,0.00225681867387606,45,82.2222222222222
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",0.0952250473448675,0.180166104991812,0.0393154673233496,21,95.2380952380952
"1 to 2","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",0.0867979243566678,0.103678213655406,0.0226244410473191,21,100
"1 to 2","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila",0.061111283459767,0.0502150488354503,0.0109578220149693,21,100
"1 to 2","Other","Other","Other","Other","Other","Other",0.0547052473622356,NA,NA,NA,NA
"1 to 2","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis",0.0545936886741414,0.0568191188067401,0.012398948231075,21,100
"1 to 2","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",0.0497025040639755,0.0534876355634279,0.0116719589863629,21,100
"1 to 2","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium",0.0461102242704799,0.061112286136249,0.0133357941481506,21,100
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina",0.0299070858752667,0.0981876312066982,0.0214262977291954,21,38.0952380952381
"1 to 2","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Saccharomycetales_gen_Incertae_sedis",0.0282308000502483,0.0264300975616837,0.00576752012864207,21,100
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",0.0254454133142101,0.0506681535337373,0.0110566975662855,21,95.2380952380952
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",0.0246936969960489,0.0689011959511213,0.0150354736151904,21,61.9047619047619
"1 to 2","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",0.0227436088953291,0.0245033186699325,0.00534706250393286,21,100
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster",0.0216902147345151,0.0750495818345948,0.0163771614110387,21,66.6666666666667
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",0.0202888827503886,0.0586821757005739,0.012805500575837,21,61.9047619047619
"1 to 2","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",0.0182985844399028,0.0346057358894344,0.00755159067585634,21,90.4761904761905
"1 to 2","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina",0.0173131598312535,0.0552850955963994,0.0120641969225414,21,33.3333333333333
"1 to 2","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",0.015955913457221,0.0199127275709743,0.00434531339938209,21,100
"1 to 2","Fungi","Basidiomycota","GS25","GS25_ord_Incertae_sedis","GS25_ord_Incertae_sedis_fam_Incertae_sedis","GS25_ord_Incertae_sedis_gen_Incertae_sedis",0.0155130202076574,0.0297548845819162,0.00649304813768121,21,80.952380952381
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova",0.0153962918098666,0.0197110714990037,0.00430130843680339,21,80.952380952381
"1 to 2","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",0.0146733928273896,0.024757328334369,0.00540249195700576,21,100
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",0.0124653265700792,0.0126415292846072,0.0027586078498435,21,95.2380952380952
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",0.0121383248914861,0.0221633072269317,0.00483643014371316,21,76.1904761904762
"1 to 2","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Leucoscypha",0.0118232777999613,0.0375955062718628,0.00820401206099992,21,38.0952380952381
"1 to 2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta",0.0102123173107675,0.0310199233655532,0.00676910223211318,21,76.1904761904762
"1 to 2","Fungi","Basidiomycota","Microbotryomycetes","Kriegeriales","Camptobasidiaceae","Camptobasidium",0.0101229029826964,0.0463616154812952,0.0101169339182606,21,9.52380952380952
"1 to 2","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",0.00891149837186769,0.0149936019365614,0.00327187218163472,21,90.4761904761905
"3 to 4","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",0.156813920591157,0.0786236244882383,0.0393118122441191,4,100
