YrSinceTrt_BR,Kingdom,Phylum,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Fungi,Basidiomycota,0.6558488018340082,0.15116934192092896,0.02253499497660705,45,100
SOD-UT,Fungi,Ascomycota,0.15302629295471984,0.08315886321037086,0.012396591404666375,45,100
SOD-UT,Fungi,Mortierellomycota,0.139959461492267,0.106038019652521,0.015807214676166373,45,100
SOD-UT,Fungi,Mucoromycota,0.03502771086589617,0.025253181240267913,0.0037645219934240998,45,100
SOD-UT,Other,Other,0.016137732853108842,NA,NA,NA,NA
1-2 PT,Fungi,Basidiomycota,0.5678032746499995,0.1522045180618834,0.033213748815850194,21,100
1-2 PT,Fungi,Ascomycota,0.2265541385430601,0.11260896538649015,0.024573290848297773,21,100
1-2 PT,Fungi,Mortierellomycota,0.12594571074542474,0.10540951049324081,0.02300224099064371,21,100
1-2 PT,Fungi,Mucoromycota,0.05160341754986107,0.05696576295200894,0.012430948607071049,21,100
1-2 PT,Fungi,Chytridiomycota,0.017626160257616787,0.022259201812900926,0.004857356057948417,21,100
1-2 PT,Other,Other,0.010467298254037895,NA,NA,NA,NA
3-4 PT,Fungi,Basidiomycota,0.5142308249926493,0.17770482785985003,0.08885241392992502,4,100
3-4 PT,Fungi,Ascomycota,0.31779275337446633,0.19981521483959233,0.09990760741979617,4,100
3-4 PT,Fungi,Mucoromycota,0.09615662964571159,0.0593012980123778,0.0296506490061889,4,100
3-4 PT,Fungi,Mortierellomycota,0.057638679580508015,0.03877084108664712,0.01938542054332356,4,100
3-4 PT,Fungi,Chytridiomycota,0.010446887242554952,0.008319785179162981,0.0041598925895814905,4,100
3-4 PT,Other,Other,0.0037342251641098567,NA,NA,NA,NA
5-8 PT,Fungi,Basidiomycota,0.4946279316485699,0.19460550945063051,0.07355396882419975,7,100
5-8 PT,Fungi,Ascomycota,0.30147768376306733,0.13264347974188198,0.05013452291875053,7,100
5-8 PT,Fungi,Mortierellomycota,0.09704319759811386,0.08078131611547203,0.03053246757457618,7,100
5-8 PT,Fungi,Mucoromycota,0.06954720455638225,0.07191817456060774,0.027182514947585716,7,100
5-8 PT,Fungi,Chytridiomycota,0.023533983537678427,0.021813319777896596,0.00824465991443444,7,100
5-8 PT,Other,Other,0.013769998896188278,NA,NA,NA,NA
10-12 PT,Fungi,Basidiomycota,0.5901679350545314,0.167684605627475,0.06337882359774868,7,100
10-12 PT,Fungi,Ascomycota,0.3046307186782619,0.11835237171390212,0.044732991804237184,7,100
10-12 PT,Fungi,Mortierellomycota,0.05450499110267753,0.04388743675505652,0.016587891904850726,7,100
10-12 PT,Fungi,Mucoromycota,0.030284155401647642,0.01389346239568272,0.005251235192657734,7,100
10-12 PT,Fungi,Chytridiomycota,0.013115935799771083,0.013233112529754525,0.0050016464035804705,7,100
10-12 PT,Other,Other,0.007296263963110427,NA,NA,NA,NA
