"Fire_Mod","Kingdom","Phylum","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Fungi","Basidiomycota",0.655848801834008,0.151169341920929,0.022534994976607,45,100
"Unmitigated","Fungi","Ascomycota",0.15302629295472,0.0831588632103709,0.0123965914046664,45,100
"Unmitigated","Fungi","Mortierellomycota",0.139959461492267,0.106038019652521,0.0158072146761664,45,100
"Unmitigated","Fungi","Mucoromycota",0.0350277108658962,0.0252531812402679,0.0037645219934241,45,100
"Unmitigated","Other","Other",0.00900357538263134,NA,NA,NA,NA
"Mitigated","Fungi","Basidiomycota",0.553188798321597,0.162069824879268,0.025951941845431,39,100
"Mitigated","Fungi","Ascomycota",0.263373506153626,0.128287998729741,0.0205425203919427,39,100
"Mitigated","Fungi","Mortierellomycota",0.100929537561064,0.0907967622269987,0.0145391179068888,39,100
"Mitigated","Fungi","Mucoromycota",0.0555671232522087,0.0562901477503789,0.00901363743668375,39,100
"Mitigated","Fungi","Chytridiomycota",0.0171406756344184,0.0196055860297136,0.00313940629520484,39,100
"Mitigated","Other","Other",0.000896023385134894,NA,NA,NA,NA
"Wildfire","Fungi","Ascomycota",0.395393866068863,0.231767423568736,0.0619424494578234,14,100
"Wildfire","Fungi","Basidiomycota",0.357849793657607,0.191687881252837,0.0512307412031944,14,100
"Wildfire","Fungi","Mucoromycota",0.107815022929294,0.110945136526588,0.0296513349722394,14,100
"Wildfire","Fungi","Mortierellomycota",0.0891702319348138,0.130103321926628,0.0347715753950425,14,100
"Wildfire","Fungi","Monoblepharomycota",0.0223375102678225,0.0628554668963111,0.0167988301436934,14,71.4285714285714
"Wildfire","Fungi","Chytridiomycota",0.0157236879659339,0.018642262502687,0.00498235422852554,14,100
