Fire_Mod,Kingdom,Phylum,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Fungi,Basidiomycota,0.6558488018340082,0.15116934192092896,0.02253499497660705,45,100
SOD-UT,Fungi,Ascomycota,0.15302629295471984,0.08315886321037086,0.012396591404666375,45,100
SOD-UT,Fungi,Mortierellomycota,0.139959461492267,0.106038019652521,0.015807214676166373,45,100
SOD-UT,Fungi,Mucoromycota,0.03502771086589617,0.025253181240267913,0.0037645219934240998,45,100
SOD-UT,Other,Other,0.016137732853108842,NA,NA,NA,NA
SOD-T,Fungi,Basidiomycota,0.5531887983215973,0.16206982487926797,0.025951941845430957,39,100
SOD-T,Fungi,Ascomycota,0.2633735061536265,0.12828799872974062,0.020542520391942726,39,100
SOD-T,Fungi,Mortierellomycota,0.10092953756106386,0.0907967622269987,0.014539117906888773,39,100
SOD-T,Fungi,Mucoromycota,0.05556712325220867,0.05629014775037892,0.009013637436683755,39,100
SOD-T,Fungi,Chytridiomycota,0.01714067563441844,0.019605586029713577,0.003139406295204843,39,100
SOD-T,Other,Other,0.009800359077085284,NA,NA,NA,NA
Wildfire,Fungi,Ascomycota,0.39539386606886257,0.23176742356873628,0.06194244945782336,14,100
Wildfire,Fungi,Basidiomycota,0.3578497936576066,0.19168788125283656,0.05123074120319443,14,100
Wildfire,Fungi,Mucoromycota,0.10781502292929422,0.11094513652658822,0.029651334972239443,14,100
Wildfire,Fungi,Mortierellomycota,0.0891702319348138,0.1301033219266279,0.03477157539504253,14,100
Wildfire,Fungi,Monoblepharomycota,0.02233751026782248,0.06285546689631107,0.016798830143693374,14,71.42857142857143
Wildfire,Fungi,Chytridiomycota,0.01572368796593387,0.018642262502686965,0.004982354228525539,14,100
Wildfire,Other,Other,0.011709887175666487,NA,NA,NA,NA
