Treatuntreat_EP,Kingdom,Phylum,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Fungi,Basidiomycota,0.6558488018340082,0.15116934192092896,0.02253499497660705,45,100
SOD-UT,Fungi,Ascomycota,0.15302629295471984,0.08315886321037086,0.012396591404666375,45,100
SOD-UT,Fungi,Mortierellomycota,0.139959461492267,0.106038019652521,0.015807214676166373,45,100
SOD-UT,Fungi,Mucoromycota,0.03502771086589617,0.025253181240267913,0.0037645219934240998,45,100
SOD-UT,Other,Other,0.016137732853108842,NA,NA,NA,NA
SOD-T,Fungi,Basidiomycota,0.5531887983215973,0.16206982487926797,0.025951941845430957,39,100
SOD-T,Fungi,Ascomycota,0.2633735061536265,0.12828799872974062,0.020542520391942726,39,100
SOD-T,Fungi,Mortierellomycota,0.10092953756106386,0.0907967622269987,0.014539117906888773,39,100
SOD-T,Fungi,Mucoromycota,0.05556712325220867,0.05629014775037892,0.009013637436683755,39,100
SOD-T,Fungi,Chytridiomycota,0.01714067563441844,0.019605586029713577,0.003139406295204843,39,100
SOD-T,Other,Other,0.009800359077085284,NA,NA,NA,NA
