"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV20","ASV20",243.701477501276,27.9666923894798,2.9823519053614,9.37739518237396,6.76226511115515e-21,6.49177450670894e-19,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 80"," 80"," 37"," 23"
"ASV22","ASV22",90.4158720853435,-28.4263717334345,3.14822290411277,-9.02933896335576,1.72711911139834e-19,8.29017173471201e-18,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna","100","100","100"," 96"," 96"," 63"," 63"
"ASV25","ASV25",24.5690263814599,-26.3483289033413,3.14854085286978,-8.36842529113949,5.83933071910875e-17,1.12115149806888e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 27"," 24"
"ASV26","ASV26",50.543645626688,-27.4397190466813,3.14831660448951,-8.71567967705413,2.89019428528566e-18,6.93646628468558e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 69"
"ASV30","ASV30",22.5734736616919,25.3568096839932,3.14744565069729,8.05631375346407,7.86296517294155e-16,8.38716285113765e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_attrantheridium","100","100","100","100","100","100"," 82"
"ASV33","ASV33",8.38413107192827,-24.9992666403423,3.1493794444217,-7.93783889223701,2.05734323867943e-15,1.64587459094354e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 74"
"ASV38","ASV38",8.18588586527855,24.1402316149096,3.14798520865046,7.668470470755,1.74059421427149e-14,1.11398029713375e-13,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 88"," 88"," 58"," 34"
"ASV43","ASV43",6.74093011336893,23.8386568930457,3.14816608105942,7.57223611437409,3.66853894593971e-14,2.07164552241301e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 11"
"ASV46","ASV46",27.1251714115594,-8.89695534804465,3.16545352676352,-2.81064159458415,0.00494428281963551,0.0226024357469052,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens","100","100","100","100","100","100"," 93"
"ASV50","ASV50",9.74074342727946,24.2600256228186,3.14785079559133,7.70685372279893,1.28957467319665e-14,9.52301297129836e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 61"," 61"," 27","  9"
"ASV51","ASV51",12.1002284052995,-25.5676105923311,3.14898863878929,-8.11930861781742,4.68846887244038e-16,5.62616264692846e-15,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum","100","100","100","100","100","100"," 93"
"ASV55","ASV55",4.33147341961639,23.2236028566607,3.1486861666878,7.37564864430117,1.63546810985395e-13,8.72249658588771e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 89"," 89"," 80"," 20"
"ASV57","ASV57",18.3955983349837,25.0345192024248,3.14751552999692,7.95373969209593,1.80964153599759e-15,1.57932352232517e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens","100","100","100","100","100","100"," 98"
"ASV66","ASV66",29.0489511812087,25.7748712911399,3.14737676451413,8.18931866745187,2.62709110193146e-16,4.20334576309033e-15,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 64"," 64"," 45"," 40"
