"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",1636.38591822056,29.8335192061754,3.36649274348816,8.86189915718153,7.86627390772699e-19,7.55162295141791e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aquasilvae","100","100","100","100","100","100"," 78"
"ASV3","ASV3",1171.3613416437,28.3036099950174,3.75326046730126,7.5410726864285,4.66121201870272e-14,2.23738176897731e-12,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 45"
"ASV4","ASV4",286.173998236928,26.838018002891,4.35371122642125,6.16440011914889,7.07508378571076e-10,1.13201340571372e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 48"
"ASV9","ASV9",121.497968412014,26.6118281815957,4.39069614334542,6.0609587438495,1.35312539956835e-09,1.72433818256948e-08,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 94"," 94"," 45"," 45"
"ASV15","ASV15",113.18324062843,25.2688974569411,4.39077146179108,5.7550017523876,8.66408960082866e-09,8.31752601679551e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 43"
"ASV18","ASV18",227.618152220811,27.2417579920905,4.39067891563379,6.20445232173354,5.48877100870511e-10,1.05384403367138e-08,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa","100","100","100","100","100","100","100"
"ASV20","ASV20",243.701477501276,27.443693276083,4.1620688372234,6.59376246510888,4.28817611739438e-11,1.3722163575662e-09,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 80"," 80"," 37"," 23"
"ASV22","ASV22",90.4158720853435,-22.8455968900062,4.40379546527429,-5.18770616622707,2.1290017131174e-07,9.29018929360318e-07,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna","100","100","100"," 96"," 96"," 63"," 63"
"ASV24","ASV24",24.021595271596,23.0302372558384,4.39126379914339,5.24455790160703,1.5665750453224e-07,7.51956021754754e-07,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 62"," 62"," 42"," 13"
"ASV25","ASV25",24.5690263814599,-16.9457895238555,4.40379546527443,-3.84799649699433,0.000119087755812377,0.000408300877071006,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 27"," 24"
"ASV30","ASV30",22.5734736616919,25.1496668908032,4.39086968382453,5.72771881239195,1.01790100990858e-08,8.88349972283854e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_attrantheridium","100","100","100","100","100","100"," 82"
"ASV33","ASV33",8.38413107192827,-19.3368079797885,4.40379546527479,-4.39094143501097,1.12860938557854e-05,4.01283337094592e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 74"
"ASV38","ASV38",8.18588586527855,24.9857982178674,4.39125614020863,5.6898977012715,1.27115501879826e-08,1.0169240150386e-07,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 88"," 88"," 58"," 34"
"ASV42","ASV42",8.2089933514293,-26.4311234898636,4.36785292648105,-6.0512851359118,1.43694848547456e-09,1.72433818256948e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 15"," 13"
