"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",1636.38591822056,28.0985394432054,3.34359521788975,8.40369052236511,4.3266197073586e-17,4.15355491906425e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aquasilvae","100","100","100","100","100","100"," 78"
"ASV3","ASV3",1171.3613416437,29.3709348192487,3.72755905378707,7.87940161254021,3.28952596508166e-15,1.5789724632392e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 45"
"ASV4","ASV4",286.173998236928,27.1201498282832,4.32373347423971,6.27239167026873,3.55543819817667e-10,8.533051675624e-09,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 48"
"ASV9","ASV9",121.497968412014,23.91772639263,4.36085322891309,5.48464374679066,4.14303482076132e-08,2.93785858747268e-07,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 94"," 94"," 45"," 45"
"ASV15","ASV15",113.18324062843,26.0290421997735,4.36050557378303,5.96927162672825,2.38315076265501e-09,2.85978091518601e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 43"
"ASV18","ASV18",227.618152220811,25.8237755043705,4.36051905730674,5.92217925549452,3.17703038958971e-09,3.38883241556235e-08,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa","100","100","100","100","100","100","100"
"ASV20","ASV20",243.701477501276,-21.0685255277264,4.14665655787928,-5.08084651662144,3.75756630603602e-07,1.63966529717936e-06,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 80"," 80"," 37"," 23"
"ASV22","ASV22",90.4158720853435,26.5423322923927,4.36048452688705,6.08701444271408,1.15035597021413e-09,2.20868346281113e-08,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna","100","100","100"," 96"," 96"," 63"," 63"
"ASV24","ASV24",24.021595271596,23.9294810685555,4.36088467035847,5.48729968283901,4.08124415779773e-08,2.93785858747268e-07,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 62"," 62"," 42"," 13"
"ASV25","ASV25",24.5690263814599,24.9533510580406,4.36071402884694,5.72230852400993,1.05086249600942e-08,1.00882799616905e-07,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 27"," 24"
"ASV26","ASV26",50.543645626688,26.2517817417972,4.36055212724271,6.02028848085273,1.7410648819779e-09,2.3877461238554e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 69"
