"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",1636.38591822056,-29.7091144851745,3.34363296320906,-8.88527981751356,6.37600856711156e-19,2.42288325550239e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aquasilvae","100","100","100","100","100","100"," 78"
"ASV3","ASV3",1171.3613416437,-30,3.7276110500677,-8.04804997008878,8.41236031088422e-16,1.598348459068e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 45"
"ASV4","ASV4",286.173998236928,-28.455053650763,4.32381413161849,-6.58100759759339,4.67270704069432e-11,5.91876225154614e-10,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 48"
"ASV9","ASV9",121.497968412014,-25.3954935516753,4.36093588751009,-5.82340447251451,5.76607786157982e-09,2.13055895571343e-08,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 94"," 94"," 45"," 45"
"ASV12","ASV12",1462.6983471694,9.18980531203428,3.91335866567794,2.34831665000025,0.018858481363195,0.0341248710381623,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 91"," 91"," 80"," 11"
"ASV15","ASV15",113.18324062843,-27.435934637627,4.36058834980562,-6.2917965276062,3.13812656487673e-10,1.98748015775526e-09,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 43"
"ASV18","ASV18",227.618152220811,-27.1611413246975,4.36060177311543,-6.22875986799689,4.70141747120546e-10,2.55219805579725e-09,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa","100","100","100","100","100","100","100"
"ASV20","ASV20",243.701477501276,-10.1532879672584,4.14672646338559,-2.44850680576812,0.014344971990394,0.0272554467817485,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 80"," 80"," 37"," 23"
"ASV22","ASV22",90.4158720853435,-27.7485546050585,4.36056720991639,-6.36351953065999,1.97182306618343e-10,1.80140112612472e-09,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna","100","100","100"," 96"," 96"," 63"," 63"
"ASV24","ASV24",24.021595271596,-25.3046815116366,4.36096738611291,-5.80253858174151,6.53183577128851e-09,2.13055895571343e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 62"," 62"," 42"," 13"
"ASV25","ASV25",24.5690263814599,-25.9738999422142,4.36079675833484,-5.95622804309098,2.58126086836719e-09,1.08986569997726e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 27"," 24"
"ASV26","ASV26",50.543645626688,-26.8894468274494,4.36063485731583,-6.16640643101245,6.98593870564505e-10,3.3183208851814e-09,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 69"
"ASV33","ASV33",8.38413107192827,-24.4237723560624,4.3614022467481,-5.59998160551987,2.1437455155573e-08,4.52568497728764e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 74"
"ASV42","ASV42",8.2089933514293,25.0038831234546,4.33682155935866,5.76548580134623,8.14229572818409e-09,2.27160080770497e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 15"," 13"
"ASV46","ASV46",27.1251714115594,27.4721680483604,4.33642946160198,6.33520464050429,2.37026463963779e-10,1.80140112612472e-09,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens","100","100","100","100","100","100"," 93"
"ASV51","ASV51",12.1002284052995,-24.7521050684957,4.36112006368206,-5.67563027549343,1.38178936053023e-08,3.28174973125929e-08,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum","100","100","100","100","100","100"," 93"
