"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV17","ASV17",26.7508116981977,25.1993786015403,2.92774392595393,8.60709790161371,7.49334466431848e-18,3.16385663604558e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aquasilvae","100","100","100","100","100","100"," 89"
"ASV20","ASV20",89.5058211777316,26.8881977668506,2.92755224216189,9.18453217661274,4.13319970158705e-20,7.8530794330154e-19,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 80"," 80"," 37"," 23"
"ASV22","ASV22",90.4158720853435,-28.9360216201796,2.92339567310015,-9.89808594383464,4.24317980424707e-23,1.61240832561389e-21,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna","100","100","100"," 96"," 96"," 63"," 63"
"ASV25","ASV25",24.5690263814599,-26.0959399555005,2.92373814259874,-8.92553938920993,4.43532513071243e-19,3.37084709934144e-18,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 27"," 24"
"ASV33","ASV33",8.38413107192827,-25.674948653374,2.92464105727846,-8.77883752246369,1.65172938622957e-18,8.96653095381765e-18,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 74"
"ASV38","ASV38",8.18588586527855,23.5434220013397,2.92836007803726,8.03979748867487,8.99870648143036e-16,2.44250604495967e-15,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 88"," 88"," 58"," 34"
"ASV42","ASV42",8.2089933514293,23.544396010183,2.92835754432702,8.04013705764671,8.97380430095892e-16,2.44250604495967e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 15"," 13"
"ASV43","ASV43",6.74093011336893,21.6065015220044,2.92855003164827,7.37788369278555,1.60825362554399e-13,4.07424251804477e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 11"
"ASV46","ASV46",27.1251714115594,23.8917936936128,2.92774021425909,8.16048964223384,3.33669176895497e-16,1.15267533836626e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens","100","100","100","100","100","100"," 93"
"ASV51","ASV51",12.1002284052995,-26.1802739289851,2.92422072521412,-8.95290622327015,3.4624398042652e-19,3.28931781405194e-18,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum","100","100","100","100","100","100"," 93"
"ASV57","ASV57",18.3955983349837,24.6728366401373,2.92786779646569,8.42689573276517,3.54955875496255e-17,1.34883232688577e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens","100","100","100","100","100","100"," 98"
"ASV66","ASV66",29.0489511812087,23.7621132284428,2.92772238771213,8.11624535446877,4.80828097604822e-16,1.52262230908194e-15,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 64"," 64"," 45"," 40"
"ASV76","ASV76",9.67039921246824,-25.8753783880204,2.92445908126672,-8.84791945073567,8.91659691506801e-19,5.64717804620974e-18,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Aphanomyces","Unclassified","100","100","100"," 96"," 96"," 86"," 32"
"ASV116","ASV116",6.63541362359713,-25.3546969044131,2.92500059155138,-8.66827069288396,4.38732685644616e-18,2.08398025681192e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 51"
"ASV146","ASV146",13.9979026847672,-26.3769864449553,2.92409249622885,-9.02057184544376,1.8711000823622e-19,2.37006010432546e-18,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 79"," 79"," 69"," 18"
