"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2","ASV2",1662.43992383242,-27.4796161322871,4.42551184472277,-6.20936449759034,5.31992986516382e-10,5.26673056651218e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aquasilvae","100","100","100","100","100","100"," 78"
"ASV4","ASV4",508.556053833576,-26.6271923142307,5.43058575251777,-4.90318973453013,9.42928267009221e-07,4.66749492169565e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 48"
"ASV15","ASV15",157.722511671041,-25.6147708198184,5.5881266852833,-4.58378491798988,4.56633946525724e-06,9.04135214120934e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 43"
"ASV18","ASV18",196.864751420283,-26.0893768476831,5.5880930099864,-4.66874420326561,3.03046412480554e-06,7.5003987088937e-05,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa","100","100","100","100","100","100","100"
"ASV20","ASV20",243.701477501276,25.0839964825588,5.54509017912356,4.52364085565213,6.07848342087742e-06,0.000100294976444477,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 80"," 80"," 37"," 23"
"ASV22","ASV22",177.609627784374,-26.3205676488308,5.5880773767408,-4.71012941917817,2.4755954162353e-06,7.5003987088937e-05,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna","100","100","100"," 96"," 96"," 63"," 63"
"ASV24","ASV24",24.021595271596,-23.4199726789618,5.58842251533075,-4.19080207602658,2.77970064268752e-05,0.000275190363626064,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 62"," 62"," 42"," 13"
"ASV25","ASV25",24.5690263814599,-24.1341899493043,5.58828928666173,-4.31870805380609,1.56945227615571e-05,0.000194219719174269,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 27"," 24"
"ASV26","ASV26",50.543645626688,-24.7570086517358,5.58816302108208,-4.430258845051,9.41200466998262e-06,0.000133112637475468,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 69"
"ASV33","ASV33",8.38413107192827,-22.2520082494453,5.58876110872187,-3.98156368049416,6.84633727015113e-05,0.00048413384981783,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 74"
"ASV51","ASV51",12.1002284052995,-22.9323225229306,5.58854192779344,-4.10345360547114,4.0702810512899e-05,0.000335798186731417,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum","100","100","100","100","100","100"," 93"
"ASV60","ASV60",23.8876598594919,-23.5201411848791,5.58850835534514,-4.20866171961311,2.56887639609196e-05,0.000275190363626064,"Stramenopila","Oomycota","Oomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100"," 46"," 15"," 13","  6"
"ASV69","ASV69",10.3020303549425,-22.0244318221316,5.58867934723514,-3.94090096312784,8.1176138451816e-05,0.000502277356670612,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Aphanomyces","Unclassified","100","100","100"," 92"," 92"," 92"," 40"
"ASV78","ASV78",10.7986418276725,-23.086779197586,5.58860195607422,-4.13104733152325,3.61114212338436e-05,0.000325002791104593,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 81"," 81"," 78","  2"
"ASV87","ASV87",4.91537183161298,-21.6277688090622,5.58926358807132,-3.86952028085068,0.000109049710324382,0.00063505419541846,"Stramenopila","Oomycota","Oomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100"," 47"," 47"," 45"," 15"
"ASV116","ASV116",6.63541362359713,-22.1367456628919,5.58895015108733,-3.96080570848984,7.46972937578815e-05,0.000493002138802018,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 51"
"ASV150","ASV150",32.2459024099627,-22.6624541093455,5.58834061600698,-4.05531009409703,5.00678362548757e-05,0.000381285829940977,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 82"," 82"," 81"," 45"
